ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,SJW,SJL,MaxW,MaxL,AvgW,AvgL
17,Delray Beach,International Championships,22/02/10,ATP250,Outdoor,Hard,1st Round,3,Odesnik W.,Ram R.,108,82,501,606,6,3,6,2,,,,,,,2,0,Completed,1.33,3.25,1.35,3.1,1.4,2.75,1.372,3.44,1.444,2.625,,,,
17,Delray Beach,International Championships,22/02/10,ATP250,Outdoor,Hard,1st Round,3,Korolev E.,Lapentti N.,46,97,899,540,6,2,1,6,6,1,,,,,2,1,Completed,1.25,3.75,1.28,3.55,1.3,3.4,1.299,4.01,1.286,3.25,,,,
17,Delray Beach,International Championships,23/02/10,ATP250,Outdoor,Hard,1st Round,3,Gabashvili T.,Haas T.,104,19,515,1830,7,6,7,5,,,,,,,2,0,Completed,4.5,1.16,4.3,1.2,3.75,1.25,5.16,1.211,3.5,1.25,,,,
17,Delray Beach,International Championships,23/02/10,ATP250,Outdoor,Hard,1st Round,3,Mayer F.,Lindahl N.,53,243,812,192,6,4,6,1,,,,,,,2,0,Completed,1.28,3.5,,,1.333,3.25,1.353,3.56,1.333,3,,,,
17,Delray Beach,International Championships,23/02/10,ATP250,Outdoor,Hard,1st Round,3,Nieminen J.,Lorenzi P.,109,94,498,557,6,3,6,4,,,,,,,2,0,Completed,1.16,4.5,1.23,3.89,1.2,4.333,1.231,4.83,1.222,3.75,,,,
17,Delray Beach,International Championships,23/02/10,ATP250,Outdoor,Hard,1st Round,3,Chardy J.,Malisse X.,41,88,950,571,6,3,7,6,,,,,,,2,0,Completed,2.25,1.57,2.1,1.7,2.1,1.667,2.18,1.781,2.2,1.615,,,,
17,Delray Beach,International Championships,23/02/10,ATP250,Outdoor,Hard,1st Round,3,Mayer L.,Anderson K.,69,133,692,416,7,6,7,6,,,,,,,2,0,Completed,1.5,2.5,,,1.533,2.375,1.625,2.47,1.444,2.625,,,,
17,Delray Beach,International Championships,23/02/10,ATP250,Outdoor,Hard,1st Round,3,Zverev M.,Russell M.,86,68,594,693,6,4,3,6,7,5,,,,,2,1,Completed,2.62,1.44,2.6,1.45,2.5,1.5,2.88,1.488,2.5,1.5,,,,
17,Delray Beach,International Championships,23/02/10,ATP250,Outdoor,Hard,1st Round,3,Gulbis E.,Harrison R.,72,296,664,146,6,4,7,6,,,,,,,2,0,Completed,1.2,4.33,1.18,4.45,1.222,4,1.26,4.43,1.167,4.5,,,,
17,Delray Beach,International Championships,23/02/10,ATP250,Outdoor,Hard,1st Round,3,Becker B.,Nishikori K.,40,898,961,10,6,3,1,6,6,0,,,,,2,1,Completed,1.28,3.5,1.32,3.22,1.333,3.25,1.327,3.76,1.25,3.5,,,,
