ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,MaxW,MaxL,AvgW,AvgL
13,Delray Beach,Delray Beach Open,20/02/17,ATP250,Outdoor,Hard,1st Round,3,Edmund K.,Mannarino A.,49,60,898,791,6,3,6,0,,,,,,,2,0,Completed,1.72,2,1.72,1.95,1.8,2,1.87,2.02,1.87,2.12,1.78,2
13,Delray Beach,Delray Beach Open,20/02/17,ATP250,Outdoor,Hard,1st Round,3,Querrey S.,Sela D.,35,74,1135,686,6,2,2,1,,,,,,,1,0,Retired,1.44,2.62,1.38,2.75,1.44,2.62,1.49,2.8,1.5,2.85,1.45,2.7
13,Delray Beach,Delray Beach Open,20/02/17,ATP250,Outdoor,Hard,1st Round,3,Nishioka Y.,Coppejans K.,91,204,609,269,6,3,6,3,,,,,,,2,0,Completed,1.5,2.5,1.5,2.35,1.57,2.38,1.56,2.56,1.57,2.65,1.52,2.49
13,Delray Beach,Delray Beach Open,20/02/17,ATP250,Outdoor,Hard,1st Round,3,Lu Y.H.,Fratangelo B.,63,109,780,527,4,6,7,5,6,4,,,,,2,1,Completed,1.36,3,1.4,2.7,1.4,2.75,1.38,3.27,1.43,3.27,1.38,2.97
13,Delray Beach,Delray Beach Open,21/02/17,ATP250,Outdoor,Hard,1st Round,3,Fritz T.,Santillan A.,112,193,516,289,6,4,6,4,,,,,,,2,0,Completed,1.4,2.75,1.42,2.6,1.44,2.75,1.46,2.92,1.46,3,1.42,2.77
13,Delray Beach,Delray Beach Open,21/02/17,ATP250,Outdoor,Hard,1st Round,3,Garcia-Lopez G.,Brown D.,99,84,595,651,6,3,6,3,,,,,,,2,0,Completed,2.2,1.61,2.1,1.65,2.1,1.73,2.23,1.72,2.3,1.73,2.21,1.65
13,Delray Beach,Delray Beach Open,21/02/17,ATP250,Outdoor,Hard,1st Round,3,Dzumhur D.,Kravchuk K.,79,95,662,604,6,3,6,4,,,,,,,2,0,Completed,1.53,2.37,1.5,2.4,1.62,2.25,1.59,2.49,1.62,2.55,1.55,2.41
13,Delray Beach,Delray Beach Open,21/02/17,ATP250,Outdoor,Hard,1st Round,3,Sock J.,Albot R.,21,89,1855,623,6,4,7,6,,,,,,,2,0,Completed,1.1,7,1.09,6,1.1,7,1.1,8.11,1.12,8.11,1.1,6.78
13,Delray Beach,Delray Beach Open,21/02/17,ATP250,Outdoor,Hard,1st Round,3,Darcis S.,Tomic B.,57,31,842,1285,3,6,6,1,6,4,,,,,2,1,Completed,1.9,1.8,1.8,1.85,1.83,1.83,1.88,2.01,1.91,2.01,1.86,1.91
13,Delray Beach,Delray Beach Open,21/02/17,ATP250,Outdoor,Hard,1st Round,3,Coric B.,Giraldo S.,59,103,795,567,6,2,6,3,,,,,,,2,0,Completed,1.33,3.25,1.33,3,1.36,3.25,1.36,3.38,1.38,3.38,1.34,3.14
13,Delray Beach,Delray Beach Open,21/02/17,ATP250,Outdoor,Hard,1st Round,3,Raonic M.,Smyczek T.,4,164,4930,345,6,1,6,4,,,,,,,2,0,Completed,1.08,8,1.07,7,1.05,8.5,1.06,11.5,1.1,12.28,1.07,8.71
13,Delray Beach,Delray Beach Open,21/02/17,ATP250,Outdoor,Hard,1st Round,3,Donaldson J.,Kukushkin M.,100,78,594,663,7,6,3,6,6,3,,,,,2,1,Completed,1.61,2.2,1.7,2,1.67,2.1,1.81,2.1,1.82,2.2,1.73,2.06
13,Delray Beach,Delray Beach Open,21/02/17,ATP250,Outdoor,Hard,1st Round,3,Johnson S.,Kozlov S.,26,115,1370,496,6,1,6,4,,,,,,,2,0,Completed,1.25,3.75,1.28,3.25,1.29,3.5,1.27,4.13,1.33,4.13,1.28,3.62
13,Delray Beach,Delray Beach Open,21/02/17,ATP250,Outdoor,Hard,1st Round,3,Young D.,Karlovic I.,69,20,726,1875,7,6,7,6,,,,,,,2,0,Completed,2.37,1.53,2.2,1.6,2.25,1.57,2.56,1.56,2.56,1.62,2.37,1.57
13,Delray Beach,Delray Beach Open,21/02/17,ATP250,Outdoor,Hard,1st Round,3,Basilashvili N.,Haas T.,53,1024,858,10,6,7,7,6,6,2,,,,,2,1,Completed,1.36,3,1.38,2.8,1.36,3,1.43,3.05,1.45,3.1,1.4,2.89
