ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,CBW,CBL,EXW,EXL,IWW,IWL,PSW,PSL
3,Doha,Qatar Exxon Mobil Open,03/01/05,International,Outdoor,Hard,1st Round,3,Ljubicic I.,Wawrinka S.,22,168,6,3,6,4,,,,,,,2,0,Completed,,,1.28,3.45,1.25,3.75,1.3,2.7,1.269,4.17
3,Doha,Qatar Exxon Mobil Open,03/01/05,International,Outdoor,Hard,1st Round,3,Lee H.T.,Stakhovsky S.,59,335,6,0,6,2,,,,,,,2,0,Completed,,,,,,,1.4,2.3,,
3,Doha,Qatar Exxon Mobil Open,03/01/05,International,Outdoor,Hard,1st Round,3,Lopez F.,Volandri F.,25,43,7,5,6,3,,,,,,,2,0,Completed,1.286,3.25,1.28,3.45,1.25,3.75,1.25,3,1.308,3.75
3,Doha,Qatar Exxon Mobil Open,03/01/05,International,Outdoor,Hard,1st Round,3,Vico U.,Mahut N.,206,131,4,6,6,3,6,4,,,,,2,1,Completed,,,,,,,1.85,1.65,2.1,1.769
3,Doha,Qatar Exxon Mobil Open,03/01/05,International,Outdoor,Hard,1st Round,3,Federer R.,Ferrer D.,1,49,6,1,6,1,,,,,,,2,0,Completed,1.03,10,1.04,9,1.04,9.25,1.05,5,1.045,17
3,Doha,Qatar Exxon Mobil Open,03/01/05,International,Outdoor,Hard,1st Round,3,Lopez M.,Ulihrach B.,149,86,7,5,7,6,,,,,,,2,0,Completed,2.875,1.364,3,1.35,2.85,1.4,2.5,1.35,3.22,1.389
3,Doha,Qatar Exxon Mobil Open,03/01/05,International,Outdoor,Hard,1st Round,3,Rusedski G.,Hernych J.,46,83,6,3,7,5,,,,,,,2,0,Completed,1.4,2.75,1.35,3,1.27,3.53,1.25,3,1.385,3.25
3,Doha,Qatar Exxon Mobil Open,04/01/05,International,Outdoor,Hard,1st Round,3,Santoro F.,Johansson T.,52,30,6,4,6,2,,,,,,,2,0,Completed,2.75,1.4,3,1.36,3.46,1.28,2.5,1.35,1.392,3.2
3,Doha,Qatar Exxon Mobil Open,04/01/05,International,Outdoor,Hard,1st Round,3,Davydenko N.,Karlovic I.,28,61,7,6,6,3,,,,,,,2,0,Completed,1.667,2.1,1.75,2,1.67,2.12,1.65,1.85,1.704,2.22
3,Doha,Qatar Exxon Mobil Open,04/01/05,International,Outdoor,Hard,1st Round,3,Beck K.,Andreev I.,44,50,6,3,6,4,,,,,,,2,0,Completed,1.833,1.833,1.88,1.88,2,1.75,1.8,1.7,1.885,1.935
