ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,CBW,CBL,EXW,EXL,PSW,PSL,UBW,UBL
3,Doha,Qatar Exxon Mobil Open,02/01/06,International,Outdoor,Hard,1st Round,3,Youzhny M.,Bjorkman J.,43,62,775,588,1,6,6,3,6,4,,,,,2,1,Completed,1.36,2.87,1.35,3.1,1.3,3.35,1.408,3.25,1.34,3.12
3,Doha,Qatar Exxon Mobil Open,02/01/06,International,Outdoor,Hard,1st Round,3,Sanguinetti D.,Rochus O.,44,27,773,1110,2,6,7,6,7,6,,,,,2,1,Completed,2.5,1.5,2.55,1.5,2.6,1.45,3.04,1.446,2.74,1.43
3,Doha,Qatar Exxon Mobil Open,02/01/06,International,Outdoor,Hard,1st Round,3,Haas T.,Wawrinka S.,45,54,755,675,5,7,6,2,7,5,,,,,2,1,Completed,1.28,3.25,1.37,3,1.37,2.92,1.45,3.02,1.43,2.72
3,Doha,Qatar Exxon Mobil Open,02/01/06,International,Outdoor,Hard,1st Round,3,Moodie W.,Mirnyi M.,63,34,583,905,6,4,4,6,7,6,,,,,2,1,Completed,2.25,1.57,2.2,1.65,2.15,1.65,2.2,1.769,2.2,1.64
3,Doha,Qatar Exxon Mobil Open,02/01/06,International,Outdoor,Hard,1st Round,3,Lopez F.,Hanescu V.,33,35,910,856,6,4,7,6,,,,,,,2,0,Completed,1.57,2.25,1.65,2.2,1.7,2.1,1.68,2.37,1.68,2.12
3,Doha,Qatar Exxon Mobil Open,02/01/06,International,Outdoor,Hard,1st Round,3,Henman T.,Gasquet R.,36,16,850,1506,6,4,6,4,,,,,,,2,0,Completed,2.75,1.39,2.2,1.65,2.4,1.53,2.57,1.599,2.32,1.58
3,Doha,Qatar Exxon Mobil Open,02/01/06,International,Outdoor,Hard,1st Round,3,Baghdatis M.,Sultan-Khalfan A.,55,1497,634,N/A,6,1,6,1,,,,,,,2,0,Completed,1.02,11,,,,,1.062,13.11,,
3,Doha,Qatar Exxon Mobil Open,02/01/06,International,Outdoor,Hard,1st Round,3,Monfils G.,Zib T.,30,59,979,611,7,5,6,4,,,,,,,2,0,Completed,1.3,3.2,1.3,3.4,1.3,3.35,1.294,4.1,1.26,3.7
3,Doha,Qatar Exxon Mobil Open,03/01/06,International,Outdoor,Hard,1st Round,3,Santoro F.,Marach O.,58,127,615,350,6,0,2,6,6,4,,,,,2,1,Completed,1.36,2.87,1.45,2.7,1.37,2.92,1.463,2.96,1.38,2.9
3,Doha,Qatar Exxon Mobil Open,03/01/06,International,Outdoor,Hard,1st Round,3,Davydenko N.,Rochus C.,5,41,2390,795,6,3,6,1,,,,,,,2,0,Completed,1.12,5.5,1.15,5.25,1.15,5.2,1.167,6.4,1.17,4.75
