ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,MaxW,MaxL,AvgW,AvgL
2,Doha,Qatar Exxon Mobil Open,01/01/18,ATP250,Outdoor,Hard,1st Round,3,Rublev A.,Stebe C.M.,39,82,1229,651,6,1,,,,,,,,,1,0,Retired,1.44,2.62,1.47,2.5,1.57,2.37,1.54,2.62,1.57,2.9,1.49,2.59
2,Doha,Qatar Exxon Mobil Open,01/01/18,ATP250,Outdoor,Hard,1st Round,3,Verdasco F.,Sela D.,35,68,1295,755,4,6,6,4,6,0,,,,,2,1,Completed,1.36,3,1.37,2.85,1.44,2.75,1.41,3.14,1.45,3.32,1.4,2.92
2,Doha,Qatar Exxon Mobil Open,01/01/18,ATP250,Outdoor,Hard,1st Round,3,Thiem D.,Donskoy E.,5,72,4015,704,7,6,6,3,,,,,,,2,0,Completed,1.2,4.33,1.19,4.2,1.2,4.5,1.22,4.74,1.28,4.85,1.21,4.26
2,Doha,Qatar Exxon Mobil Open,01/01/18,ATP250,Outdoor,Hard,1st Round,3,Basilashvili N.,Fabbiano T.,59,73,826,701,6,4,6,3,,,,,,,2,0,Completed,1.57,2.25,1.62,2.15,1.67,2.2,1.68,2.31,1.77,2.31,1.68,2.16
2,Doha,Qatar Exxon Mobil Open,01/01/18,ATP250,Outdoor,Hard,1st Round,3,Tsitsipas S.,Mayer F.,91,69,606,718,4,6,7,5,6,4,,,,,2,1,Completed,1.53,2.37,1.5,2.4,1.53,2.5,1.54,2.64,1.57,2.82,1.52,2.49
2,Doha,Qatar Exxon Mobil Open,02/01/18,ATP250,Outdoor,Hard,1st Round,3,Coric B.,Carreno Busta P.,48,10,1001,2615,5,7,6,2,7,6,,,,,2,1,Completed,1.72,2,1.72,2,1.73,2.1,1.76,2.16,1.84,2.17,1.75,2.06
2,Doha,Qatar Exxon Mobil Open,02/01/18,ATP250,Outdoor,Hard,1st Round,3,Basic M.,Haider-Maurer A.,138,451,399,81,6,4,6,3,,,,,,,2,0,Completed,1.22,4,1.21,3.95,1.2,4.5,1.26,4.2,1.29,4.6,1.23,4.08
2,Doha,Qatar Exxon Mobil Open,02/01/18,ATP250,Outdoor,Hard,1st Round,3,Lopez F.,Garcia-Lopez G.,36,70,1295,714,6,4,5,7,7,6,,,,,2,1,Completed,1.53,2.37,1.5,2.4,1.53,2.5,1.57,2.55,1.61,2.57,1.55,2.42
2,Doha,Qatar Exxon Mobil Open,02/01/18,ATP250,Outdoor,Hard,1st Round,3,Gojowczyk P.,Krajinovic F.,60,34,817,1298,6,4,6,1,,,,,,,2,0,Completed,2.2,1.61,2.1,1.65,2.1,1.73,2.37,1.65,2.45,1.86,2.14,1.7
2,Doha,Qatar Exxon Mobil Open,02/01/18,ATP250,Outdoor,Hard,1st Round,3,Bedene A.,Jaziri M.,49,98,993,580,7,5,6,1,,,,,,,2,0,Completed,1.53,2.37,1.55,2.3,1.57,2.37,1.58,2.53,1.64,2.58,1.57,2.38
2,Doha,Qatar Exxon Mobil Open,02/01/18,ATP250,Outdoor,Hard,1st Round,3,Berrettini M.,Troicki V.,135,55,410,880,4,6,7,6,6,4,,,,,2,1,Completed,2.25,1.57,2.2,1.6,2.25,1.61,2.28,1.69,2.45,1.69,2.27,1.62
2,Doha,Qatar Exxon Mobil Open,02/01/18,ATP250,Outdoor,Hard,1st Round,3,Struff J.L.,Berdych T.,53,19,898,2095,6,4,1,6,7,6,,,,,2,1,Completed,3.25,1.33,3.05,1.33,3,1.4,3.27,1.38,3.5,1.38,3.14,1.35
2,Doha,Qatar Exxon Mobil Open,02/01/18,ATP250,Outdoor,Hard,1st Round,3,Travaglia S.,Al Mutawa J.,134,N/A,414,N/A,6,1,6,2,,,,,,,2,0,Completed,1.005,34,,,1.01,26,1.01,25.62,1.02,34,1.01,18.89
2,Doha,Qatar Exxon Mobil Open,02/01/18,ATP250,Outdoor,Hard,1st Round,3,Gasquet R.,Estrella Burgos V.,31,83,1375,648,6,0,6,2,,,,,,,2,0,Completed,1.12,6,1.1,5.9,1.12,6,1.13,7.12,1.15,8.2,1.11,6.45
2,Doha,Qatar Exxon Mobil Open,02/01/18,ATP250,Outdoor,Hard,1st Round,3,Pella G.,Ramos-Vinolas A.,64,23,774,1845,2,6,7,5,7,5,,,,,2,1,Completed,1.83,1.83,1.9,1.8,2,1.8,1.98,1.91,2.05,1.95,1.92,1.86
2,Doha,Qatar Exxon Mobil Open,02/01/18,ATP250,Outdoor,Hard,1st Round,3,Monfils G.,Lorenzi P.,46,43,1015,1095,6,3,3,6,6,4,,,,,2,1,Completed,1.22,4,1.22,3.85,1.25,4,1.25,4.36,1.26,4.45,1.23,4.04
2,Doha,Qatar Exxon Mobil Open,03/01/18,ATP250,Outdoor,Hard,2nd Round,3,Coric B.,Basilashvili N.,48,59,1001,826,6,1,6,3,,,,,,,2,0,Completed,1.4,2.75,1.45,2.55,1.44,2.75,1.51,2.78,1.54,2.85,1.46,2.66
2,Doha,Qatar Exxon Mobil Open,03/01/18,ATP250,Outdoor,Hard,2nd Round,3,Basic M.,Lopez F.,138,36,399,1295,6,4,7,6,,,,,,,2,0,Completed,2.75,1.4,2.65,1.42,2.75,1.44,2.87,1.48,2.9,1.53,2.67,1.46
2,Doha,Qatar Exxon Mobil Open,03/01/18,ATP250,Outdoor,Hard,2nd Round,3,Rublev A.,Verdasco F.,39,35,1229,1295,6,4,3,6,6,4,,,,,2,1,Completed,2.2,1.61,2.15,1.62,2.2,1.67,2.29,1.7,2.29,1.78,2.17,1.68
2,Doha,Qatar Exxon Mobil Open,03/01/18,ATP250,Outdoor,Hard,2nd Round,3,Gojowczyk P.,Berrettini M.,60,135,817,410,6,2,6,2,,,,,,,2,0,Completed,1.61,2.2,1.57,2.25,1.61,2.25,1.6,2.51,1.62,2.58,1.57,2.38
2,Doha,Qatar Exxon Mobil Open,03/01/18,ATP250,Outdoor,Hard,2nd Round,3,Thiem D.,Bedene A.,5,49,4015,993,7,5,6,4,,,,,,,2,0,Completed,1.28,3.5,1.27,3.45,1.3,3.5,1.3,3.89,1.35,4.14,1.3,3.47
2,Doha,Qatar Exxon Mobil Open,03/01/18,ATP250,Outdoor,Hard,2nd Round,3,Pella G.,Travaglia S.,64,134,774,414,7,6,6,3,,,,,,,2,0,Completed,1.4,2.75,1.42,2.65,1.44,2.75,1.47,2.91,1.49,2.95,1.44,2.73
2,Doha,Qatar Exxon Mobil Open,03/01/18,ATP250,Outdoor,Hard,2nd Round,3,Monfils G.,Struff J.L.,46,53,1015,898,6,3,1,6,6,3,,,,,2,1,Completed,1.57,2.25,1.57,2.25,1.61,2.25,1.65,2.38,1.71,2.6,1.61,2.3
2,Doha,Qatar Exxon Mobil Open,03/01/18,ATP250,Outdoor,Hard,2nd Round,3,Tsitsipas S.,Gasquet R.,91,31,606,1375,6,3,6,4,,,,,,,2,0,Completed,3,1.36,2.95,1.35,3,1.4,3.05,1.43,3.38,1.44,3.04,1.37
2,Doha,Qatar Exxon Mobil Open,04/01/18,ATP250,Outdoor,Hard,Quarterfinals,3,Pella G.,Basic M.,64,138,774,399,6,2,6,3,,,,,,,2,0,Completed,1.53,2.5,1.5,2.4,1.53,2.5,1.54,2.7,1.6,2.7,1.52,2.5
2,Doha,Qatar Exxon Mobil Open,04/01/18,ATP250,Outdoor,Hard,Quarterfinals,3,Rublev A.,Coric B.,39,48,1229,1001,6,3,7,5,,,,,,,2,0,Completed,2.1,1.72,2,1.72,2.1,1.73,2.15,1.8,2.2,1.83,2.06,1.76
2,Doha,Qatar Exxon Mobil Open,04/01/18,ATP250,Outdoor,Hard,Quarterfinals,3,Thiem D.,Tsitsipas S.,5,91,4015,606,7,5,6,4,,,,,,,2,0,Completed,1.4,3,1.37,2.85,1.4,3,1.4,3.28,1.45,3.32,1.39,2.98
2,Doha,Qatar Exxon Mobil Open,04/01/18,ATP250,Outdoor,Hard,Quarterfinals,3,Monfils G.,Gojowczyk P.,46,60,1015,817,6,3,7,6,,,,,,,2,0,Completed,1.53,2.5,1.5,2.4,1.53,2.5,1.53,2.74,1.63,2.89,1.52,2.54
2,Doha,Qatar Exxon Mobil Open,05/01/18,ATP250,Outdoor,Hard,Semifinals,3,Rublev A.,Pella G.,39,64,1229,774,6,2,4,6,7,6,,,,,2,1,Completed,1.53,2.5,1.47,2.5,1.5,2.62,1.56,2.65,1.58,2.83,1.52,2.54
2,Doha,Qatar Exxon Mobil Open,05/01/18,ATP250,Outdoor,Hard,Semifinals,3,Monfils G.,Thiem D.,46,5,1015,4015,,,,,,,,,,,,,Walkover,2.62,1.5,2.35,1.53,2.62,1.5,2.6,1.57,2.62,1.59,2.52,1.53
2,Doha,Qatar Exxon Mobil Open,06/01/18,ATP250,Outdoor,Hard,The Final,3,Monfils G.,Rublev A.,46,39,1015,1229,6,2,6,3,,,,,,,2,0,Completed,1.61,2.3,1.57,2.25,1.67,2.2,1.63,2.47,1.67,2.52,1.62,2.3
