WTA,Location,Tournament,Date,Tier,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL
8,Doha,Qatar Total Open,01/03/2021,WTA500,Outdoor,Hard,1st Round,3,Kontaveit A.,Brady J.,24,13,2575,3765,6,1,6,2,,,2,0,Completed,2.5,1.5,2.64,1.54,2.65,1.63,2.48,1.53
8,Doha,Qatar Total Open,01/03/2021,WTA500,Outdoor,Hard,1st Round,3,Muguruza G.,Kudermetova V.,16,34,3320,1800,6,2,7,6,,,2,0,Completed,1.28,3.75,1.28,4.06,1.32,4.06,1.28,3.62
8,Doha,Qatar Total Open,01/03/2021,WTA500,Outdoor,Hard,1st Round,3,Kerber A.,Buyukakcay C.,26,179,2370,414,6,4,6,2,,,2,0,Completed,1.14,5.5,1.15,6.32,1.17,7,1.13,5.92
8,Doha,Qatar Total Open,01/03/2021,WTA500,Outdoor,Hard,1st Round,3,Ostapenko J.,Bertens K.,51,11,1485,4505,6,0,6,2,,,2,0,Completed,1.5,2.62,1.52,2.71,1.56,2.76,1.5,2.57
8,Doha,Qatar Total Open,01/03/2021,WTA500,Outdoor,Hard,1st Round,3,Sakkari M.,Sherif M.,25,114,2570,691,6,0,6,3,,,2,0,Completed,1.16,5,1.17,5.71,1.25,6.5,1.18,4.78
8,Doha,Qatar Total Open,01/03/2021,WTA500,Outdoor,Hard,1st Round,3,Azarenka V.,Kuznetsova S.,14,39,3535,1631,6,2,6,3,,,2,0,Completed,1.4,3,1.39,3.21,1.5,3.52,1.39,2.98
8,Doha,Qatar Total Open,02/03/2021,WTA500,Outdoor,Hard,1st Round,3,Pegula J.,Wang Q.,44,35,1558,1760,6,3,6,1,,,2,0,Completed,1.25,4,1.27,4.14,1.29,4.44,1.24,3.98
8,Doha,Qatar Total Open,02/03/2021,WTA500,Outdoor,Hard,1st Round,3,Siegemund L.,Rybakina E.,56,23,1356,2718,7,6,7,6,,,2,0,Completed,2.75,1.44,3,1.44,3.32,1.49,2.92,1.4
8,Doha,Qatar Total Open,02/03/2021,WTA500,Outdoor,Hard,1st Round,3,Jabeur O.,Blinkova A.,31,69,1915,1114,6,2,6,2,,,2,0,Completed,1.25,4,1.27,4.15,1.28,4.4,1.24,3.99
8,Doha,Qatar Total Open,02/03/2021,WTA500,Outdoor,Hard,1st Round,3,Pavlyuchenkova A.,Pliskova Kr.,41,75,1630,1020,6,2,6,3,,,2,0,Completed,1.57,2.37,1.62,2.44,1.65,2.47,1.58,2.36
8,Doha,Qatar Total Open,02/03/2021,WTA500,Outdoor,Hard,1st Round,3,Keys M.,Bencic B.,19,12,2962,4255,6,4,6,1,,,2,0,Completed,2,1.8,2.18,1.75,2.2,1.85,2.04,1.77
8,Doha,Qatar Total Open,02/03/2021,WTA500,Outdoor,Hard,1st Round,3,Doi M.,Zheng S.,83,48,954,1510,6,4,6,3,,,2,0,Completed,2.75,1.44,2.63,1.54,3.23,1.54,2.75,1.45
8,Doha,Qatar Total Open,03/03/2021,WTA500,Outdoor,Hard,2nd Round,3,Azarenka V.,Siegemund L.,14,56,3535,1356,6,4,6,2,,,2,0,Completed,1.25,4,1.32,3.77,1.36,4.2,1.28,3.62
