ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,UBW,UBL
17,Dubai ,Dubai Tennis Championships,03/03/08,International Gold,Outdoor,Hard,1st Round,3,Andreev I.,Minar J.,34,197,945,207,6,3,6,4,,,,,,,2,0,Completed,1.16,4.5,1.23,3.89,1.16,4.5,1.244,4.69,1.22,4.1
17,Dubai ,Dubai Tennis Championships,03/03/08,International Gold,Outdoor,Hard,1st Round,3,Santoro F.,Youzhny M.,47,12,705,1515,6,3,6,4,,,,,,,2,0,Completed,4.33,1.2,4,1.22,4.333,1.2,4.9,1.233,4.6,1.18
17,Dubai ,Dubai Tennis Championships,03/03/08,International Gold,Outdoor,Hard,1st Round,3,Hernych J.,Wawrinka S.,188,33,218,955,6,4,6,4,,,,,,,2,0,Completed,5,1.14,4.5,1.2,4.333,1.2,5.14,1.22,4.6,1.18
17,Dubai ,Dubai Tennis Championships,03/03/08,International Gold,Outdoor,Hard,1st Round,3,Ferrer D.,Haas T.,4,35,2695,925,6,3,6,0,,,,,,,2,0,Completed,1.4,2.75,1.37,2.92,1.4,2.75,1.444,3.05,1.35,3.1
17,Dubai ,Dubai Tennis Championships,03/03/08,International Gold,Outdoor,Hard,1st Round,3,Verdasco F.,Schuettler R.,30,88,1050,474,7,6,4,6,6,1,,,,,2,1,Completed,1.25,3.75,1.21,4.06,1.286,3.5,1.31,3.93,1.26,3.7
17,Dubai ,Dubai Tennis Championships,03/03/08,International Gold,Outdoor,Hard,1st Round,3,Davydenko N.,Al-Ghareeb M.,5,431,2640,69,6,4,6,0,,,,,,,2,0,Completed,1.01,13,1.03,10.5,1.03,10,1.045,18,1.02,15
17,Dubai ,Dubai Tennis Championships,03/03/08,International Gold,Outdoor,Hard,1st Round,3,Murray A.,Federer R.,11,1,1625,6330,6,7,6,3,6,4,,,,,2,1,Completed,4,1.22,3.75,1.25,4.333,1.2,4.64,1.248,3.85,1.25
17,Dubai ,Dubai Tennis Championships,03/03/08,International Gold,Outdoor,Hard,1st Round,3,Gasquet R.,Tursunov D.,8,36,1885,925,6,4,6,4,,,,,,,2,0,Completed,1.5,2.5,1.55,2.35,1.533,2.375,1.581,2.62,1.54,2.42
17,Dubai ,Dubai Tennis Championships,04/03/08,International Gold,Outdoor,Hard,1st Round,3,Berdych T.,Monfils G.,10,52,1685,642,6,3,6,2,,,,,,,2,0,Completed,1.28,3.5,1.25,3.75,1.286,3.5,1.297,4.07,1.26,3.7
17,Dubai ,Dubai Tennis Championships,04/03/08,International Gold,Outdoor,Hard,1st Round,3,Mathieu P.H.,Sirianni J.,14,157,1495,271,6,4,6,4,,,,,,,2,0,Completed,1.16,4.5,1.17,4.67,1.167,4.5,1.215,5.25,1.16,5
17,Dubai ,Dubai Tennis Championships,04/03/08,International Gold,Outdoor,Hard,1st Round,3,Ledovskikh M.,Nader M.,171,N/A,247,N/A,6,1,6,1,,,,,,,2,0,Completed,1.1,6.5,,,1.12,5.5,1.22,9.5,,
