ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,SJW,SJL,MaxW,MaxL,AvgW,AvgL
18,Dubai ,Dubai Tennis Championships,25/02/13,ATP500,Outdoor,Hard,1st Round,3,Bautista R.,Goffin D.,55,51,788,820,6,2,7,5,,,,,,,2,0,Completed,1.53,2.37,1.6,2.25,1.62,2.2,1.74,2.21,1.67,2.2,1.74,2.4,1.62,2.25
18,Dubai ,Dubai Tennis Championships,25/02/13,ATP500,Outdoor,Hard,1st Round,3,Seppi A.,Mathieu P.H.,20,64,1730,728,6,3,7,5,,,,,,,2,0,Completed,1.5,2.5,1.5,2.5,1.53,2.38,1.57,2.55,1.57,2.38,1.67,2.67,1.56,2.39
18,Dubai ,Dubai Tennis Championships,25/02/13,ATP500,Outdoor,Hard,1st Round,3,Brands D.,Serra F.,97,145,542,371,7,6,6,4,,,,,,,2,0,Completed,1.33,3.25,1.35,3,1.4,2.75,1.38,3.3,1.36,3,1.43,3.8,1.37,2.98
18,Dubai ,Dubai Tennis Championships,25/02/13,ATP500,Outdoor,Hard,1st Round,3,Rosol L.,Viola M.,61,126,749,431,6,3,7,5,,,,,,,2,0,Completed,1.5,2.5,1.5,2.5,1.4,2.75,1.61,2.45,1.44,2.75,1.61,2.75,1.49,2.55
18,Dubai ,Dubai Tennis Championships,25/02/13,ATP500,Outdoor,Hard,1st Round,3,Youzhny M.,Kavcic B.,31,78,1210,653,1,6,6,1,6,3,,,,,2,1,Completed,1.36,3,1.35,3,1.3,3.4,1.34,3.5,1.33,3.25,1.43,3.95,1.35,3.12
18,Dubai ,Dubai Tennis Championships,25/02/13,ATP500,Outdoor,Hard,1st Round,3,Federer R.,Jaziri M.,2,128,9855,428,5,7,6,0,6,2,,,,,2,1,Completed,1.01,23,1.01,15,,26,1.01,25.62,1.02,13,1.02,46,1.01,19.66
18,Dubai ,Dubai Tennis Championships,25/02/13,ATP500,Outdoor,Hard,1st Round,3,Devvarman S.,Kunitsyn I.,315,167,137,322,6,1,6,4,,,,,,,2,0,Completed,1.57,2.25,1.65,2.15,1.67,2.1,1.66,2.34,1.67,2.2,1.72,2.46,1.65,2.19
18,Dubai ,Dubai Tennis Championships,26/02/13,ATP500,Outdoor,Hard,1st Round,3,Kamke T.,Kukushkin M.,90,158,567,346,4,6,6,4,6,4,,,,,2,1,Completed,1.4,2.75,1.4,2.8,1.36,3,1.45,2.93,1.36,3,1.45,3,1.41,2.83
18,Dubai ,Dubai Tennis Championships,26/02/13,ATP500,Outdoor,Hard,1st Round,3,Davydenko N.,Tipsarevic J.,46,9,915,3125,6,0,7,5,,,,,,,2,0,Completed,2.5,1.5,2.25,1.6,2.2,1.62,2.32,1.67,2.25,1.62,2.6,1.67,2.34,1.58
18,Dubai ,Dubai Tennis Championships,26/02/13,ATP500,Outdoor,Hard,1st Round,3,Hanescu V.,Tomic B.,58,45,778,920,3,2,,,,,,,,,0,0,Retired,5,1.16,5,1.15,4.5,1.17,5.3,1.19,5,1.17,6.7,1.2,4.95,1.17
