WTA,Location,Tournament,Date,Tier,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,MaxW,MaxL,AvgW,AvgL
9,Dubai,Dubai Duty Free Tennis Championships,15/02/15,Premier,Outdoor,Hard,1st Round,3,Pironkova T.,Koukalova K.,57,46,902,1050,6,3,4,6,6,3,2,1,Completed,1.36,3,1.42,2.8,1.53,2.38,1.42,3.06,1.53,3.1,1.4,2.83
9,Dubai,Dubai Duty Free Tennis Championships,15/02/15,Premier,Outdoor,Hard,1st Round,3,Bencic B.,Knapp K.,37,58,1280,900,6,4,6,4,,,2,0,Completed,1.57,2.25,1.62,2.25,1.73,2,1.59,2.49,1.73,2.49,1.64,2.19
9,Dubai,Dubai Duty Free Tennis Championships,15/02/15,Premier,Outdoor,Hard,1st Round,3,Stosur S.,Lucic M.,25,73,1830,775,6,3,6,1,,,2,0,Completed,1.33,3.25,1.38,3,1.3,3.4,1.41,3.14,1.41,3.5,1.33,3.17
9,Dubai,Dubai Duty Free Tennis Championships,15/02/15,Premier,Outdoor,Hard,1st Round,3,Kuznetsova S.,Kanepi K.,27,48,1701,1015,4,1,,,,,0,0,Retired,1.57,2.25,1.65,2.15,1.67,2.1,1.66,2.34,1.67,2.35,1.63,2.21
9,Dubai,Dubai Duty Free Tennis Championships,15/02/15,Premier,Outdoor,Hard,1st Round,3,Lisicki S.,Niculescu M.,28,61,1592,853,6,3,6,4,,,2,0,Completed,1.53,2.37,1.6,2.3,1.5,2.5,1.65,2.37,1.65,2.5,1.57,2.34
9,Dubai,Dubai Duty Free Tennis Championships,15/02/15,Premier,Outdoor,Hard,1st Round,3,Dellacqua C.,Siniakova K.,35,78,1372,713,6,3,6,4,,,2,0,Completed,1.72,2,1.72,2.05,1.62,2.2,1.83,2.07,1.83,2.2,1.74,2.04
9,Dubai,Dubai Duty Free Tennis Championships,15/02/15,Premier,Outdoor,Hard,1st Round,3,Pennetta F.,Goerges J.,14,65,2441,820,2,6,7,6,6,4,2,1,Completed,1.57,2.25,1.55,2.4,1.57,2.25,1.68,2.3,1.68,2.5,1.57,2.32
9,Dubai,Dubai Duty Free Tennis Championships,15/02/15,Premier,Outdoor,Hard,1st Round,3,Diyas Z.,Beck A.,33,68,1420,810,6,2,6,2,,,2,0,Completed,1.53,2.37,1.65,2.2,1.5,2.5,1.68,2.3,1.68,2.5,1.59,2.3
9,Dubai,Dubai Duty Free Tennis Championships,15/02/15,Premier,Outdoor,Hard,1st Round,3,Garcia C.,Rodionova Ar.,30,271,1461,155,6,3,6,2,,,2,0,Completed,1.05,10,1.07,7.5,1.08,7,1.06,11.24,1.08,11.5,1.05,9.07
9,Dubai,Dubai Duty Free Tennis Championships,15/02/15,Premier,Outdoor,Hard,1st Round,3,Cornet A.,Flipkens K.,19,59,2125,880,6,0,6,7,6,3,2,1,Completed,1.28,3.5,1.28,3.5,1.33,3.25,1.31,3.74,1.33,3.8,1.29,3.44
9,Dubai,Dubai Duty Free Tennis Championships,15/02/15,Premier,Outdoor,Hard,1st Round,3,Jankovic J.,Babos T.,21,92,2070,618,6,3,4,6,6,1,2,1,Completed,1.53,2.37,1.62,2.25,1.57,2.25,1.57,2.55,1.67,2.55,1.58,2.32
9,Dubai,Dubai Duty Free Tennis Championships,16/02/15,Premier,Outdoor,Hard,1st Round,3,Muguruza G.,Gajdosova J.,24,55,1845,940,3,6,6,1,6,2,2,1,Completed,1.25,3.75,1.28,3.4,1.33,3.25,1.27,4.1,1.33,4.1,1.27,3.56
9,Dubai,Dubai Duty Free Tennis Championships,16/02/15,Premier,Outdoor,Hard,1st Round,3,Peng S.,Vesnina E.,23,71,2050,787,7,5,6,1,,,2,0,Completed,1.36,3,1.33,3.2,1.36,3,1.42,3.09,1.42,3.25,1.35,3.04
9,Dubai,Dubai Duty Free Tennis Championships,16/02/15,Premier,Outdoor,Hard,1st Round,3,Wang Q.,Nara K.,98,42,582,1145,5,7,6,1,7,5,2,1,Completed,2.5,1.5,2.3,1.6,2.2,1.62,2.35,1.66,2.5,1.67,2.35,1.56
9,Dubai,Dubai Duty Free Tennis Championships,16/02/15,Premier,Outdoor,Hard,1st Round,3,Giorgi C.,Zvonareva V.,31,157,1455,332,6,4,6,2,,,2,0,Completed,1.57,2.25,1.65,2.15,1.67,2.1,1.57,2.54,1.73,2.54,1.61,2.25
9,Dubai,Dubai Duty Free Tennis Championships,16/02/15,Premier,Outdoor,Hard,1st Round,3,Kozlova K.,Watson H.,132,43,428,1122,6,4,7,5,,,2,0,Completed,2.37,1.53,2.4,1.55,2.38,1.53,2.44,1.61,2.5,1.61,2.39,1.54
9,Dubai,Dubai Duty Free Tennis Championships,16/02/15,Premier,Outdoor,Hard,1st Round,3,Buyukakcay C.,Dabrowski G.,120,183,468,285,6,2,6,7,6,4,2,1,Completed,1.53,2.37,1.6,2.3,1.57,2.25,1.64,2.39,1.64,2.5,1.59,2.29
9,Dubai,Dubai Duty Free Tennis Championships,16/02/15,Premier,Outdoor,Hard,1st Round,3,Svitolina E.,Vandeweghe C.,26,32,1740,1423,3,1,,,,,0,0,Retired,1.53,2.37,1.62,2.25,1.62,2.2,1.67,2.32,1.7,2.4,1.6,2.27
9,Dubai,Dubai Duty Free Tennis Championships,16/02/15,Premier,Outdoor,Hard,1st Round,3,Pliskova Ka.,Pavlyuchenkova A.,18,40,2140,1172,6,2,6,4,,,2,0,Completed,1.57,2.25,1.58,2.3,1.5,2.5,1.56,2.59,1.61,2.59,1.55,2.37
9,Dubai,Dubai Duty Free Tennis Championships,16/02/15,Premier,Outdoor,Hard,1st Round,3,Safarova L.,Puig M.,15,52,2420,970,6,1,6,4,,,2,0,Completed,1.25,3.75,1.28,3.5,1.29,3.5,1.3,3.88,1.3,3.9,1.27,3.61
9,Dubai,Dubai Duty Free Tennis Championships,16/02/15,Premier,Outdoor,Hard,1st Round,3,Zahlavova Strycova B.,Beygelzimer Y.,22,159,2055,332,6,4,6,2,,,2,0,Completed,1.12,6,1.13,5.5,1.14,5,1.15,6.16,1.16,6.66,1.13,5.49
9,Dubai,Dubai Duty Free Tennis Championships,16/02/15,Premier,Outdoor,Hard,1st Round,3,Hantuchova D.,Barthel M.,47,39,1035,1203,7,6,3,6,6,3,2,1,Completed,2.5,1.5,2.5,1.5,2.38,1.53,2.67,1.53,2.7,1.57,2.48,1.51
9,Dubai,Dubai Duty Free Tennis Championships,16/02/15,Premier,Outdoor,Hard,2nd Round,3,Williams V.,Bencic B.,11,37,2731,1280,6,1,6,2,,,2,0,Completed,1.22,4,1.2,4.1,1.25,3.75,1.24,4.58,1.25,4.83,1.21,4.19
9,Dubai,Dubai Duty Free Tennis Championships,17/02/15,Premier,Outdoor,Hard,2nd Round,3,Muguruza G.,Jankovic J.,24,21,1845,2070,6,3,6,1,,,2,0,Completed,1.28,3.5,1.33,3.1,1.36,3,1.34,3.56,1.36,3.56,1.32,3.22
9,Dubai,Dubai Duty Free Tennis Championships,17/02/15,Premier,Outdoor,Hard,2nd Round,3,Radwanska A.,Garcia C.,8,30,3975,1461,6,3,2,6,6,3,2,1,Completed,1.22,4,1.28,3.5,1.25,3.75,1.25,4.5,1.3,4.5,1.25,3.8
9,Dubai,Dubai Duty Free Tennis Championships,17/02/15,Premier,Outdoor,Hard,2nd Round,3,Suarez Navarro C.,Giorgi C.,13,31,2500,1455,6,3,6,4,,,2,0,Completed,2.37,1.53,2.35,1.55,2.1,1.67,2.64,1.55,2.64,1.67,2.4,1.54
9,Dubai,Dubai Duty Free Tennis Championships,17/02/15,Premier,Outdoor,Hard,2nd Round,3,Cornet A.,Buyukakcay C.,19,120,2125,468,6,2,6,4,,,2,0,Completed,1.2,4.33,1.2,4,1.25,3.75,1.27,4.26,1.27,4.43,1.22,4.02
9,Dubai,Dubai Duty Free Tennis Championships,17/02/15,Premier,Outdoor,Hard,2nd Round,3,Diyas Z.,Petkovic A.,33,10,1420,3150,7,5,6,3,,,2,0,Completed,2.1,1.66,2.15,1.65,2.2,1.62,2.23,1.74,2.33,1.77,2.13,1.68
9,Dubai,Dubai Duty Free Tennis Championships,17/02/15,Premier,Outdoor,Hard,2nd Round,3,Safarova L.,Dellacqua C.,15,35,2420,1372,6,7,7,6,7,5,2,1,Completed,1.25,3.75,1.25,3.75,1.3,3.4,1.29,3.97,1.32,3.97,1.28,3.55
9,Dubai,Dubai Duty Free Tennis Championships,17/02/15,Premier,Outdoor,Hard,2nd Round,3,Pliskova Ka.,Zahlavova Strycova B.,18,22,2140,2055,6,4,6,2,,,2,0,Completed,1.57,2.25,1.62,2.2,1.62,2.2,1.7,2.29,1.7,2.31,1.63,2.21
9,Dubai,Dubai Duty Free Tennis Championships,17/02/15,Premier,Outdoor,Hard,2nd Round,3,Ivanovic A.,Lisicki S.,6,28,4425,1592,6,0,6,3,,,2,0,Completed,1.36,3,1.38,2.9,1.33,3.25,1.35,3.52,1.41,3.52,1.36,3.03
9,Dubai,Dubai Duty Free Tennis Championships,17/02/15,Premier,Outdoor,Hard,2nd Round,3,Kerber A.,Kuznetsova S.,12,27,2645,1701,7,6,6,4,,,2,0,Completed,2,1.72,1.92,1.8,1.91,1.8,1.9,2.01,2.1,2.01,1.93,1.82
9,Dubai,Dubai Duty Free Tennis Championships,17/02/15,Premier,Outdoor,Hard,2nd Round,3,Pironkova T.,Peng S.,57,23,902,2050,3,6,6,4,7,6,2,1,Completed,2.5,1.5,2.4,1.52,2.5,1.5,2.52,1.59,2.75,1.59,2.52,1.5
9,Dubai,Dubai Duty Free Tennis Championships,17/02/15,Premier,Outdoor,Hard,2nd Round,3,Wozniacki C.,Stosur S.,5,25,4565,1830,4,6,6,1,7,5,2,1,Completed,1.44,2.62,1.42,2.7,1.44,2.62,1.4,3.2,1.5,3.2,1.42,2.75
9,Dubai,Dubai Duty Free Tennis Championships,17/02/15,Premier,Outdoor,Hard,2nd Round,3,Makarova E.,Kozlova K.,9,132,3285,428,6,3,6,3,,,2,0,Completed,1.18,4.5,1.18,4.5,1.17,4.5,1.22,4.85,1.22,4.94,1.19,4.44
9,Dubai,Dubai Duty Free Tennis Championships,17/02/15,Premier,Outdoor,Hard,2nd Round,3,Pennetta F.,Wang Q.,14,98,2441,582,6,3,7,5,,,2,0,Completed,1.28,3.5,1.28,3.5,1.29,3.5,1.36,3.46,1.38,3.63,1.3,3.41
9,Dubai,Dubai Duty Free Tennis Championships,17/02/15,Premier,Outdoor,Hard,2nd Round,3,Kvitova P.,Svitolina E.,3,26,6291,1740,2,6,6,3,6,2,2,1,Completed,1.25,3.75,1.28,3.5,1.29,3.5,1.3,3.93,1.32,3.95,1.27,3.59
9,Dubai,Dubai Duty Free Tennis Championships,17/02/15,Premier,Outdoor,Hard,2nd Round,3,Halep S.,Hantuchova D.,4,47,5672,1035,6,2,6,0,,,2,0,Completed,1.11,6.5,1.13,5.5,1.12,5.5,1.15,6.55,1.17,6.55,1.12,5.74
9,Dubai,Dubai Duty Free Tennis Championships,18/02/15,Premier,Outdoor,Hard,3rd Round,3,Makarova E.,Diyas Z.,9,33,3285,1420,6,3,6,4,,,2,0,Completed,1.25,3.75,1.25,3.75,1.29,3.5,1.3,3.88,1.3,4.05,1.26,3.71
9,Dubai,Dubai Duty Free Tennis Championships,18/02/15,Premier,Outdoor,Hard,3rd Round,3,Muguruza G.,Radwanska A.,24,8,1845,3975,6,4,6,2,,,2,0,Completed,1.66,2.1,1.72,2.05,1.83,1.83,1.92,1.99,1.92,2.15,1.75,2.03
9,Dubai,Dubai Duty Free Tennis Championships,18/02/15,Premier,Outdoor,Hard,3rd Round,3,Safarova L.,Williams V.,15,11,2420,2731,6,4,6,2,,,2,0,Completed,3.5,1.28,3.2,1.33,2.75,1.4,2.86,1.48,3.5,1.48,3.05,1.36
9,Dubai,Dubai Duty Free Tennis Championships,18/02/15,Premier,Outdoor,Hard,3rd Round,3,Pennetta F.,Kerber A.,14,12,2441,2645,6,2,3,6,6,1,2,1,Completed,2.1,1.66,2.1,1.7,2.2,1.62,2.17,1.78,2.2,1.81,2.08,1.71
9,Dubai,Dubai Duty Free Tennis Championships,18/02/15,Premier,Outdoor,Hard,3rd Round,3,Pliskova Ka.,Ivanovic A.,18,6,2140,4425,6,2,4,6,6,4,2,1,Completed,2.62,1.44,2.55,1.48,2.75,1.4,2.89,1.47,2.89,1.53,2.6,1.47
