ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,SJW,SJL,MaxW,MaxL,AvgW,AvgL
35,Eastbourne,AEGON International,17/06/13,ATP250,Outdoor,Grass,1st Round,3,Fognini F.,Zemlja G.,30,53,1345,816,6,7,6,2,6,4,,,,,2,1,Completed,1.8,1.9,1.7,2.08,1.73,2,1.85,2.05,1.73,2.1,1.9,2.26,1.75,2.02
35,Eastbourne,AEGON International,17/06/13,ATP250,Outdoor,Grass,1st Round,3,Harrison R.,Mathieu P.H.,84,81,614,628,6,4,2,6,7,6,,,,,2,1,Completed,1.57,2.25,1.7,2.08,1.62,2.2,1.65,2.37,1.73,2.1,1.73,2.37,1.65,2.19
35,Eastbourne,AEGON International,17/06/13,ATP250,Outdoor,Grass,1st Round,3,Seppi A.,Rufin G.,26,89,1440,583,3,6,6,3,6,4,,,,,2,1,Completed,1.5,2.5,1.5,2.5,1.53,2.38,1.48,2.84,1.53,2.5,1.6,2.85,1.52,2.48
35,Eastbourne,AEGON International,17/06/13,ATP250,Outdoor,Grass,1st Round,3,Edmund K.,De Schepper K.,442,82,79,623,6,4,6,4,,,,,,,2,0,Completed,6,1.12,5,1.15,4.5,1.17,6.32,1.15,6,1.13,6.4,1.17,5.46,1.14
35,Eastbourne,AEGON International,17/06/13,ATP250,Outdoor,Grass,1st Round,3,Ramos A.,Blake J.,61,93,755,571,6,2,6,4,,,,,,,2,0,Completed,2.75,1.4,2.8,1.4,2.62,1.44,3.13,1.41,2.88,1.4,3.13,1.5,2.81,1.41
35,Eastbourne,AEGON International,17/06/13,ATP250,Outdoor,Grass,1st Round,3,Verdasco F.,Dolgopolov O.,58,24,785,1500,1,6,6,3,6,2,,,,,2,1,Completed,2.1,1.66,2,1.75,2.1,1.67,2.19,1.75,2,1.8,2.25,1.8,2.08,1.72
35,Eastbourne,AEGON International,18/06/13,ATP250,Outdoor,Grass,1st Round,3,Tomic B.,Ward J.,64,216,740,218,6,3,6,4,,,,,,,2,0,Completed,1.36,3,1.35,3,1.4,2.75,1.43,3.05,1.4,2.88,1.43,3.25,1.38,2.95
35,Eastbourne,AEGON International,18/06/13,ATP250,Outdoor,Grass,1st Round,3,Lopez F.,Nieminen J.,39,37,1015,1075,7,6,7,6,,,,,,,2,0,Completed,1.53,2.37,1.55,2.35,1.5,2.5,1.65,2.37,1.53,2.5,1.71,2.5,1.58,2.33
35,Eastbourne,AEGON International,18/06/13,ATP250,Outdoor,Grass,1st Round,3,Klizan M.,Troicki V.,35,44,1090,935,6,3,6,2,,,,,,,2,0,Completed,2.87,1.38,3,1.35,2.75,1.4,2.75,1.5,3,1.36,3,1.55,2.8,1.42
35,Eastbourne,AEGON International,18/06/13,ATP250,Outdoor,Grass,1st Round,3,Dodig I.,Istomin D.,54,45,808,935,6,3,6,4,,,,,,,2,0,Completed,2,1.72,1.95,1.8,1.91,1.8,2.13,1.79,1.9,1.9,2.13,1.9,1.95,1.81
