WTA,Location,Tournament,Date,Tier,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,SJW,SJL,MaxW,MaxL,AvgW,AvgL
30,Eastbourne,AEGON International,16/06/14,Premier,Outdoor,Grass,1st Round,3,Kerber A.,Riske A.,9,44,3830,1171,7,6,6,4,,,2,0,Completed,1.4,2.75,1.45,2.7,1.44,2.62,1.48,2.83,1.4,2.88,1.5,2.95,1.43,2.73
30,Eastbourne,AEGON International,16/06/14,Premier,Outdoor,Grass,1st Round,3,Pavlyuchenkova A.,Radwanska A.,26,4,1885,5990,6,4,3,6,7,6,2,1,Completed,4.5,1.18,4.5,1.18,4,1.22,4.59,1.23,4.5,1.2,5,1.23,4.38,1.2
30,Eastbourne,AEGON International,16/06/14,Premier,Outdoor,Grass,1st Round,3,Vesnina E.,Peng S.,32,60,1520,905,6,3,6,4,,,2,0,Completed,1.44,2.62,1.5,2.5,1.53,2.38,1.56,2.59,1.53,2.5,1.56,2.75,1.48,2.56
30,Eastbourne,AEGON International,16/06/14,Premier,Outdoor,Grass,1st Round,3,Wozniacki C.,Stosur S.,16,17,2700,2565,7,5,6,4,,,2,0,Completed,2.25,1.57,2.25,1.62,2.25,1.57,2.43,1.62,2.5,1.53,2.5,1.69,2.3,1.6
30,Eastbourne,AEGON International,16/06/14,Premier,Outdoor,Grass,1st Round,3,Stephens S.,Garcia C.,18,46,2540,1169,6,2,6,4,,,2,0,Completed,1.5,2.5,1.5,2.5,1.44,2.62,1.55,2.61,1.53,2.5,1.57,2.65,1.51,2.51
30,Eastbourne,AEGON International,16/06/14,Premier,Outdoor,Grass,1st Round,3,Cornet A.,Jovanovski B.,25,45,1995,1170,6,3,6,2,,,2,0,Completed,1.61,2.2,1.62,2.25,1.62,2.2,1.63,2.43,1.67,2.2,1.68,2.43,1.62,2.25
30,Eastbourne,AEGON International,17/06/14,Premier,Outdoor,Grass,1st Round,3,Hantuchova D.,Vinci R.,35,21,1361,2150,7,5,6,1,,,2,0,Completed,1.83,1.83,2.05,1.75,2,1.73,2.19,1.75,1.8,2,2.2,2,2.03,1.75
30,Eastbourne,AEGON International,17/06/14,Premier,Outdoor,Grass,1st Round,3,Konta J.,Bencic B.,109,72,602,773,6,3,6,2,,,2,0,Completed,3.75,1.25,3.4,1.3,3.75,1.25,3.42,1.36,4,1.22,4.25,1.36,3.49,1.29
30,Eastbourne,AEGON International,17/06/14,Premier,Outdoor,Grass,1st Round,3,Lepchenko V.,Zhang S.,57,33,932,1496,5,7,6,4,6,1,2,1,Completed,2.5,1.5,2.6,1.48,2.5,1.5,2.7,1.52,2.75,1.44,2.88,1.53,2.58,1.49
30,Eastbourne,AEGON International,17/06/14,Premier,Outdoor,Grass,1st Round,3,Giorgi C.,Azarenka V.,42,8,1214,3841,4,6,6,3,7,5,2,1,Completed,2.75,1.4,2.6,1.48,2.62,1.44,3.42,1.36,2.75,1.44,3.42,1.48,2.98,1.38
