WTA,Location,Tournament,Date,Tier,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,MaxW,MaxL,AvgW,AvgL
33,Eastbourne,Eastbourne International,24/06/18,Premier,Outdoor,Grass,1st Round,3,Pavlyuchenkova A.,Cirstea S.,29,47,1596,1065,2,6,7,5,6,4,2,1,Completed,1.57,2.25,1.55,2.3,1.57,2.37,1.6,2.48,1.64,2.58,1.58,2.39
33,Eastbourne,Eastbourne International,24/06/18,Premier,Outdoor,Grass,1st Round,3,Collins D.R.,Swan K.,43,207,1160,263,6,3,3,6,6,3,2,1,Completed,1.5,2.5,1.5,2.4,1.53,2.5,1.5,2.76,1.62,2.76,1.53,2.49
33,Eastbourne,Eastbourne International,24/06/18,Premier,Outdoor,Grass,1st Round,3,Vekic D.,Putintseva Y.,54,55,1010,991,7,5,6,3,,,2,0,Completed,1.4,2.75,1.42,2.65,1.57,2.37,1.48,2.84,1.54,2.93,1.45,2.74
33,Eastbourne,Eastbourne International,24/06/18,Premier,Outdoor,Grass,1st Round,3,Kuznetsova S.,Sakkari M.,57,36,964,1300,6,3,3,6,6,4,2,1,Completed,2,1.72,1.9,1.8,2,1.8,1.96,1.93,2.08,2.04,1.94,1.87
33,Eastbourne,Eastbourne International,24/06/18,Premier,Outdoor,Grass,1st Round,3,Bondarenko K.,Cornet A.,89,42,759,1180,4,6,6,2,6,4,2,1,Completed,1.9,1.8,1.9,1.8,2,1.8,2.05,1.85,2.06,1.95,1.95,1.85
33,Eastbourne,Eastbourne International,24/06/18,Premier,Outdoor,Grass,1st Round,3,Giorgi C.,Begu I.,56,33,987,1365,6,2,6,2,,,2,0,Completed,1.4,2.75,1.4,2.75,1.44,2.75,1.41,3.14,1.46,3.2,1.4,2.95
33,Eastbourne,Eastbourne International,25/06/18,Premier,Outdoor,Grass,1st Round,3,Cibulkova D.,Makarova E.,32,35,1385,1330,7,5,6,4,,,2,0,Completed,1.83,1.83,1.8,1.9,1.91,1.91,1.81,2.09,2.05,2.09,1.86,1.95
33,Eastbourne,Eastbourne International,25/06/18,Premier,Outdoor,Grass,1st Round,3,Kanepi K.,Nara K.,44,101,1147,648,6,2,6,4,,,2,0,Completed,1.4,2.75,1.42,2.65,1.44,2.75,1.49,2.81,1.5,2.85,1.46,2.73
33,Eastbourne,Eastbourne International,25/06/18,Premier,Outdoor,Grass,1st Round,3,Sabalenka A.,Vickery S.,45,82,1145,783,4,6,6,0,6,1,2,1,Completed,1.5,2.5,1.45,2.55,1.5,2.62,1.51,2.72,1.57,2.88,1.51,2.59
33,Eastbourne,Eastbourne International,25/06/18,Premier,Outdoor,Grass,1st Round,3,Buzarnescu M.,Peng S.,28,38,1648,1262,5,7,6,2,6,1,2,1,Completed,1.4,2.75,1.38,2.8,1.4,3,1.45,2.95,1.45,3.14,1.42,2.86
