ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,CBW,CBL,EXW,EXL,PSW,PSL,UBW,UBL
26,Estoril ,Estoril Open,29/04/07,International Series,Outdoor,Clay,1st Round,3,Kunitsyn I.,Sousa P.,91,970,465,8,6,1,6,1,,,,,,,2,0,Completed,,,,,,,1.233,4.89,,
26,Estoril ,Estoril Open,29/04/07,International Series,Outdoor,Clay,1st Round,3,Querrey S.,Horna L.,68,84,552,486,7,6,6,4,,,,,,,2,0,Completed,3.5,1.28,3.4,1.3,,,3.7,1.333,3.5,1.29
26,Estoril ,Estoril Open,30/04/07,International Series,Outdoor,Clay,1st Round,3,Del Potro J.M.,Falla A.,63,114,601,367,1,6,6,2,6,4,,,,,2,1,Completed,1.44,2.62,1.5,2.55,1.48,2.53,1.493,2.83,1.45,2.65
26,Estoril ,Estoril Open,30/04/07,International Series,Outdoor,Clay,1st Round,3,Djokovic N.,Andreev I.,5,177,2595,230,6,2,4,6,7,6,,,,,2,1,Completed,1.3,3.39,1.37,3,1.35,3.1,1.385,3.4,1.35,3.1
26,Estoril ,Estoril Open,30/04/07,International Series,Outdoor,Clay,1st Round,3,Monaco J.,Monfils G.,52,45,710,750,7,5,1,6,6,2,,,,,2,1,Completed,1.44,2.62,1.4,2.85,1.5,2.45,1.469,2.93,1.4,2.85
26,Estoril ,Estoril Open,30/04/07,International Series,Outdoor,Clay,1st Round,3,Ventura S.,Roitman S.,232,79,164,504,7,5,6,2,,,,,,,2,0,Completed,1.8,1.9,1.83,1.93,1.87,1.87,1.971,1.935,1.88,1.88
26,Estoril ,Estoril Open,30/04/07,International Series,Outdoor,Clay,1st Round,3,Gil F.,Ramirez-Hidalgo R.,142,55,320,670,6,1,4,6,6,3,,,,,2,1,Completed,,,,,2.28,1.58,2.4,1.667,2.38,1.55
26,Estoril ,Estoril Open,30/04/07,International Series,Outdoor,Clay,1st Round,3,Martin A.,Korolev E.,93,70,457,551,6,1,2,0,,,,,,,1,0,Retired,1.66,2.1,1.7,2.1,1.75,2,1.752,2.23,1.67,2.15
26,Estoril ,Estoril Open,01/05/07,International Series,Outdoor,Clay,1st Round,3,Garcia-Lopez G.,Russell M.,62,66,609,562,6,1,6,2,,,,,,,2,0,Completed,1.57,2.25,1.7,2.1,1.73,2.03,1.676,2.38,1.67,2.15
26,Estoril ,Estoril Open,01/05/07,International Series,Outdoor,Clay,1st Round,3,Spadea V.,Gabashvili T.,76,73,524,533,6,1,5,7,6,4,,,,,2,1,Completed,1.53,2.37,1.57,2.35,1.65,2.15,1.641,2.46,1.65,2.18
