WTA,Location,Tournament,Date,Tier,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,SJW,SJL,MaxW,MaxL,AvgW,AvgL
23,Estoril ,Estoril Open,30/04/12,International,Outdoor,Clay,1st Round,3,Vinci R.,Bratchikova N.,23,108,2230,625,6,1,1,6,6,4,2,1,Completed,1.14,5.5,1.15,5,1.14,5,1.16,5.99,1.17,4.5,1.17,6.2,1.14,5.32
23,Estoril ,Estoril Open,30/04/12,International,Outdoor,Clay,1st Round,3,Suarez Navarro C.,Govortsova O.,58,71,1064,847,6,4,6,4,,,2,0,Completed,1.36,3,1.35,3.05,1.36,3,1.34,3.5,1.36,2.88,1.41,3.5,1.36,3.06
23,Estoril ,Estoril Open,30/04/12,International,Outdoor,Clay,1st Round,3,Soler Espinosa S.,Cirstea S.,66,40,920,1351,6,4,6,4,,,2,0,Completed,2.25,1.57,2.35,1.54,2.25,1.57,2.59,1.56,2.25,1.57,2.61,1.95,2.29,1.6
23,Estoril ,Estoril Open,30/04/12,International,Outdoor,Clay,1st Round,3,King V.,Larsson J.,52,80,1154,776,6,7,6,3,6,0,2,1,Completed,1.57,2.25,1.55,2.35,1.57,2.25,1.69,2.29,1.57,2.25,1.7,2.45,1.6,2.28
23,Estoril ,Estoril Open,30/04/12,International,Outdoor,Clay,1st Round,3,Petrova N.,Luz B.,35,531,1706,62,6,0,6,1,,,2,0,Completed,,34,1.02,10.57,1.02,11,1.02,20.52,1.03,10,1.03,34,1.02,15.14
23,Estoril ,Estoril Open,01/05/12,International,Outdoor,Clay,1st Round,3,Koehler M.J.,Morita A.,227,77,254,790,6,1,7,5,,,2,0,Completed,2.62,1.44,2.5,1.5,2.62,1.44,2.67,1.53,2.88,1.36,3,1.53,2.62,1.46
23,Estoril ,Estoril Open,01/05/12,International,Outdoor,Clay,1st Round,3,Voskoboeva G.,Yakimova A.,49,95,1228,712,6,1,6,4,,,2,0,Completed,1.12,6,1.2,4.25,1.17,4.5,1.2,5.11,1.17,4.5,1.22,6,1.18,4.56
23,Estoril ,Estoril Open,01/05/12,International,Outdoor,Clay,1st Round,3,Hercog P.,Paszek T.,37,50,1547,1173,6,0,6,3,,,2,0,Completed,1.33,3.25,1.35,3,1.4,2.75,1.32,3.66,1.4,2.75,1.4,3.7,1.32,3.26
23,Estoril ,Estoril Open,01/05/12,International,Outdoor,Clay,1st Round,3,Cetkovska P.,Panova A.,28,76,1820,794,6,2,6,1,,,2,0,Completed,1.4,2.75,1.4,2.8,1.4,2.75,1.4,3.18,1.33,3,1.43,3.2,1.38,2.92
23,Estoril ,Estoril Open,01/05/12,International,Outdoor,Clay,1st Round,3,Gajdosova J.,Torro Flor M.T.,55,391,1127,101,6,3,6,1,,,2,0,Completed,1.66,2.1,1.7,2.08,1.67,2.1,1.75,2.19,1.67,2.1,1.82,2.23,1.71,2.06
23,Estoril ,Estoril Open,01/05/12,International,Outdoor,Clay,1st Round,3,Medina Garrigues A.,Barrois K.,32,208,1730,295,6,4,6,1,,,2,0,Completed,1.28,3.5,1.4,2.8,1.36,3,1.38,3.28,1.36,2.88,1.42,3.5,1.36,3.06
