WTA,Location,Tournament,Date,Tier,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,SJW,SJL,MaxW,MaxL,AvgW,AvgL
19,Fes,Grand Prix de SAR La Princesse Lalla Meryem,18/04/11,International,Outdoor,Clay,1st Round,3,Arn G.,Mayr P.,52,96,1116,683,6,0,1,0,,,1,0,Retired,1.5,2.5,1.45,2.6,1.53,2.38,1.57,2.55,1.53,2.38,1.62,2.75,1.53,2.43
19,Fes,Grand Prix de SAR La Princesse Lalla Meryem,18/04/11,International,Outdoor,Clay,1st Round,3,Halep S.,Yakimova A.,65,97,955,680,6,2,6,0,,,2,0,Completed,1.53,2.37,1.6,2.25,1.53,2.38,1.65,2.36,1.57,2.38,1.65,2.53,1.56,2.34
19,Fes,Grand Prix de SAR La Princesse Lalla Meryem,18/04/11,International,Outdoor,Clay,1st Round,3,Pervak K.,Kerber A.,83,63,790,987,6,1,4,6,6,3,2,1,Completed,2.1,1.66,2.05,1.72,2.2,1.62,2.15,1.78,2.25,1.57,2.3,1.82,2.14,1.68
19,Fes,Grand Prix de SAR La Princesse Lalla Meryem,18/04/11,International,Outdoor,Clay,1st Round,3,Kudryavtseva A.,Bratchikova N.,77,149,862,400,2,6,6,2,6,3,2,1,Completed,1.72,2,1.8,1.95,1.73,2,1.8,2.1,1.67,2.1,1.83,2.2,1.75,2.01
19,Fes,Grand Prix de SAR La Princesse Lalla Meryem,19/04/11,International,Outdoor,Clay,1st Round,3,Lalami N.,Doi M.,497,124,65,544,6,2,7,5,,,2,0,Completed,5,1.14,4.25,1.2,4.5,1.17,5.36,1.19,4.5,1.17,5.6,1.2,4.8,1.17
19,Fes,Grand Prix de SAR La Princesse Lalla Meryem,19/04/11,International,Outdoor,Clay,1st Round,3,Daniilidou E.,Radwanska U.,168,142,353,433,2,6,7,6,6,4,2,1,Completed,,,,,,,,,,,1.28,2.82,1.28,2.82
19,Fes,Grand Prix de SAR La Princesse Lalla Meryem,19/04/11,International,Outdoor,Clay,1st Round,3,Pivovarova A.,El Allami Zhara F.,116,439,583,83,6,3,7,6,,,2,0,Completed,1.04,10,1.06,8,1.06,8,1.09,9.12,1.07,8,1.1,10.5,1.06,8.06
19,Fes,Grand Prix de SAR La Princesse Lalla Meryem,19/04/11,International,Outdoor,Clay,1st Round,3,Pliskova Kr.,Voracova R.,216,92,269,714,6,7,7,5,6,3,2,1,Completed,3.5,1.28,3.3,1.3,,,3.78,1.31,3.5,1.25,3.94,1.35,3.5,1.28
19,Fes,Grand Prix de SAR La Princesse Lalla Meryem,19/04/11,International,Outdoor,Clay,1st Round,3,Shvedova Y.,Begu I.,49,102,1150,658,6,3,6,2,,,2,0,Completed,3.25,1.33,3,1.35,,,3.38,1.36,3.25,1.29,3.5,1.37,3.16,1.34
19,Fes,Grand Prix de SAR La Princesse Lalla Meryem,19/04/11,International,Outdoor,Clay,1st Round,3,Safina D.,Craybas J.,74,105,880,648,6,1,6,0,,,2,0,Completed,1.08,7,1.1,6.5,1.13,5.5,1.09,8.51,1.07,7,1.11,8.95,1.09,7.05
19,Fes,Grand Prix de SAR La Princesse Lalla Meryem,19/04/11,International,Outdoor,Clay,1st Round,3,Rezai A.,Rus A.,24,98,2280,663,4,6,6,4,6,3,2,1,Completed,1.83,1.83,1.85,1.9,1.67,2.1,1.98,1.91,2,1.8,2,2.14,1.82,1.93
