ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL
60,Florence,Firenze Open,10/10/2022,ATP250,Indoor,Hard,1st Round,3,Karatsev A.,Griekspoor T.,39,54,1085,888,6,3,2,1,,,,,,,1,0,Retired,2.37,1.57,2.35,1.66,2.4,1.72,2.3,1.6
60,Florence,Firenze Open,10/10/2022,ATP250,Indoor,Hard,1st Round,3,Carballes Baena R.,Galan D.E.,80,71,675,716,6,2,6,1,,,,,,,2,0,Completed,2.3,1.61,2.55,1.57,2.55,1.65,2.36,1.58
60,Florence,Firenze Open,10/10/2022,ATP250,Indoor,Hard,1st Round,3,Wolf J.J.,Maestrelli F.,75,186,694,298,4,6,6,2,6,1,,,,,2,1,Completed,1.36,3.2,1.39,3.23,1.4,3.23,1.37,3.04
60,Florence,Firenze Open,10/10/2022,ATP250,Indoor,Hard,1st Round,3,Celikbilek A.,Zeppieri G.,230,170,231,328,6,3,6,2,,,,,,,2,0,Completed,1.72,2.1,1.7,2.27,1.73,2.27,1.66,2.19
60,Florence,Firenze Open,10/10/2022,ATP250,Indoor,Hard,1st Round,3,Moutet C.,Cobolli F.,69,164,737,345,4,6,7,5,6,4,,,,,2,1,Completed,1.44,2.75,1.43,3.01,1.52,3.01,1.42,2.81
60,Florence,Firenze Open,11/10/2022,ATP250,Indoor,Hard,1st Round,3,Ymer M.,Van Rijthoven T.,99,116,565,481,6,1,6,2,,,,,,,2,0,Completed,1.72,2.1,1.7,2.27,1.83,2.27,1.71,2.12
60,Florence,Firenze Open,11/10/2022,ATP250,Indoor,Hard,1st Round,3,Bublik A.,Garin C.,43,81,1070,640,7,5,6,2,,,,,,,2,0,Completed,1.25,4,1.29,3.94,1.31,4,1.27,3.67
60,Florence,Firenze Open,11/10/2022,ATP250,Indoor,Hard,1st Round,3,Otte O.,Fucsovics M.,55,91,875,594,3,6,6,4,6,2,,,,,2,1,Completed,1.72,2.1,1.81,2.12,1.81,2.16,1.74,2.07
60,Florence,Firenze Open,11/10/2022,ATP250,Indoor,Hard,1st Round,3,Zapata Miralles B.,Sonego L.,74,51,699,960,6,4,6,4,,,,,,,2,0,Completed,3.75,1.28,4.3,1.26,4.3,1.3,3.69,1.27
60,Florence,Firenze Open,11/10/2022,ATP250,Indoor,Hard,1st Round,3,Nakashima B.,Gasquet R.,46,83,999,630,6,2,6,2,,,,,,,2,0,Completed,1.44,2.75,1.51,2.72,1.51,2.8,1.46,2.67
60,Florence,Firenze Open,11/10/2022,ATP250,Indoor,Hard,1st Round,3,Passaro F.,Zhang Zh.,126,110,442,501,7,6,7,6,,,,,,,2,0,Completed,2.5,1.53,2.87,1.47,2.9,1.58,2.62,1.48
60,Florence,Firenze Open,12/10/2022,ATP250,Indoor,Hard,1st Round,3,Mcdonald M.,Brooksby J.,79,42,685,1072,6,4,4,6,6,1,,,,,2,1,Completed,2.75,1.44,3,1.44,3,1.47,2.85,1.42
60,Florence,Firenze Open,12/10/2022,ATP250,Indoor,Hard,2nd Round,3,Ymer M.,Karatsev A.,99,39,565,1085,6,1,6,7,6,1,,,,,2,1,Completed,1.53,2.5,1.55,2.64,1.6,2.75,1.52,2.52
60,Florence,Firenze Open,12/10/2022,ATP250,Indoor,Hard,2nd Round,3,Wolf J.J.,Cressy M.,75,33,694,1269,6,3,6,4,,,,,,,2,0,Completed,2.3,1.61,2.3,1.69,2.43,1.69,2.29,1.61
60,Florence,Firenze Open,12/10/2022,ATP250,Indoor,Hard,2nd Round,3,Carballes Baena R.,Berrettini M.,80,16,675,2360,5,7,7,6,7,5,,,,,2,1,Completed,8,1.08,8.46,1.11,8.01,1.14,6.93,1.09
60,Florence,Firenze Open,12/10/2022,ATP250,Indoor,Hard,2nd Round,3,Bublik A.,Moutet C.,43,69,1070,737,7,5,6,4,,,,,,,2,0,Completed,1.4,3,1.44,3.02,1.5,3.02,1.44,2.76
60,Florence,Firenze Open,13/10/2022,ATP250,Indoor,Hard,2nd Round,3,Mcdonald M.,Passaro F.,79,126,685,442,6,4,7,5,,,,,,,2,0,Completed,1.3,3.5,1.32,3.72,1.37,3.72,1.31,3.39
60,Florence,Firenze Open,13/10/2022,ATP250,Indoor,Hard,2nd Round,3,Nakashima B.,Celikbilek A.,46,230,999,231,6,3,6,4,,,,,,,2,0,Completed,1.14,5.5,1.14,6.78,1.18,6.78,1.14,5.54
60,Florence,Firenze Open,13/10/2022,ATP250,Indoor,Hard,2nd Round,3,Musetti L.,Zapata Miralles B.,28,74,1437,699,6,3,6,0,,,,,,,2,0,Completed,1.44,2.75,1.53,2.71,1.53,2.88,1.47,2.65
60,Florence,Firenze Open,13/10/2022,ATP250,Indoor,Hard,2nd Round,3,Auger-Aliassime F.,Otte O.,13,55,2950,875,6,4,6,7,6,2,,,,,2,1,Completed,1.2,4.5,1.23,4.79,1.25,5.15,1.2,4.43
60,Florence,Firenze Open,14/10/2022,ATP250,Indoor,Hard,Quarterfinals,3,Ymer M.,Carballes Baena R.,99,80,565,675,6,4,6,2,,,,,,,2,0,Completed,1.5,2.62,1.45,2.94,1.5,2.97,1.43,2.78
60,Florence,Firenze Open,14/10/2022,ATP250,Indoor,Hard,Quarterfinals,3,Wolf J.J.,Bublik A.,75,43,694,1070,3,6,7,5,6,1,,,,,2,1,Completed,2.62,1.5,2.69,1.53,2.75,1.57,2.57,1.5
60,Florence,Firenze Open,14/10/2022,ATP250,Indoor,Hard,Quarterfinals,3,Musetti L.,Mcdonald M.,28,79,1437,685,6,3,6,2,,,,,,,2,0,Completed,1.44,2.75,1.52,2.72,1.55,2.93,1.47,2.65
60,Florence,Firenze Open,14/10/2022,ATP250,Indoor,Hard,Quarterfinals,3,Auger-Aliassime F.,Nakashima B.,13,46,2950,999,6,3,6,4,,,,,,,2,0,Completed,1.53,2.5,1.63,2.44,1.63,2.6,1.56,2.41
60,Florence,Firenze Open,15/10/2022,ATP250,Indoor,Hard,Semifinals,3,Wolf J.J.,Ymer M.,75,99,694,565,6,4,6,4,,,,,,,2,0,Completed,2.37,1.57,2.33,1.63,2.49,1.63,2.35,1.59
