WTA,Location,Tournament,Date,Tier,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,SJW,SJL,MaxW,MaxL,AvgW,AvgL
14,Florianopolis,Brasil Tennis Cup,24/02/13,International,Outdoor,Hard,1st Round,3,Cepelova J.,Goncalves P.C.,98,340,686,125,7,6,6,2,,,2,0,Completed,1.22,4,,,1.2,4.33,1.36,3.42,1.25,3.75,1.45,4.33,1.29,3.44
14,Florianopolis,Brasil Tennis Cup,24/02/13,International,Outdoor,Hard,1st Round,3,Beck A.,Alves M.F.,66,381,934,98,6,2,3,6,6,0,2,1,Completed,1.1,7,,,1.1,6.5,1.13,7.44,1.1,7,1.14,7.44,1.11,6.19
14,Florianopolis,Brasil Tennis Cup,25/02/13,International,Outdoor,Hard,1st Round,3,Czink M.,Shvedova Y.,100,34,680,1473,2,6,6,4,6,2,2,1,Completed,3.5,1.28,3.3,1.3,3.5,1.29,3.58,1.33,3.5,1.29,3.85,1.35,3.46,1.29
14,Florianopolis,Brasil Tennis Cup,25/02/13,International,Outdoor,Hard,1st Round,3,Scheepers C.,Perez A.,60,260,995,198,2,6,6,4,6,0,2,1,Completed,1.22,4,1.25,3.75,1.25,3.75,1.33,3.58,1.25,3.75,1.33,4,1.26,3.71
14,Florianopolis,Brasil Tennis Cup,25/02/13,International,Outdoor,Hard,1st Round,3,Mrdeza T.,Peer S.,166,126,390,539,6,0,6,3,,,2,0,Completed,1.8,1.9,1.85,1.9,1.8,1.91,1.85,2.05,1.9,1.9,1.91,2.1,1.83,1.91
14,Florianopolis,Brasil Tennis Cup,25/02/13,International,Outdoor,Hard,1st Round,3,Niculescu M.,Medina Garrigues A.,75,61,835,965,5,7,7,6,6,1,2,1,Completed,1.57,2.25,1.55,2.35,1.53,2.38,1.59,2.5,1.57,2.38,1.68,2.5,1.57,2.33
14,Florianopolis,Brasil Tennis Cup,25/02/13,International,Outdoor,Hard,1st Round,3,Garcia Vidagany B.,Bratchikova N.,266,110,193,607,6,4,6,2,,,2,0,Completed,2.25,1.57,2.25,1.6,2.25,1.57,2.25,1.71,2.38,1.57,2.41,1.71,2.27,1.6
14,Florianopolis,Brasil Tennis Cup,25/02/13,International,Outdoor,Hard,1st Round,3,Garcia C.,Irigoyen M.,149,221,452,262,6,1,6,4,,,2,0,Completed,1.36,3,1.4,2.8,1.33,3.25,1.42,3.09,1.36,3,1.42,3.5,1.37,3
14,Florianopolis,Brasil Tennis Cup,26/02/13,International,Outdoor,Hard,1st Round,3,Malek T.,Pereira T.,105,116,632,573,6,4,6,2,,,2,0,Completed,2.75,1.4,2.8,1.4,2.5,1.5,2.69,1.52,2.25,1.62,2.95,1.62,2.63,1.46
14,Florianopolis,Brasil Tennis Cup,26/02/13,International,Outdoor,Hard,1st Round,3,Mladenovic K.,Keothavong A.,58,183,1011,350,6,3,6,4,,,2,0,Completed,1.4,2.75,1.4,2.8,1.36,3,1.38,3.26,1.4,2.88,1.45,3.35,1.38,2.9
14,Florianopolis,Brasil Tennis Cup,26/02/13,International,Outdoor,Hard,1st Round,3,Babos T.,Savinykh V.,133,129,508,521,7,6,6,7,6,2,2,1,Completed,2.2,1.61,2,1.75,2,1.73,2.02,1.87,2.25,1.62,2.25,1.87,2.05,1.73
14,Florianopolis,Brasil Tennis Cup,26/02/13,International,Outdoor,Hard,1st Round,3,Muguruza G.,Barrois K.,96,277,707,178,6,2,6,2,,,2,0,Completed,1.57,2.25,1.5,2.5,1.5,2.5,1.63,2.42,1.53,2.5,1.7,2.5,1.57,2.35
14,Florianopolis,Brasil Tennis Cup,26/02/13,International,Outdoor,Hard,1st Round,3,Williams V.,Lucic M.,20,107,1810,621,6,3,6,3,,,2,0,Completed,1.11,6.5,1.11,5.75,1.14,5,1.13,7.13,1.14,5.5,1.14,7.13,1.12,6.25
14,Florianopolis,Brasil Tennis Cup,26/02/13,International,Outdoor,Hard,1st Round,3,Puchkova O.,Flipkens K.,109,31,613,1534,2,6,6,4,6,4,2,1,Completed,4.5,1.18,4.5,1.18,4,1.22,4.85,1.22,4,1.22,4.9,1.22,4.45,1.2
