WTA,Location,Tournament,Date,Tier,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,MaxW,MaxL,AvgW,AvgL
41,Florianopolis,Brasil Tennis Cup,31/07/16,International,Outdoor,Hard,1st Round,3,Osaka N.,Sanchez A.S.,88,330,751,121,6,1,6,1,,,2,0,Completed,1.04,11,1.04,7,1.06,8,1.05,13.03,1.07,13.03,1.04,10.12
41,Florianopolis,Brasil Tennis Cup,31/07/16,International,Outdoor,Hard,1st Round,3,Cepede Royg V.,Alves M.F.,124,969,460,10,6,2,6,3,,,2,0,Completed,1.06,10,1.04,7,1.06,8,1.08,9.48,1.08,10.5,1.06,8.72
41,Florianopolis,Brasil Tennis Cup,01/08/16,International,Outdoor,Hard,1st Round,3,Hibino N.,Webley-Smith E.,84,539,854,50,6,3,6,0,,,2,0,Completed,1.05,10,1.04,7,1.06,9,1.07,10.19,1.07,11,1.06,8.96
41,Florianopolis,Brasil Tennis Cup,01/08/16,International,Outdoor,Hard,1st Round,3,Gonzalez M.,Ce G.,132,424,443,78,6,1,6,4,,,2,0,Completed,1.4,2.75,1.4,2.6,1.44,2.75,1.45,2.94,1.52,2.94,1.44,2.72
41,Florianopolis,Brasil Tennis Cup,01/08/16,International,Outdoor,Hard,1st Round,3,Ostapenko J.,Kichenok N.,41,419,1360,79,6,4,6,4,,,2,0,Completed,1.12,6,1.11,4.9,1.14,5.5,1.17,5.75,1.17,6,1.14,5.52
41,Florianopolis,Brasil Tennis Cup,01/08/16,International,Outdoor,Hard,1st Round,3,Martincova T.,Jani R.L.,266,239,180,214,6,3,6,2,,,2,0,Completed,1.83,1.83,1.82,1.82,1.73,2,2.05,1.85,2.05,2.05,1.88,1.89
41,Florianopolis,Brasil Tennis Cup,01/08/16,International,Outdoor,Hard,1st Round,3,Savchuk O.,Haddad Maia B.,232,343,223,112,5,7,7,5,6,0,2,1,Completed,1.83,1.83,1.88,1.75,1.91,1.91,2.22,1.73,2.22,1.91,2.01,1.77
41,Florianopolis,Brasil Tennis Cup,01/08/16,International,Outdoor,Hard,1st Round,3,Babos T.,Podoroska N.,44,237,1260,215,6,7,6,3,6,2,2,1,Completed,,,1.14,4.4,1.14,5.5,1.17,5.68,1.18,5.68,1.15,5.14
41,Florianopolis,Brasil Tennis Cup,01/08/16,International,Outdoor,Hard,1st Round,3,Lim A.,Pous-T L.,201,242,265,210,6,3,6,4,,,2,0,Completed,1.72,2,1.62,2.05,1.73,2.1,1.85,2.04,1.85,2.11,1.75,2.04
41,Florianopolis,Brasil Tennis Cup,01/08/16,International,Outdoor,Hard,1st Round,3,Goncalves P.C.,Capurro Taborda M.,177,699,304,26,6,3,6,1,,,2,0,Completed,1.1,7,1.08,5.5,1.11,6.5,1.12,7.32,1.14,8,1.09,6.85
41,Florianopolis,Brasil Tennis Cup,01/08/16,International,Outdoor,Hard,1st Round,3,Begu I.,Pigossi L.,31,384,1645,94,3,6,6,3,6,4,2,1,Completed,1.11,6.5,1.08,5.5,1.11,6.5,1.11,7.68,1.11,8,1.1,6.73
41,Florianopolis,Brasil Tennis Cup,01/08/16,International,Outdoor,Hard,1st Round,3,Jankovic J.,Solovyeva V.,29,N/A,1670,N/A,7,5,6,4,,,2,0,Completed,1.3,3.4,1.28,3.1,1.33,3.4,1.4,3.18,1.4,3.43,1.34,3.15
41,Florianopolis,Brasil Tennis Cup,01/08/16,International,Outdoor,Hard,1st Round,3,Bogdan A.,Naydenova A.,127,276,449,161,6,2,6,4,,,2,0,Completed,1.28,3.5,1.25,3.3,1.25,4,1.31,3.74,1.31,4,1.27,3.65
41,Florianopolis,Brasil Tennis Cup,01/08/16,International,Outdoor,Hard,1st Round,3,Kichenok L.,Pereira T.,363,135,101,423,6,3,6,2,,,2,0,Completed,3,1.36,2.45,1.42,2.75,1.44,2.74,1.51,3,1.51,2.77,1.43
41,Florianopolis,Brasil Tennis Cup,01/08/16,International,Outdoor,Hard,1st Round,3,Pella C.,Zarazua R.,197,364,274,101,7,5,6,7,6,4,2,1,Completed,1.44,2.62,1.4,2.6,1.53,2.5,1.48,2.82,1.56,2.82,1.5,2.55
41,Florianopolis,Brasil Tennis Cup,01/08/16,International,Outdoor,Hard,1st Round,3,Puig M.,Pivovarova A.,37,191,1480,282,6,2,6,3,,,2,0,Completed,1.12,6,1.11,4.9,1.17,5,1.17,5.7,1.19,6.5,1.14,5.36
41,Florianopolis,Brasil Tennis Cup,02/08/16,International,Outdoor,Hard,2nd Round,3,Begu I.,Goncalves P.C.,31,177,1645,304,6,1,6,2,,,2,0,Completed,1.28,3.5,1.25,3.1,1.3,3.5,1.36,3.49,1.37,3.65,1.3,3.41
41,Florianopolis,Brasil Tennis Cup,02/08/16,International,Outdoor,Hard,2nd Round,3,Babos T.,Lim A.,44,201,1260,265,6,0,6,1,,,2,0,Completed,1.14,5.5,1.12,4.75,1.17,5,1.18,5.72,1.18,5.72,1.15,5.14
