WTA,Location,Tournament,Date,Tier,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,SJW,SJL,MaxW,MaxL,AvgW,AvgL
27,Paris,French Open,22/05/11,Grand Slam,Outdoor,Clay,1st Round,3,Stosur S.,Benesova I.,6,52,4645,1105,6,2,6,3,,,2,0,Completed,1.08,7,1.11,6,1.11,6,1.08,9.65,1.13,6,1.13,10.49,1.09,7.03
27,Paris,French Open,22/05/11,Grand Slam,Outdoor,Clay,1st Round,3,Dulko G.,Falconi I.,51,107,1123,648,6,3,6,4,,,2,0,Completed,1.36,3,1.4,2.8,1.36,3,1.38,3.31,1.4,2.75,1.44,3.31,1.38,2.93
27,Paris,French Open,22/05/11,Grand Slam,Outdoor,Clay,1st Round,3,Halep S.,Kudryavtseva A.,67,71,953,930,6,2,6,1,,,2,0,Completed,1.36,3,1.35,3,1.4,2.75,1.41,3.17,1.4,2.75,1.43,3.17,1.38,2.92
27,Paris,French Open,22/05/11,Grand Slam,Outdoor,Clay,1st Round,3,Pironkova T.,Dellacqua C.,36,317,1463,149,7,5,6,3,,,2,0,Completed,1.57,2.25,1.55,2.35,1.62,2.2,1.72,2.26,1.57,2.25,1.72,2.38,1.63,2.22
27,Paris,French Open,22/05/11,Grand Slam,Outdoor,Clay,1st Round,3,Cornet A.,Voracova R.,78,120,840,554,6,4,6,2,,,2,0,Completed,1.4,2.75,1.4,2.8,1.4,2.75,1.5,2.8,1.4,2.75,1.52,2.88,1.44,2.69
27,Paris,French Open,22/05/11,Grand Slam,Outdoor,Clay,1st Round,3,Marino R.,Bondarenko K.,60,110,1036,623,6,3,6,3,,,2,0,Completed,2,1.72,2,1.75,1.83,1.83,2.05,1.86,2,1.73,2.18,1.9,1.98,1.77
27,Paris,French Open,22/05/11,Grand Slam,Outdoor,Clay,1st Round,3,Martinez-Sanchez M.J.,Peer S.,86,20,808,2445,7,6,6,1,,,2,0,Completed,2,1.72,1.87,1.87,2.1,1.67,2.1,1.83,2.1,1.67,2.18,1.87,1.98,1.77
27,Paris,French Open,22/05/11,Grand Slam,Outdoor,Clay,1st Round,3,Jankovic J.,Bondarenko A.,10,90,3670,765,6,3,6,1,,,2,0,Completed,1.05,9,1.08,7,1.06,8,1.05,13,1.07,7,1.08,13,1.05,9.23
27,Paris,French Open,22/05/11,Grand Slam,Outdoor,Clay,1st Round,3,Safarova L.,Flipkens K.,37,95,1445,722,6,1,6,1,,,2,0,Completed,1.16,4.5,1.22,4,1.25,3.75,1.24,4.54,1.22,3.75,1.25,4.61,1.22,4.16
27,Paris,French Open,22/05/11,Grand Slam,Outdoor,Clay,1st Round,3,Dushevina V.,Dokic J.,61,59,1035,1037,4,6,6,3,6,2,2,1,Completed,1.61,2.2,1.65,2.15,1.73,2,1.62,2.45,1.91,1.83,1.91,2.45,1.67,2.15
27,Paris,French Open,22/05/11,Grand Slam,Outdoor,Clay,1st Round,3,Hercog P.,Sanchez O.,57,152,1060,393,6,0,6,1,,,2,0,Completed,1.1,6.5,1.15,5,1.13,5.5,1.14,6.87,1.14,5,1.15,6.87,1.12,5.8
27,Paris,French Open,22/05/11,Grand Slam,Outdoor,Clay,1st Round,3,Goerges J.,Johansson M.,18,68,2500,942,6,1,6,4,,,2,0,Completed,1.14,5,1.16,4.75,1.14,5,1.14,6.69,1.14,5.5,1.2,6.69,1.15,5.14
