WTA,Location,Tournament,Date,Tier,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,MaxW,MaxL,AvgW,AvgL
28,Paris,French Open,28/05/17,Grand Slam,Outdoor,Clay,1st Round,3,Puig M.,Vinci R.,41,33,1225,1490,6,3,3,6,6,2,2,1,Completed,1.72,2.1,1.65,2.1,1.73,2.1,1.72,2.25,1.75,2.25,1.71,2.13
28,Paris,French Open,28/05/17,Grand Slam,Outdoor,Clay,1st Round,3,Bacsinszky T.,Sorribes Tormo S.,31,84,1523,735,6,1,6,2,,,2,0,Completed,1.12,6,1.1,5.9,1.13,6,1.13,7.18,1.15,7.18,1.12,6.3
28,Paris,French Open,28/05/17,Grand Slam,Outdoor,Clay,1st Round,3,Kvitova P.,Boserup J.,16,85,2780,708,6,3,6,2,,,2,0,Completed,1.33,3.4,1.3,3.2,,,1.33,3.66,1.36,3.66,1.31,3.38
28,Paris,French Open,28/05/17,Grand Slam,Outdoor,Clay,1st Round,3,Brengle M.,Goerges J.,82,51,758,1130,1,6,6,3,13,11,2,1,Completed,2.75,1.44,2.65,1.42,2.5,1.53,2.75,1.51,2.81,1.53,2.7,1.46
28,Paris,French Open,28/05/17,Grand Slam,Outdoor,Clay,1st Round,3,Ostapenko J.,Chirico L.,47,128,1165,424,4,6,6,3,6,2,2,1,Completed,1.11,6.5,1.1,5.9,1.1,7,1.14,6.73,1.14,7,1.12,6.32
28,Paris,French Open,28/05/17,Grand Slam,Outdoor,Clay,1st Round,3,Makarova E.,Kerber A.,40,1,1265,7035,6,2,6,2,,,2,0,Completed,2.62,1.5,2.5,1.47,2.5,1.53,2.82,1.49,2.82,1.53,2.59,1.5
28,Paris,French Open,28/05/17,Grand Slam,Outdoor,Clay,1st Round,3,Rogers S.,Erakovic M.,49,144,1148,389,7,6,6,4,,,2,0,Completed,1.2,4.5,1.19,4.2,1.2,4.5,1.22,4.85,1.23,4.85,1.21,4.46
28,Paris,French Open,28/05/17,Grand Slam,Outdoor,Clay,1st Round,3,Kuznetsova S.,Mchale C.,9,61,4310,1055,7,5,6,4,,,2,0,Completed,1.14,5.5,1.15,4.75,1.11,6.5,1.2,5.27,1.2,7,1.15,5.53
28,Paris,French Open,28/05/17,Grand Slam,Outdoor,Clay,1st Round,3,Nara K.,Anisimova A.,90,267,672,183,3,6,7,5,6,4,2,1,Completed,2.37,1.57,2.3,1.55,2.1,1.73,2.48,1.61,2.48,1.74,2.27,1.63
28,Paris,French Open,28/05/17,Grand Slam,Outdoor,Clay,1st Round,3,Tsurenko L.,Kozlova K.,42,140,1223,401,6,4,6,0,,,2,0,Completed,1.61,2.3,1.57,2.25,1.62,2.25,1.6,2.51,1.65,2.51,1.61,2.31
28,Paris,French Open,28/05/17,Grand Slam,Outdoor,Clay,1st Round,3,Buyukakcay C.,Lucic-Baroni M.,155,25,353,1746,6,3,6,3,,,2,0,Completed,7,1.1,5.9,1.1,6.5,1.11,7.24,1.13,7.5,1.13,6.77,1.1
28,Paris,French Open,28/05/17,Grand Slam,Outdoor,Clay,1st Round,3,Williams V.,Wang Q.,11,52,3941,1120,6,4,7,6,,,2,0,Completed,1.36,3.25,1.32,3.1,1.4,3,1.35,3.51,1.4,3.51,1.35,3.2
28,Paris,French Open,28/05/17,Grand Slam,Outdoor,Clay,1st Round,3,Mattek-Sands B.,Rodina E.,117,80,455,783,7,5,6,2,,,2,0,Completed,1.4,3,1.33,3.05,1.4,3,1.4,3.25,1.4,3.25,1.37,3.04
28,Paris,French Open,28/05/17,Grand Slam,Outdoor,Clay,1st Round,3,Sasnovich A.,Golubic V.,98,65,626,1003,4,6,7,5,6,3,2,1,Completed,1.9,1.9,1.8,1.9,1.91,1.91,1.85,2.07,1.94,2.07,1.86,1.94
28,Paris,French Open,28/05/17,Grand Slam,Outdoor,Clay,1st Round,3,Dodin O.,Giorgi C.,56,93,1092,647,6,2,6,3,,,2,0,Completed,2.3,1.61,2.2,1.6,2.2,1.67,2.31,1.69,2.35,1.69,2.25,1.63
28,Paris,French Open,28/05/17,Grand Slam,Outdoor,Clay,1st Round,3,Cibulkova D.,Arruabarrena L.,7,62,4480,1053,6,2,6,1,,,2,0,Completed,1.4,3,1.37,2.85,1.4,3,1.45,2.97,1.46,3.25,1.39,2.98
28,Paris,French Open,29/05/17,Grand Slam,Outdoor,Clay,1st Round,3,Putintseva Y.,Georges M.,29,204,1550,272,6,3,6,0,,,2,0,Completed,1.12,6,1.11,5.6,1.14,5.5,1.14,6.62,1.16,6.62,1.13,6.01
28,Paris,French Open,29/05/17,Grand Slam,Outdoor,Clay,1st Round,3,Jabeur O.,Bogdan A.,114,106,459,539,6,3,6,4,,,2,0,Completed,1.72,2.1,1.72,2,1.8,2,1.79,2.14,1.84,2.14,1.76,2.05
28,Paris,French Open,29/05/17,Grand Slam,Outdoor,Clay,1st Round,3,Hogenkamp R.,Jankovic J.,105,63,551,1025,6,2,7,5,,,2,0,Completed,2,1.8,1.95,1.75,2,1.8,2,1.91,2.05,1.91,1.96,1.83
28,Paris,French Open,29/05/17,Grand Slam,Outdoor,Clay,1st Round,3,Kontaveit A.,Niculescu M.,53,54,1110,1110,7,5,6,1,,,2,0,Completed,1.22,4.33,1.21,3.95,1.22,4.33,1.3,3.89,1.3,4.33,1.24,4.04
28,Paris,French Open,29/05/17,Grand Slam,Outdoor,Clay,1st Round,3,Muguruza G.,Schiavone F.,5,78,4636,790,6,2,6,4,,,2,0,Completed,1.3,3.5,1.25,3.6,1.33,3.4,1.29,4.01,1.33,4.01,1.28,3.65
28,Paris,French Open,29/05/17,Grand Slam,Outdoor,Clay,1st Round,3,Wozniacki C.,Fourlis J.,12,337,3915,126,6,4,3,6,6,2,2,1,Completed,1.02,17,1.02,10,1.03,12,1.06,12.98,1.06,17,1.03,12.58
28,Paris,French Open,29/05/17,Grand Slam,Outdoor,Clay,1st Round,3,Zhang S.,Vekic D.,34,75,1490,800,7,5,6,4,,,2,0,Completed,2.2,1.66,2.1,1.65,2.25,1.62,2.16,1.78,2.3,1.78,2.17,1.68
28,Paris,French Open,29/05/17,Grand Slam,Outdoor,Clay,1st Round,3,Larsson J.,Vikhlyantseva N.,59,74,1080,804,6,4,6,4,,,2,0,Completed,1.57,2.37,1.57,2.25,1.62,2.25,1.71,2.27,1.71,2.43,1.6,2.31
28,Paris,French Open,29/05/17,Grand Slam,Outdoor,Clay,1st Round,3,Bellis C.,Lemoine Q.,48,162,1157,334,6,3,3,6,6,1,2,1,Completed,1.2,4.5,1.2,4.1,1.2,4.5,1.24,4.61,1.24,4.61,1.21,4.41
28,Paris,French Open,29/05/17,Grand Slam,Outdoor,Clay,1st Round,3,Bertens K.,Tomljanovic A.,18,311,2395,144,4,6,6,1,6,1,2,1,Completed,1.07,9,1.06,7.25,1.1,7,1.08,9.87,1.1,10.1,1.07,8.61
28,Paris,French Open,29/05/17,Grand Slam,Outdoor,Clay,1st Round,3,Mertens E.,Gavrilova D.,60,24,1066,1755,7,6,1,6,6,4,2,1,Completed,3.25,1.36,3.05,1.33,3,1.4,3.29,1.39,3.29,1.4,3.08,1.37
28,Paris,French Open,29/05/17,Grand Slam,Outdoor,Clay,1st Round,3,Konjuh A.,Kovinic D.,30,107,1527,536,7,5,7,6,,,2,0,Completed,1.25,4,1.24,3.65,1.25,4,1.28,4.13,1.29,4.2,1.25,3.95
28,Paris,French Open,29/05/17,Grand Slam,Outdoor,Clay,1st Round,3,Abanda F.,Andrianjafitrimo T.,195,269,282,183,6,3,6,4,,,2,0,Completed,1.5,2.62,1.47,2.5,1.5,2.63,1.52,2.73,1.54,2.97,1.5,2.6
28,Paris,French Open,29/05/17,Grand Slam,Outdoor,Clay,1st Round,3,Alexandrova E.,Siniakova K.,86,38,707,1348,6,4,2,6,6,2,2,1,Completed,3.4,1.33,3.2,1.3,3.4,1.33,3.49,1.36,3.49,1.36,3.34,1.32
28,Paris,French Open,29/05/17,Grand Slam,Outdoor,Clay,1st Round,3,Mladenovic K.,Brady J.,14,88,2915,692,3,6,6,3,9,7,2,1,Completed,1.08,8,1.06,7.25,1.08,7.5,1.1,8.98,1.1,9,1.08,7.87
