WTA,Location,Tournament,Date,Tier,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL
23,Paris,French Open,22/05/2022,Grand Slam,Outdoor,Clay,1st Round,3,Cirstea S.,Maria T.,26,105,1670,612,6,3,6,3,,,2,0,Completed,1.3,3.5,1.3,3.87,1.33,4,1.29,3.58
23,Paris,French Open,22/05/2022,Grand Slam,Outdoor,Clay,1st Round,3,Osorio M.,Tan H.,66,106,989,608,6,4,6,3,,,2,0,Completed,1.4,3,1.47,2.89,1.47,3.26,1.39,3.02
23,Paris,French Open,22/05/2022,Grand Slam,Outdoor,Clay,1st Round,3,Stephens S.,Niemeier J.,64,102,1000,650,5,7,6,4,6,2,2,1,Completed,3,1.4,2.74,1.51,3,1.55,2.7,1.47
23,Paris,French Open,22/05/2022,Grand Slam,Outdoor,Clay,1st Round,3,Haddad Maia B.,Bucsa C.,48,134,1158,471,6,3,1,6,6,2,2,1,Completed,1.36,3.2,1.34,3.51,1.38,3.87,1.33,3.37
23,Paris,French Open,22/05/2022,Grand Slam,Outdoor,Clay,1st Round,3,Linette M.,Jabeur O.,52,6,1111,4380,3,6,7,6,7,5,2,1,Completed,6,1.12,7.14,1.12,7.4,1.17,6.49,1.12
23,Paris,French Open,22/05/2022,Grand Slam,Outdoor,Clay,1st Round,3,Muchova K.,Monnet C.,81,253,808,276,6,3,6,3,,,2,0,Completed,1.1,7,1.12,7.41,1.13,8.5,1.1,7.03
23,Paris,French Open,22/05/2022,Grand Slam,Outdoor,Clay,1st Round,3,Kanepi K.,Muguruza G.,46,10,1177,3060,2,6,6,3,6,4,2,1,Completed,2.1,1.72,2.06,1.83,2.21,1.91,2.03,1.79
23,Paris,French Open,22/05/2022,Grand Slam,Outdoor,Clay,1st Round,3,Sasnovich A.,Wang Xin.,47,77,1171,864,6,4,6,1,,,2,0,Completed,1.5,2.62,1.48,2.84,1.51,3,1.44,2.79
23,Paris,French Open,22/05/2022,Grand Slam,Outdoor,Clay,1st Round,3,Siniakova K.,Martic P.,56,76,1062,869,6,4,7,6,,,2,0,Completed,2.75,1.44,3.2,1.4,3.38,1.5,2.97,1.4
23,Paris,French Open,22/05/2022,Grand Slam,Outdoor,Clay,1st Round,3,Teichmann J.,Pera B.,24,116,1783,552,6,2,6,1,,,2,0,Completed,1.4,3,1.41,3.1,1.46,3.2,1.4,2.97
23,Paris,French Open,22/05/2022,Grand Slam,Outdoor,Clay,1st Round,3,Danilovic O.,Galfi D.,172,96,377,695,3,6,7,6,6,2,2,1,Completed,2.1,1.72,2.2,1.74,2.3,1.75,2.14,1.72
23,Paris,French Open,22/05/2022,Grand Slam,Outdoor,Clay,1st Round,3,Gracheva V.,Sharma A.,71,124,914,510,4,6,6,4,7,5,2,1,Completed,1.44,2.75,1.41,3.11,1.49,3.13,1.42,2.88
23,Paris,French Open,22/05/2022,Grand Slam,Outdoor,Clay,1st Round,3,Van Uytvanck A.,Li A.,60,67,1035,981,3,6,2,3,,,0,1,Retired,1.72,2.1,1.78,2.15,1.86,2.19,1.76,2.08
23,Paris,French Open,22/05/2022,Grand Slam,Outdoor,Clay,1st Round,3,Sakkari M.,Burel C.,3,94,4726,714,6,2,6,3,,,2,0,Completed,1.07,9,1.09,9.03,1.11,10.25,1.07,8.45
23,Paris,French Open,22/05/2022,Grand Slam,Outdoor,Clay,1st Round,3,Mertens E.,Ruse E.G.,32,51,1505,1116,6,3,6,1,,,2,0,Completed,1.5,2.62,1.56,2.58,1.58,2.62,1.54,2.49
23,Paris,French Open,22/05/2022,Grand Slam,Outdoor,Clay,1st Round,3,Gauff C.,Marino R.,23,115,1886,557,7,5,6,0,,,2,0,Completed,1.25,4,1.23,4.6,1.26,4.95,1.22,4.31
23,Paris,French Open,22/05/2022,Grand Slam,Outdoor,Clay,1st Round,3,Vekic D.,Bjorklund M.,100,148,652,433,7,6,6,2,,,2,0,Completed,1.53,2.5,1.49,2.8,1.65,2.8,1.54,2.49
23,Paris,French Open,22/05/2022,Grand Slam,Outdoor,Clay,1st Round,3,Bencic B.,Jani R.L.,14,145,2525,439,6,1,6,1,,,2,0,Completed,1.05,11,1.05,12.52,1.06,13,1.05,11.16
23,Paris,French Open,22/05/2022,Grand Slam,Outdoor,Clay,1st Round,3,Fernandez L.A.,Mladenovic K.,18,107,2245,606,6,0,7,5,,,2,0,Completed,1.14,5.5,1.15,6.18,1.17,6.75,1.14,5.8
23,Paris,French Open,22/05/2022,Grand Slam,Outdoor,Clay,1st Round,3,Bouzkova M.,Gasanova A.,69,154,945,418,6,2,6,1,,,2,0,Completed,1.2,4.5,1.19,5.2,1.29,6.05,1.19,4.87
23,Paris,French Open,23/05/2022,Grand Slam,Outdoor,Clay,1st Round,3,Petkovic A.,Dodin O.,65,84,997,788,6,4,6,2,,,2,0,Completed,1.9,1.9,1.74,2.21,1.9,2.21,1.79,2.03
23,Paris,French Open,23/05/2022,Grand Slam,Outdoor,Clay,1st Round,3,Anisimova A.,Osaka N.,28,38,1610,1295,7,5,6,4,,,2,0,Completed,1.53,2.5,1.54,2.64,1.61,2.85,1.5,2.59
23,Paris,French Open,23/05/2022,Grand Slam,Outdoor,Clay,1st Round,3,Trevisan M.,Dart H.,59,111,1038,594,6,0,6,2,,,2,0,Completed,1.22,4.33,1.18,5.41,1.23,5.52,1.19,4.75
23,Paris,French Open,23/05/2022,Grand Slam,Outdoor,Clay,1st Round,3,Andreescu B.,Bonaventure Y.,72,168,913,380,3,6,7,5,6,0,2,1,Completed,1.08,8,1.1,8.43,1.12,8.5,1.09,7.52
23,Paris,French Open,23/05/2022,Grand Slam,Outdoor,Clay,1st Round,3,Zheng Q.,Zanevska M.,74,62,879,1015,6,3,6,1,,,2,0,Completed,1.66,2.2,1.66,2.34,1.74,2.34,1.67,2.22
23,Paris,French Open,23/05/2022,Grand Slam,Outdoor,Clay,1st Round,3,Saville D.,Grammatikopoulou V.,127,187,496,355,6,1,6,2,,,2,0,Completed,1.16,5,1.17,5.62,1.22,5.62,1.17,5.1
23,Paris,French Open,23/05/2022,Grand Slam,Outdoor,Clay,1st Round,3,Azarenka V.,Bogdan A.,15,93,2440,716,6,7,7,6,6,2,2,1,Completed,1.3,3.5,1.3,3.86,1.36,4.15,1.31,3.47
23,Paris,French Open,23/05/2022,Grand Slam,Outdoor,Clay,1st Round,3,Kvitova P.,Bondar A.,34,61,1435,1033,7,6,6,1,,,2,0,Completed,1.72,2.1,1.75,2.18,1.8,2.28,1.7,2.15
23,Paris,French Open,23/05/2022,Grand Slam,Outdoor,Clay,1st Round,3,Swiatek I.,Tsurenko L.,1,119,7061,537,6,2,6,0,,,2,0,Completed,1.02,17,1.02,22.11,1.02,25,1.01,18.06
23,Paris,French Open,23/05/2022,Grand Slam,Outdoor,Clay,1st Round,3,Riske A.,Yastremska D.,43,82,1201,804,6,3,6,3,,,2,0,Completed,2.5,1.53,2.54,1.57,2.6,1.67,2.43,1.56
23,Paris,French Open,23/05/2022,Grand Slam,Outdoor,Clay,1st Round,3,Parry D.,Krejcikova B.,97,2,682,4911,1,6,6,2,6,3,2,1,Completed,4.5,1.2,4.32,1.25,4.75,1.25,4.31,1.22
23,Paris,French Open,23/05/2022,Grand Slam,Outdoor,Clay,1st Round,3,Kovinic D.,Samsonova L.,95,27,713,1670,2,6,6,2,6,1,2,1,Completed,2.75,1.44,2.94,1.45,3.1,1.45,2.83,1.42
23,Paris,French Open,23/05/2022,Grand Slam,Outdoor,Clay,1st Round,3,Jacquemot E.,Watson H.,215,103,323,633,6,3,6,3,,,2,0,Completed,1.9,1.9,2.02,1.87,2.05,1.95,1.94,1.87
