ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL
30,Geneva,Geneva Open,15/05/2022,ATP250,Outdoor,Clay,1st Round,3,Griekspoor T.,Paul T.,64,33,912,1218,7,5,6,7,6,4,,,,,2,1,Completed,2.2,1.66,2.3,1.68,2.37,1.7,2.23,1.64
30,Geneva,Geneva Open,15/05/2022,ATP250,Outdoor,Clay,1st Round,3,Majchrzak K.,Bublik A.,81,41,762,1083,6,1,6,7,6,3,,,,,2,1,Completed,1.61,2.3,1.71,2.25,1.71,2.38,1.64,2.25
30,Geneva,Geneva Open,16/05/2022,ATP250,Outdoor,Clay,1st Round,3,Ivashka I.,Giron M.,50,49,997,1011,4,6,6,3,6,2,,,,,2,1,Completed,1.5,2.62,1.52,2.7,1.59,2.88,1.51,2.54
30,Geneva,Geneva Open,16/05/2022,ATP250,Outdoor,Clay,1st Round,3,Delbonis F.,Berankis R.,62,101,919,645,6,4,6,4,,,,,,,2,0,Completed,1.28,3.75,1.29,3.9,1.3,4,1.27,3.71
30,Geneva,Geneva Open,16/05/2022,ATP250,Outdoor,Clay,1st Round,3,Gasquet R.,Millman J.,75,93,808,698,6,3,6,1,,,,,,,2,0,Completed,1.57,2.37,1.63,2.41,1.63,2.45,1.59,2.34
30,Geneva,Geneva Open,16/05/2022,ATP250,Outdoor,Clay,1st Round,3,Cecchinato M.,Thiem D.,134,194,475,295,6,3,6,4,,,,,,,2,0,Completed,3,1.4,3.14,1.41,3.18,1.5,2.91,1.4
30,Geneva,Geneva Open,16/05/2022,ATP250,Outdoor,Clay,1st Round,3,Paire B.,Ruusuvuori E.,67,61,889,920,7,5,5,7,6,4,,,,,2,1,Completed,3,1.4,2.97,1.44,3.1,1.46,2.89,1.41
30,Geneva,Geneva Open,17/05/2022,ATP250,Outdoor,Clay,1st Round,3,Basilashvili N.,Bagnis F.,25,98,1653,663,6,4,,,,,,,,,1,0,Retired,1.61,2.3,1.69,2.27,1.69,2.51,1.64,2.24
30,Geneva,Geneva Open,17/05/2022,ATP250,Outdoor,Clay,1st Round,3,Sousa J.,Andujar P.,79,83,768,746,6,1,6,4,,,,,,,2,0,Completed,2.3,1.61,2.54,1.57,2.54,1.64,2.41,1.56
30,Geneva,Geneva Open,17/05/2022,ATP250,Outdoor,Clay,1st Round,3,O Connell C.,Ramos-Vinolas A.,124,42,502,1071,7,6,6,4,,,,,,,2,0,Completed,2.37,1.57,2.23,1.72,2.63,1.72,2.28,1.62
30,Geneva,Geneva Open,17/05/2022,ATP250,Outdoor,Clay,1st Round,3,Kokkinakis T.,Fognini F.,85,52,723,986,6,4,6,3,,,,,,,2,0,Completed,2.2,1.66,2.34,1.66,2.65,1.66,2.28,1.62
30,Geneva,Geneva Open,17/05/2022,ATP250,Outdoor,Clay,1st Round,3,Nikles J.,Riedi L.,317,301,156,162,5,7,7,6,7,5,,,,,2,1,Completed,2.2,1.66,2.34,1.66,2.34,1.86,2.09,1.73
