ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,CBW,CBL,GBW,GBL,IWW,IWL,SBW,SBL
40,Gstaad,Gstaad Open,09/07/01,International,Outdoor,Clay,1st Round,3,Balcells J.,Safin M.,62,2,6,4,6,7,6,4,,,,,2,1,Completed,2.6,1.42,2.4,1.43,2.2,1.45,2.875,1.364
40,Gstaad,Gstaad Open,09/07/01,International,Outdoor,Clay,1st Round,3,Boutter J.,Radic M.,68,825,7,5,7,6,,,,,,,2,0,Completed,,,,,,,,
40,Gstaad,Gstaad Open,09/07/01,International,Outdoor,Clay,1st Round,3,Clavet F.,Arazi H.,57,30,6,1,7,6,,,,,,,2,0,Completed,2.3,1.53,2.12,1.55,1.85,1.65,2.2,1.615
40,Gstaad,Gstaad Open,09/07/01,International,Outdoor,Clay,1st Round,3,Corretja A.,Heuberger I.,9,135,6,3,6,2,,,,,,,2,0,Completed,1.1,5.75,1.1,4.85,1.1,4.5,1.1,6.5
40,Gstaad,Gstaad Open,09/07/01,International,Outdoor,Clay,1st Round,3,Eschauer W.,Costa A.,203,53,6,0,7,6,,,,,,,2,0,Completed,4,1.2,3.2,1.23,3,1.25,,
40,Gstaad,Gstaad Open,09/07/01,International,Outdoor,Clay,1st Round,3,Ferrero J.C.,di Pasquale A.,5,84,6,4,7,6,,,,,,,2,0,Completed,1.12,5,1.1,4.85,1.15,3.8,1.125,5.5
40,Gstaad,Gstaad Open,09/07/01,International,Outdoor,Clay,1st Round,3,Gaudio G.,Rosset M.,42,101,6,4,6,3,,,,,,,2,0,Completed,1.62,2.15,1.65,1.96,1.75,1.75,1.727,2
40,Gstaad,Gstaad Open,09/07/01,International,Outdoor,Clay,1st Round,3,Grosjean S.,Calatrava A.,7,47,7,5,6,2,,,,,,,2,0,Completed,1.35,2.9,1.27,3,1.35,2.5,1.4,2.75
40,Gstaad,Gstaad Open,09/07/01,International,Outdoor,Clay,1st Round,3,Kratochvil M.,Burrieza O.,73,365,6,4,6,7,6,1,,,,,2,1,Completed,1.38,2.8,1.35,2.65,1.35,2.5,,
40,Gstaad,Gstaad Open,09/07/01,International,Outdoor,Clay,1st Round,3,Lapentti N.,Manta L.,36,233,6,4,6,4,,,,,,,2,0,Completed,1.25,3.5,1.3,2.8,1.25,3,,
