ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,CBW,CBL,EXW,EXL,PSW,PSL,UBW,UBL
38,Gstaad,Allianz Suisse Open,09/07/07,International,Outdoor,Clay,1st Round,3,Vliegen K.,Gaudio G.,75,103,519,400,6,4,6,7,6,4,,,,,2,1,Completed,1.66,2.1,1.57,2.35,1.58,2.28,1.606,2.55,1.65,2.18
38,Gstaad,Allianz Suisse Open,09/07/07,International,Outdoor,Clay,1st Round,3,Kohlschreiber P.,Hernych J.,34,113,880,364,7,6,7,6,,,,,,,2,0,Completed,1.25,3.75,1.25,3.85,1.18,4.45,1.277,4.31,1.2,4.3
38,Gstaad,Allianz Suisse Open,10/07/07,International,Outdoor,Clay,1st Round,3,Lopez F.,Kratochvil M.,61,1511,586,1,6,2,6,3,,,,,,,2,0,Completed,1.16,4.5,,,1.15,4.65,1.185,5.9,1.17,4.8
38,Gstaad,Allianz Suisse Open,10/07/07,International,Outdoor,Clay,1st Round,3,Starace P.,Hajek J.,46,146,716,293,7,6,6,1,,,,,,,2,0,Completed,1.28,3.5,1.25,3.85,1.32,3.22,1.325,3.78,1.27,3.6
38,Gstaad,Allianz Suisse Open,10/07/07,International,Outdoor,Clay,1st Round,3,Mathieu P.H.,Roitman S.,28,76,970,518,7,6,6,4,,,,,,,2,0,Completed,1.16,4.5,1.18,4.65,1.2,4.25,1.248,4.64,1.2,4.3
38,Gstaad,Allianz Suisse Open,10/07/07,International,Outdoor,Clay,1st Round,3,Gicquel M.,Hartfield D.,41,88,746,477,6,3,7,6,,,,,,,2,0,Completed,1.61,2.2,1.62,2.25,1.65,2.15,1.694,2.34,1.62,2.24
38,Gstaad,Allianz Suisse Open,10/07/07,International,Outdoor,Clay,1st Round,3,Eschauer W.,Lammer M.,64,225,573,176,6,2,4,6,6,2,,,,,2,1,Completed,1.39,2.75,,,1.4,2.85,1.417,3.2,1.37,3
38,Gstaad,Allianz Suisse Open,10/07/07,International,Outdoor,Clay,1st Round,3,Stepanek R.,Cilic M.,127,101,330,422,7,5,6,3,,,,,,,2,0,Completed,1.53,2.37,1.5,2.5,1.45,2.6,1.641,2.46,1.45,2.65
38,Gstaad,Allianz Suisse Open,11/07/07,International,Outdoor,Clay,1st Round,3,Gasquet R.,Ramirez-Hidalgo R.,7,93,2220,455,6,3,6,4,,,,,,,2,0,Completed,1.33,3,1.28,3.55,1.35,3.1,1.376,3.46,1.3,3.4
38,Gstaad,Allianz Suisse Open,11/07/07,International,Outdoor,Clay,1st Round,3,Vanek J.,Serra F.,120,84,344,490,6,4,6,1,,,,,,,2,0,Completed,2.5,1.5,2.7,1.45,2.46,1.51,2.94,1.467,2.46,1.52
38,Gstaad,Allianz Suisse Open,11/07/07,International,Outdoor,Clay,1st Round,3,Seppi A.,Salva B.,111,340,372,104,6,4,6,0,,,,,,,2,0,Completed,1.36,3,1.35,3.1,1.3,3.35,1.408,3.25,1.3,3.4
38,Gstaad,Allianz Suisse Open,11/07/07,International,Outdoor,Clay,1st Round,3,Koubek S.,Youzhny M.,65,14,568,1875,6,4,6,3,,,,,,,2,0,Completed,4.5,1.16,5,1.16,4.45,1.18,5.16,1.219,4.3,1.2
38,Gstaad,Allianz Suisse Open,11/07/07,International,Outdoor,Clay,1st Round,3,Andreev I.,Montanes A.,59,47,595,712,3,6,6,3,6,4,,,,,2,1,Completed,1.22,4,1.28,3.55,1.25,3.75,1.27,4.4,1.3,3.4
38,Gstaad,Allianz Suisse Open,11/07/07,International,Outdoor,Clay,1st Round,3,Monfils G.,Davydenko N.,57,5,607,3185,3,6,6,4,7,5,,,,,2,1,Completed,3.4,1.3,3.2,1.33,2.92,1.37,3.54,1.365,3.2,1.33
38,Gstaad,Allianz Suisse Open,11/07/07,International,Outdoor,Clay,1st Round,3,Vassallo-Arguello M.,Wawrinka S.,97,50,440,695,7,5,1,6,6,4,,,,,2,1,Completed,2.75,1.4,2.8,1.42,2.6,1.45,3.15,1.426,2.65,1.45
38,Gstaad,Allianz Suisse Open,11/07/07,International,Outdoor,Clay,1st Round,3,Lapentti N.,Acasuso J.,58,49,602,705,7,5,6,1,,,,,,,2,0,Completed,3,1.36,3,1.37,3.22,1.32,3.3,1.4,3,1.37
38,Gstaad,Allianz Suisse Open,11/07/07,International,Outdoor,Clay,2nd Round,3,Stepanek R.,Kohlschreiber P.,127,34,330,880,7,5,6,3,,,,,,,2,0,Completed,2.1,1.66,2,1.77,2.1,1.7,2,1.909,,
38,Gstaad,Allianz Suisse Open,11/07/07,International,Outdoor,Clay,2nd Round,3,Gicquel M.,Eschauer W.,41,64,746,573,6,2,7,6,,,,,,,2,0,Completed,1.44,2.62,1.55,2.4,1.5,2.45,1.51,2.81,1.4,2.85
38,Gstaad,Allianz Suisse Open,12/07/07,International,Outdoor,Clay,2nd Round,3,Seppi A.,Koubek S.,111,65,372,568,1,6,7,6,7,6,,,,,2,1,Completed,1.83,1.83,1.77,2,1.87,1.87,1.781,2.18,,
38,Gstaad,Allianz Suisse Open,12/07/07,International,Outdoor,Clay,2nd Round,3,Vassallo-Arguello M.,Lapentti N.,97,58,440,602,6,4,3,6,6,4,,,,,2,1,Completed,2.1,1.66,2.3,1.6,2.3,1.6,2.38,1.676,2.25,1.6
38,Gstaad,Allianz Suisse Open,12/07/07,International,Outdoor,Clay,2nd Round,3,Mathieu P.H.,Lopez F.,28,61,970,586,4,6,6,4,7,6,,,,,2,1,Completed,1.28,3.5,1.3,3.4,1.3,3.35,1.352,3.64,1.35,3.1
38,Gstaad,Allianz Suisse Open,12/07/07,International,Outdoor,Clay,2nd Round,3,Andreev I.,Starace P.,59,46,595,716,6,3,7,5,,,,,,,2,0,Completed,1.44,2.62,1.42,2.75,1.45,2.6,1.51,2.81,1.42,2.76
38,Gstaad,Allianz Suisse Open,12/07/07,International,Outdoor,Clay,2nd Round,3,Monfils G.,Vanek J.,57,120,607,344,6,1,6,4,,,,,,,2,0,Completed,1.1,6.5,1.16,5,1.12,5.6,1.156,6.8,1.15,5.05
38,Gstaad,Allianz Suisse Open,12/07/07,International,Outdoor,Clay,2nd Round,3,Gasquet R.,Vliegen K.,7,75,2220,519,6,3,6,4,,,,,,,2,0,Completed,1.5,2.5,1.6,2.3,1.6,2.3,1.562,2.68,1.52,2.45
38,Gstaad,Allianz Suisse Open,13/07/07,International,Outdoor,Clay,Quarterfinals,3,Seppi A.,Vassallo-Arguello M.,111,97,372,440,6,4,6,0,,,,,,,2,0,Completed,2.1,1.66,2.3,1.6,2.2,1.63,2.45,1.645,2.18,1.65
38,Gstaad,Allianz Suisse Open,13/07/07,International,Outdoor,Clay,Quarterfinals,3,Stepanek R.,Gicquel M.,127,41,330,746,6,3,6,3,,,,,,,2,0,Completed,1.44,2.62,1.4,2.85,1.5,2.45,1.463,2.96,1.45,2.67
38,Gstaad,Allianz Suisse Open,13/07/07,International,Outdoor,Clay,Quarterfinals,3,Andreev I.,Gasquet R.,59,7,595,2220,7,5,6,2,,,,,,,2,0,Completed,2.25,1.57,2.3,1.6,2.15,1.65,2.39,1.671,2.18,1.65
38,Gstaad,Allianz Suisse Open,13/07/07,International,Outdoor,Clay,Quarterfinals,3,Mathieu P.H.,Monfils G.,28,57,970,607,6,1,4,6,6,3,,,,,2,1,Completed,1.83,1.83,1.88,1.88,2,1.75,1.971,1.935,1.88,1.88
38,Gstaad,Allianz Suisse Open,14/07/07,International,Outdoor,Clay,Semifinals,3,Seppi A.,Andreev I.,111,59,372,595,6,4,3,6,7,6,,,,,2,1,Completed,5,1.14,5.4,1.14,5.19,1.14,7.15,1.148,5.2,1.15
38,Gstaad,Allianz Suisse Open,14/07/07,International,Outdoor,Clay,Semifinals,3,Mathieu P.H.,Stepanek R.,28,127,970,330,6,3,6,4,,,,,,,2,0,Completed,1.57,2.25,1.62,2.25,1.6,2.3,1.549,2.72,1.55,2.4
38,Gstaad,Allianz Suisse Open,15/07/07,International,Outdoor,Clay,The Final,5,Mathieu P.H.,Seppi A.,28,111,970,372,6,7,6,4,7,5,,,,,2,1,Completed,1.16,5,1.18,4.65,1.2,4.25,1.196,5.61,1.17,4.8
