ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,SJW,SJL,MaxW,MaxL,AvgW,AvgL
42,Gstaad,Allianz Suisse Open,25/07/11,ATP250,Outdoor,Clay,1st Round,3,Istomin D.,Fischer M.,80,198,655,264,6,3,3,6,6,4,,,,,2,1,Completed,1.4,2.75,1.55,2.35,1.53,2.38,1.52,2.68,1.5,2.5,1.59,2.86,1.48,2.56
42,Gstaad,Allianz Suisse Open,25/07/11,ATP250,Outdoor,Clay,1st Round,3,Haider-Maurer A.,Marti Y.,70,228,703,219,6,1,6,4,,,,,,,2,0,Completed,1.12,5.5,1.15,5,1.17,4.5,1.22,4.74,1.17,4.5,1.22,13,1.17,4.86
42,Gstaad,Allianz Suisse Open,25/07/11,ATP250,Outdoor,Clay,1st Round,3,Andreev I.,Zverev M.,78,114,675,483,6,3,6,2,,,,,,,2,0,Completed,1.16,4.5,1.22,4,1.22,4,1.23,4.67,1.25,3.5,1.25,4.68,1.21,4.15
42,Gstaad,Allianz Suisse Open,25/07/11,ATP250,Outdoor,Clay,1st Round,3,Luczak P.,Sadecky A.,248,401,194,93,3,6,6,3,7,6,,,,,2,1,Completed,1.25,3.75,1.25,3.75,1.29,3.5,1.27,4.11,1.29,3.25,1.31,4.28,1.26,3.73
42,Gstaad,Allianz Suisse Open,26/07/11,ATP250,Outdoor,Clay,1st Round,3,Gimeno-Traver D.,Darcis S.,67,95,725,561,6,4,5,7,7,5,,,,,2,1,Completed,2,1.72,2,1.75,1.83,1.83,2.29,1.69,1.83,1.83,2.33,1.87,1.99,1.76
42,Gstaad,Allianz Suisse Open,26/07/11,ATP250,Outdoor,Clay,1st Round,3,Giraldo S.,Garcia-Lopez G.,61,37,790,1155,5,7,6,2,6,1,,,,,2,1,Completed,1.66,2.1,1.75,2,1.67,2.1,1.72,2.23,1.73,2,1.82,2.33,1.7,2.08
42,Gstaad,Allianz Suisse Open,26/07/11,ATP250,Outdoor,Clay,1st Round,3,Nieminen J.,Hanescu V.,53,63,901,760,7,5,6,2,,,,,,,2,0,Completed,1.72,2,1.75,2,1.67,2.1,1.7,2.26,1.67,2.1,1.83,2.33,1.71,2.06
42,Gstaad,Allianz Suisse Open,26/07/11,ATP250,Outdoor,Clay,1st Round,3,Gil F.,Souza J.,93,112,566,496,4,6,6,3,6,4,,,,,2,1,Completed,1.66,2.1,1.65,2.15,1.73,2,1.74,2.2,1.67,2.1,1.81,2.2,1.7,2.06
42,Gstaad,Allianz Suisse Open,26/07/11,ATP250,Outdoor,Clay,1st Round,3,Granollers M.,Bohli S.,45,193,978,279,6,1,6,0,,,,,,,2,0,Completed,1.3,3.4,1.35,3,1.36,3,1.32,3.66,1.4,2.75,1.4,3.69,1.34,3.12
42,Gstaad,Allianz Suisse Open,26/07/11,ATP250,Outdoor,Clay,1st Round,3,Benneteau J.,Rosol L.,111,66,498,728,6,2,6,7,6,3,,,,,2,1,Completed,2.37,1.53,2.25,1.6,2.2,1.62,2.5,1.59,2.2,1.62,2.5,1.65,2.31,1.58
