ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,MaxW,MaxL,AvgW,AvgL
45,Gstaad,Suisse Open Gstaad,24/07/17,ATP250,Outdoor,Clay,1st Round,3,Gombos N.,Daniel T.,87,92,600,564,7,6,6,2,,,,,,,2,0,Completed,2.2,1.61,2.15,1.62,2.1,1.73,2.27,1.7,2.35,1.73,2.21,1.65
45,Gstaad,Suisse Open Gstaad,24/07/17,ATP250,Outdoor,Clay,1st Round,3,Hanfmann Y.,Bagnis F.,170,109,318,508,6,3,6,7,6,4,,,,,2,1,Completed,1.66,2.1,1.72,2,1.91,1.91,1.87,2.02,1.91,2.15,1.78,2.02
45,Gstaad,Suisse Open Gstaad,24/07/17,ATP250,Outdoor,Clay,1st Round,3,Istomin D.,Giustino L.,82,192,624,279,6,3,6,2,,,,,,,2,0,Completed,1.5,2.5,1.53,2.35,1.62,2.25,1.62,2.43,1.62,2.5,1.57,2.39
45,Gstaad,Suisse Open Gstaad,24/07/17,ATP250,Outdoor,Clay,1st Round,3,Sakharov G.,Bellier A.,196,714,269,30,6,3,7,6,,,,,,,2,0,Completed,1.12,6,1.12,5.4,1.14,5.5,1.14,6.65,1.15,7,1.12,6.05
45,Gstaad,Suisse Open Gstaad,25/07/17,ATP250,Outdoor,Clay,1st Round,3,Albot R.,Youzhny M.,132,85,418,605,4,6,7,6,7,5,,,,,2,1,Completed,1.72,2,1.72,2,1.8,2,1.81,2.09,1.83,2.1,1.77,2.02
45,Gstaad,Suisse Open Gstaad,25/07/17,ATP250,Outdoor,Clay,1st Round,3,Sousa J.,Giraldo S.,61,99,750,538,6,3,6,3,,,,,,,2,0,Completed,1.44,2.62,1.47,2.5,1.5,2.62,1.49,2.81,1.54,2.81,1.49,2.59
45,Gstaad,Suisse Open Gstaad,25/07/17,ATP250,Outdoor,Clay,1st Round,3,Monteiro T.,Dolgopolov O.,114,67,487,701,7,6,3,6,6,3,,,,,2,1,Completed,2.62,1.44,2.55,1.45,2.62,1.5,2.71,1.52,2.82,1.53,2.64,1.46
45,Gstaad,Suisse Open Gstaad,25/07/17,ATP250,Outdoor,Clay,1st Round,3,Brown D.,Lajovic D.,113,70,490,686,6,3,7,6,,,,,,,2,0,Completed,2.25,1.57,2.25,1.57,2.25,1.61,2.36,1.65,2.5,1.69,2.3,1.63
45,Gstaad,Suisse Open Gstaad,25/07/17,ATP250,Outdoor,Clay,1st Round,3,Haase R.,Olivo R.,50,120,888,462,6,1,6,4,,,,,,,2,0,Completed,1.28,3.5,1.27,3.45,1.3,3.5,1.31,3.79,1.53,3.79,1.3,3.47
45,Gstaad,Suisse Open Gstaad,26/07/17,ATP250,Outdoor,Clay,1st Round,3,Gulbis E.,Brands D.,313,205,150,253,6,4,6,4,,,,,,,2,0,Completed,1.4,2.75,1.42,2.65,1.5,2.62,1.47,2.85,1.5,2.85,1.46,2.68
