WTA,Location,Tournament,Date,Tier,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL
56,Guadalajara,WTA Finals,10/11/2021,Tour Championships,Indoor,Hard,Round Robin,3,Kontaveit A.,Krejcikova B.,8,3,3396,4708,6,3,6,4,,,2,0,Completed,1.44,2.75,1.41,3.14,1.47,3.14,1.42,2.83
56,Guadalajara,WTA Finals,11/11/2021,Tour Championships,Indoor,Hard,Round Robin,3,Pliskova Ka.,Muguruza G.,4,5,4510,4310,4,6,6,2,7,6,2,1,Completed,1.72,2.1,1.78,2.14,1.83,2.19,1.75,2.09
56,Guadalajara,WTA Finals,11/11/2021,Tour Championships,Indoor,Hard,Round Robin,3,Sakkari M.,Swiatek I.,6,9,3760,3286,6,2,6,4,,,2,0,Completed,1.8,2,1.81,2.09,1.86,2.11,1.78,2.02
56,Guadalajara,WTA Finals,12/11/2021,Tour Championships,Indoor,Hard,Round Robin,3,Badosa P.,Sabalenka A.,10,2,3224,6130,6,4,6,0,,,2,0,Completed,2,1.8,2.06,1.84,2.26,1.9,2.05,1.77
56,Guadalajara,WTA Finals,12/11/2021,Tour Championships,Indoor,Hard,Round Robin,3,Kontaveit A.,Pliskova Ka.,8,4,3396,4510,6,4,6,0,,,2,0,Completed,1.57,2.37,1.58,2.51,1.65,2.7,1.56,2.4
56,Guadalajara,WTA Finals,13/11/2021,Tour Championships,Indoor,Hard,Round Robin,3,Muguruza G.,Krejcikova B.,5,3,4310,4708,2,6,6,3,6,4,2,1,Completed,1.72,2.1,1.78,2.14,1.9,2.2,1.76,2.06
56,Guadalajara,WTA Finals,13/11/2021,Tour Championships,Indoor,Hard,Round Robin,3,Badosa P.,Sakkari M.,10,6,3224,3760,7,6,6,4,,,2,0,Completed,1.9,1.9,2.09,1.81,2.09,1.98,1.92,1.88
56,Guadalajara,WTA Finals,14/11/2021,Tour Championships,Indoor,Hard,Round Robin,3,Sabalenka A.,Swiatek I.,2,9,6130,3286,2,6,6,2,7,5,2,1,Completed,1.57,2.37,1.54,2.62,1.65,2.8,1.54,2.47
56,Guadalajara,WTA Finals,14/11/2021,Tour Championships,Indoor,Hard,Round Robin,3,Pliskova Ka.,Krejcikova B.,4,3,4510,4708,0,6,6,4,6,4,2,1,Completed,1.57,2.37,1.67,2.33,1.72,2.41,1.6,2.31
56,Guadalajara,WTA Finals,15/11/2021,Tour Championships,Indoor,Hard,Round Robin,3,Muguruza G.,Kontaveit A.,5,8,4310,3396,6,4,6,4,,,2,0,Completed,2.75,1.44,2.9,1.46,3.05,1.57,2.75,1.45
56,Guadalajara,WTA Finals,15/11/2021,Tour Championships,Indoor,Hard,Round Robin,3,Swiatek I.,Badosa P.,9,10,3286,3224,7,5,6,4,,,2,0,Completed,2.5,1.53,2.43,1.62,2.5,1.67,2.39,1.57
56,Guadalajara,WTA Finals,16/11/2021,Tour Championships,Indoor,Hard,Round Robin,3,Sakkari M.,Sabalenka A.,6,2,3760,6130,7,6,6,7,6,3,2,1,Completed,2.1,1.72,2.04,1.85,2.19,1.85,2.08,1.75
56,Guadalajara,WTA Finals,16/11/2021,Tour Championships,Indoor,Hard,Semifinals,3,Muguruza G.,Badosa P.,5,10,4310,3224,6,3,6,3,,,2,0,Completed,2.1,1.66,2.16,1.78,2.28,1.78,2.16,1.69
56,Guadalajara,WTA Finals,17/11/2021,Tour Championships,Indoor,Hard,Semifinals,3,Kontaveit A.,Sakkari M.,8,6,3396,3760,6,1,3,6,6,3,2,1,Completed,1.44,2.62,1.53,2.69,1.55,3.7,1.49,2.62
56,Guadalajara,WTA Finals,18/11/2021,Tour Championships,Indoor,Hard,The Final,3,Muguruza G.,Kontaveit A.,5,8,4310,3396,6,3,7,5,,,2,0,Completed,2,1.72,2.22,1.74,2.28,1.79,2.13,1.72
