WTA,Location,Tournament,Date,Tier,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,SJW,SJL,UBW,UBL
44,Guangzhou,GDD-Guangzhou International Womens Open ,14/09/09,International,Outdoor,Hard,1st Round,3,Panova A.,Sema E.,192,253,296,192,6,2,3,6,7,6,2,1,Completed,2.2,1.61,2.15,1.65,,,,,2.28,1.6
44,Guangzhou,GDD-Guangzhou International Womens Open ,14/09/09,International,Outdoor,Hard,1st Round,3,Amanmuradova A.,Fujiwara R.,122,202,525,280,6,3,6,2,,,2,0,Completed,1.61,2.2,1.7,2.1,1.667,2.1,,,1.67,2.15
44,Guangzhou,GDD-Guangzhou International Womens Open ,14/09/09,International,Outdoor,Hard,1st Round,3,Govortsova O.,Han X.,73,191,865,297,3,6,6,4,7,5,2,1,Completed,1.36,3,1.35,3.1,1.364,3,,,1.28,3.55
44,Guangzhou,GDD-Guangzhou International Womens Open ,15/09/09,International,Outdoor,Hard,1st Round,3,Sevastova A.,Lu J.,95,188,704,302,6,4,6,2,,,2,0,Completed,1.36,3,1.42,2.75,1.4,2.75,1.44,2.63,1.43,2.74
44,Guangzhou,GDD-Guangzhou International Womens Open ,15/09/09,International,Outdoor,Hard,1st Round,3,Peer S.,Woerle K.,57,130,1140,486,6,1,6,4,,,2,0,Completed,1.08,7,1.1,6.25,1.125,5.5,1.14,5,1.11,6.25
44,Guangzhou,GDD-Guangzhou International Womens Open ,15/09/09,International,Outdoor,Hard,1st Round,3,Brianti A.,Ferguson S.,85,147,737,405,7,6,6,4,,,2,0,Completed,1.36,3,1.45,2.6,1.4,2.75,1.36,2.88,1.47,2.6
44,Guangzhou,GDD-Guangzhou International Womens Open ,15/09/09,International,Outdoor,Hard,1st Round,3,Chan Y.J.,Johansson M.,140,117,432,545,6,1,6,1,,,2,0,Completed,1.57,2.25,1.55,2.35,1.615,2.2,1.67,2.1,1.62,2.25
44,Guangzhou,GDD-Guangzhou International Womens Open ,15/09/09,International,Outdoor,Hard,1st Round,3,Spears A.,Chang K.C.,218,145,244,422,6,3,7,6,,,2,0,Completed,2.75,1.4,2.45,1.5,2.5,1.5,2.63,1.44,2.6,1.47
44,Guangzhou,GDD-Guangzhou International Womens Open ,15/09/09,International,Outdoor,Hard,1st Round,3,Wienerova L.,Zhang L.,158,371,372,105,7,6,4,6,6,4,2,1,Completed,1.72,2,1.8,1.95,1.833,1.833,1.57,2.25,,
44,Guangzhou,GDD-Guangzhou International Womens Open ,15/09/09,International,Outdoor,Hard,1st Round,3,Medina Garrigues A.,Date Krumm K.,23,150,2030,402,6,1,4,6,6,4,2,1,Completed,1.5,2.5,1.5,2.45,1.444,2.625,1.4,2.75,1.53,2.44
44,Guangzhou,GDD-Guangzhou International Womens Open ,15/09/09,International,Outdoor,Hard,1st Round,3,Morita A.,Poutchek T.,69,244,895,206,6,3,6,3,,,2,0,Completed,1.44,2.62,1.4,2.85,1.444,2.625,1.5,2.5,1.4,2.86
44,Guangzhou,GDD-Guangzhou International Womens Open ,15/09/09,International,Outdoor,Hard,1st Round,3,Camerin M.E.,Chen Y.,113,614,561,40,6,2,6,2,,,2,0,Completed,1.36,3,1.4,2.8,1.28,3.5,1.29,3.25,,
44,Guangzhou,GDD-Guangzhou International Womens Open ,15/09/09,International,Outdoor,Hard,1st Round,3,Peng S.,Haynes A.,48,125,1305,506,6,2,7,5,,,2,0,Completed,1.11,6,1.07,7.5,1.12,5.5,1.13,5.5,1.12,6
44,Guangzhou,GDD-Guangzhou International Womens Open ,15/09/09,International,Outdoor,Hard,1st Round,3,Scheepers C.,Parra Santonja A.,143,106,425,604,7,6,5,7,6,3,2,1,Completed,1.72,2,1.7,2.1,1.72,2,1.73,2,1.67,2.15
44,Guangzhou,GDD-Guangzhou International Womens Open ,15/09/09,International,Outdoor,Hard,1st Round,3,Savchuk O.,Srebotnik K.,195,79,290,807,3,6,7,5,6,2,2,1,Completed,2.62,1.44,2.6,1.45,2.5,1.5,2.25,1.57,2.68,1.45
44,Guangzhou,GDD-Guangzhou International Womens Open ,15/09/09,International,Outdoor,Hard,1st Round,3,Hsieh S.W.,Yan Z.,362,326,110,129,6,3,7,5,,,2,0,Completed,2.1,1.66,2,1.75,2.1,1.66,2.1,1.67,1.97,1.8
44,Guangzhou,GDD-Guangzhou International Womens Open ,16/09/09,International,Outdoor,Hard,2nd Round,3,Panova A.,Govortsova O.,192,73,296,865,7,5,6,4,,,2,0,Completed,4,1.22,4.25,1.2,3.75,1.25,3,1.33,3.55,1.28
44,Guangzhou,GDD-Guangzhou International Womens Open ,16/09/09,International,Outdoor,Hard,2nd Round,3,Peer S.,Amanmuradova A.,57,122,1140,525,6,3,6,3,,,2,0,Completed,1.14,5,1.17,4.65,1.167,4.5,1.25,3.5,1.2,4.35
44,Guangzhou,GDD-Guangzhou International Womens Open ,16/09/09,International,Outdoor,Hard,2nd Round,3,Morita A.,Spears A.,69,218,895,244,1,6,6,1,6,0,2,1,Completed,1.33,3.25,1.32,3.22,1.364,3,1.33,3,1.38,2.95
44,Guangzhou,GDD-Guangzhou International Womens Open ,16/09/09,International,Outdoor,Hard,2nd Round,3,Brianti A.,Wienerova L.,85,158,737,372,6,3,6,1,,,2,0,Completed,1.28,3.5,1.3,3.4,1.286,3.5,1.44,2.63,1.35,3.1
44,Guangzhou,GDD-Guangzhou International Womens Open ,17/09/09,International,Outdoor,Hard,2nd Round,3,Savchuk O.,Hsieh S.W.,195,362,290,110,6,4,6,4,,,2,0,Completed,1.53,2.37,1.65,2.2,1.66,2.1,1.83,1.83,1.8,1.97
44,Guangzhou,GDD-Guangzhou International Womens Open ,17/09/09,International,Outdoor,Hard,2nd Round,3,Chan Y.J.,Camerin M.E.,140,113,432,561,6,3,3,6,7,6,2,1,Completed,2,1.72,2.05,1.75,1.833,1.833,1.83,1.83,1.88,1.88
44,Guangzhou,GDD-Guangzhou International Womens Open ,17/09/09,International,Outdoor,Hard,2nd Round,3,Sevastova A.,Medina Garrigues A.,95,23,704,2030,3,6,6,3,6,1,2,1,Completed,2.37,1.53,2.35,1.55,2.5,1.5,2.75,1.4,2.38,1.55
44,Guangzhou,GDD-Guangzhou International Womens Open ,17/09/09,International,Outdoor,Hard,2nd Round,3,Peng S.,Scheepers C.,48,143,1305,425,6,3,6,2,,,2,0,Completed,1.12,5.5,1.17,4.67,1.16,4.5,1.17,4.5,1.15,5.2
44,Guangzhou,GDD-Guangzhou International Womens Open ,18/09/09,International,Outdoor,Hard,Quarterfinals,3,Peer S.,Chan Y.J.,57,140,1140,432,6,3,6,1,,,2,0,Completed,1.22,4,1.2,4.25,1.22,4,1.22,3.75,1.19,4.5
44,Guangzhou,GDD-Guangzhou International Womens Open ,18/09/09,International,Outdoor,Hard,Quarterfinals,3,Peng S.,Panova A.,48,192,1305,296,6,2,6,3,,,2,0,Completed,1.12,5.5,1.1,6.25,1.12,5.5,1.13,5.5,1.12,6
44,Guangzhou,GDD-Guangzhou International Womens Open ,18/09/09,International,Outdoor,Hard,Quarterfinals,3,Brianti A.,Sevastova A.,85,95,737,704,6,4,6,2,,,2,0,Completed,1.83,1.83,1.75,2,1.83,1.83,1.83,1.83,1.78,2
44,Guangzhou,GDD-Guangzhou International Womens Open ,18/09/09,International,Outdoor,Hard,Quarterfinals,3,Morita A.,Savchuk O.,69,195,895,290,6,3,6,4,,,2,0,Completed,1.66,2.1,1.65,2.2,1.61,2.2,1.67,2.1,1.6,2.28
44,Guangzhou,GDD-Guangzhou International Womens Open ,19/09/09,International,Outdoor,Hard,Semifinals,3,Peer S.,Peng S.,57,48,1140,1305,6,4,1,0,,,1,0,Retired,2.1,1.66,2.15,1.64,2,1.72,2,1.73,2.08,1.72
44,Guangzhou,GDD-Guangzhou International Womens Open ,19/09/09,International,Outdoor,Hard,Semifinals,3,Brianti A.,Morita A.,85,69,737,895,6,3,7,5,,,2,0,Completed,1.8,1.9,1.8,1.95,1.833,1.833,1.91,1.8,1.88,1.89
44,Guangzhou,GDD-Guangzhou International Womens Open ,20/09/09,International,Outdoor,Hard,The Final,3,Peer S.,Brianti A.,57,85,1140,737,6,3,6,4,,,2,0,Completed,1.28,3.5,1.25,3.75,1.286,3.5,1.25,3.5,1.29,3.5
