WTA,Location,Tournament,Date,Tier,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL
46,Guangzhou,Guangzhou Open,18/09/2023,WTA250,Outdoor,Hard,1st Round,3,Shnaider D.,Liu C.,83,69,790,879,6,1,6,3,,,2,0,Completed,2.1,1.73,2.21,1.72,2.21,1.81,2.11,1.71
46,Guangzhou,Guangzhou Open,18/09/2023,WTA250,Outdoor,Hard,1st Round,3,Masarova R.,Baindl K.,64,86,897,776,7,5,6,2,,,2,0,Completed,1.5,2.63,1.61,2.42,1.61,2.63,1.57,2.38
46,Guangzhou,Guangzhou Open,18/09/2023,WTA250,Outdoor,Hard,1st Round,3,Tauson C.,Fruhvirtova L.,76,117,820,614,6,2,7,6,,,2,0,Completed,1.4,3,1.41,3.07,1.46,3.08,1.39,2.95
46,Guangzhou,Guangzhou Open,18/09/2023,WTA250,Outdoor,Hard,1st Round,3,Minnen G.,Parry D.,68,98,881,709,6,2,6,2,,,2,0,Completed,1.36,3.2,1.35,3.41,1.36,3.52,1.34,3.2
46,Guangzhou,Guangzhou Open,18/09/2023,WTA250,Outdoor,Hard,1st Round,3,Dart H.,Niemeier J.,155,136,474,533,6,3,6,2,,,2,0,Completed,1.8,2,1.79,2.11,1.87,2.26,1.78,2.02
46,Guangzhou,Guangzhou Open,18/09/2023,WTA250,Outdoor,Hard,1st Round,3,Linette M.,Burrage J.,27,91,1666,748,6,7,6,0,6,2,2,1,Completed,1.53,2.5,1.49,2.76,1.54,2.76,1.48,2.59
46,Guangzhou,Guangzhou Open,19/09/2023,WTA250,Outdoor,Hard,1st Round,3,Uchijima M.,Ponchet J.,173,149,441,493,7,5,3,6,6,3,2,1,Completed,1.67,2.2,1.65,2.35,1.68,2.36,1.62,2.25
46,Guangzhou,Guangzhou Open,19/09/2023,WTA250,Outdoor,Hard,1st Round,3,Bai Z.,Papamichail D.,129,190,561,382,6,3,7,5,,,2,0,Completed,1.33,3.4,1.41,3.09,1.41,3.4,1.36,3.08
46,Guangzhou,Guangzhou Open,19/09/2023,WTA250,Outdoor,Hard,1st Round,3,Yuan Y.,Korpatsch T.,137,78,531,808,6,3,7,6,,,2,0,Completed,1.73,2.1,1.66,2.31,1.74,2.31,1.67,2.18
46,Guangzhou,Guangzhou Open,19/09/2023,WTA250,Outdoor,Hard,1st Round,3,Maria T.,Eala A.,48,191,1125,382,6,3,6,0,,,2,0,Completed,1.36,3.2,1.37,3.3,1.44,3.3,1.38,2.96
