ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,SJW,SJL,MaxW,MaxL,AvgW,AvgL
33,Halle,Gerry Weber Open,09/06/14,ATP250,Outdoor,Grass,1st Round,3,Kohlschreiber P.,Seppi A.,27,34,1395,1150,6,3,6,4,,,,,,,2,0,Completed,1.25,3.75,1.28,3.5,1.29,3.5,1.29,3.9,1.29,3.5,1.3,4.25,1.26,3.7
33,Halle,Gerry Weber Open,09/06/14,ATP250,Outdoor,Grass,1st Round,3,Gojowczyk P.,Przysiezny M.,120,112,493,512,7,5,6,4,,,,,,,2,0,Completed,1.9,1.8,1.8,2,1.83,1.83,1.85,2.05,1.91,1.91,2,2.05,1.86,1.89
33,Halle,Gerry Weber Open,09/06/14,ATP250,Outdoor,Grass,1st Round,3,Herbert P.H.,Janowicz J.,135,24,423,1510,7,6,6,2,,,,,,,2,0,Completed,3.5,1.28,3.5,1.28,3.4,1.3,3.9,1.29,3.5,1.29,3.9,1.33,3.5,1.29
33,Halle,Gerry Weber Open,09/06/14,ATP250,Outdoor,Grass,1st Round,3,Brown D.,Kuznetsov An.,85,111,633,515,6,3,6,4,,,,,,,2,0,Completed,1.66,2.1,1.7,2.1,1.73,2,1.79,2.12,1.73,2.1,1.84,2.25,1.72,2.08
33,Halle,Gerry Weber Open,09/06/14,ATP250,Outdoor,Grass,1st Round,3,Sousa J.,Struff J.L.,47,64,940,763,6,4,6,2,,,,,,,2,0,Completed,3.75,1.25,3.75,1.25,3.75,1.25,3.87,1.3,3.75,1.25,4,1.31,3.79,1.25
33,Halle,Gerry Weber Open,10/06/14,ATP250,Outdoor,Grass,1st Round,3,Haase R.,Gasquet R.,52,14,865,2355,6,4,6,4,,,,,,,2,0,Completed,4.5,1.18,4,1.22,4,1.22,4.75,1.22,4,1.22,4.75,1.26,4.13,1.22
33,Halle,Gerry Weber Open,10/06/14,ATP250,Outdoor,Grass,1st Round,3,Lu Y.H.,Pavic M.,48,515,933,67,7,6,6,7,7,6,,,,,2,1,Completed,1.25,3.75,1.28,3.5,1.29,3.5,1.33,3.61,1.29,3.5,1.33,4,1.28,3.58
33,Halle,Gerry Weber Open,10/06/14,ATP250,Outdoor,Grass,1st Round,3,Falla A.,Kubot L.,69,68,713,713,6,2,3,6,6,3,,,,,2,1,Completed,2.1,1.66,2.2,1.65,2.1,1.67,2.1,1.81,2.2,1.67,2.25,1.81,2.08,1.72
33,Halle,Gerry Weber Open,10/06/14,ATP250,Outdoor,Grass,1st Round,3,Karlovic I.,Youzhny M.,33,16,1177,1930,6,3,6,4,,,,,,,2,0,Completed,2.25,1.57,2.2,1.65,2,1.73,2.28,1.69,2.1,1.73,2.35,1.73,2.17,1.66
33,Halle,Gerry Weber Open,10/06/14,ATP250,Outdoor,Grass,1st Round,3,Gabashvili T.,Marchenko I.,61,180,798,286,6,7,6,4,7,6,,,,,2,1,Completed,1.66,2.1,1.68,2.15,1.73,2,1.83,2.07,1.67,2.2,1.91,2.2,1.72,2.07
33,Halle,Gerry Weber Open,10/06/14,ATP250,Outdoor,Grass,1st Round,3,Johnson S.,Olivetti A.,63,161,767,339,6,4,6,2,,,,,,,2,0,Completed,1.3,3.4,1.33,3.2,1.36,3,1.34,3.5,1.36,3,1.4,3.6,1.32,3.36
33,Halle,Gerry Weber Open,10/06/14,ATP250,Outdoor,Grass,1st Round,3,Monfils G.,Becker B.,20,79,1660,678,6,1,7,5,,,,,,,2,0,Completed,1.36,3,1.38,3,1.36,3,1.41,3.13,1.36,3,1.42,3.2,1.38,2.94
33,Halle,Gerry Weber Open,11/06/14,ATP250,Outdoor,Grass,2nd Round,3,Kohlschreiber P.,Herbert P.H.,27,135,1395,423,6,2,6,4,,,,,,,2,0,Completed,1.08,8,1.08,7.5,1.1,6.5,1.09,8.85,1.1,7,1.11,8.85,1.08,7.4
