ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,MaxW,MaxL,AvgW,AvgL
46,Hamburg,German Tennis Championships,23/07/18,ATP500,Outdoor,Clay,1st Round,3,Mayer L.,Ramos-Vinolas A.,36,40,1197,1065,6,3,6,2,,,,,,,2,0,Completed,1.61,2.2,1.62,2.15,1.67,2.2,1.69,2.28,1.75,2.3,1.67,2.21
46,Hamburg,German Tennis Championships,23/07/18,ATP500,Outdoor,Clay,1st Round,3,Schwartzman D.,Ruud C.,12,141,2470,419,6,4,2,6,6,2,,,,,2,1,Completed,1.28,3.5,1.27,3.45,1.3,3.5,1.28,4.02,1.32,4.34,1.27,3.76
46,Hamburg,German Tennis Championships,23/07/18,ATP500,Outdoor,Clay,1st Round,3,Kovalik J.,Dzumhur D.,113,24,501,1665,6,2,6,4,,,,,,,2,0,Completed,2.25,1.57,2.2,1.6,2.25,1.61,2.27,1.7,2.49,1.7,2.29,1.63
46,Hamburg,German Tennis Championships,23/07/18,ATP500,Outdoor,Clay,1st Round,3,Masur D.,Marterer M.,349,47,127,997,6,3,6,4,,,,,,,2,0,Completed,3.75,1.25,3.1,1.32,3.25,1.36,3.9,1.29,3.9,1.42,3.41,1.32
46,Hamburg,German Tennis Championships,23/07/18,ATP500,Outdoor,Clay,1st Round,3,Molleker R.,Ferrer D.,272,62,195,865,7,5,5,7,6,3,,,,,2,1,Completed,3,1.36,2.95,1.35,3,1.4,3.5,1.34,3.5,1.41,3.1,1.37
46,Hamburg,German Tennis Championships,23/07/18,ATP500,Outdoor,Clay,1st Round,3,Carreno Busta P.,Mayer F.,13,94,2200,603,2,6,6,1,7,6,,,,,2,1,Completed,1.18,4.5,1.15,4.75,1.17,5,1.17,5.75,1.21,6.2,1.16,5.28
46,Hamburg,German Tennis Championships,24/07/18,ATP500,Outdoor,Clay,1st Round,3,Jarry N.,Gojowczyk P.,69,44,789,1023,6,1,6,2,,,,,,,2,0,Completed,2,1.72,1.95,1.75,2,1.8,2.02,1.87,2.2,1.87,2.01,1.8
46,Hamburg,German Tennis Championships,24/07/18,ATP500,Outdoor,Clay,1st Round,3,Verdasco F.,Lajovic D.,33,63,1280,850,6,3,4,6,7,6,,,,,2,1,Completed,1.8,1.9,1.85,1.85,1.91,1.91,2.01,1.88,2.05,1.96,1.92,1.88
46,Hamburg,German Tennis Championships,24/07/18,ATP500,Outdoor,Clay,1st Round,3,Monteiro T.,Simon G.,146,39,395,1085,7,6,6,2,,,,,,,2,0,Completed,2.25,1.57,2.25,1.57,2.25,1.61,2.63,1.54,2.66,1.62,2.43,1.57
46,Hamburg,German Tennis Championships,24/07/18,ATP500,Outdoor,Clay,1st Round,3,Monfils G.,Cecchinato M.,37,22,1160,1740,6,4,3,6,6,4,,,,,2,1,Completed,1.66,2.1,1.72,2,1.8,2,1.78,2.14,1.9,2.14,1.78,2.05
46,Hamburg,German Tennis Championships,24/07/18,ATP500,Outdoor,Clay,1st Round,3,Cuevas P.,Fucsovics M.,72,49,770,982,6,3,6,2,,,,,,,2,0,Completed,1.66,2.1,1.65,2.1,1.73,2.1,1.83,2.07,1.83,2.3,1.75,2.09
