ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL
43,Hamburg,European Open,24/07/2023,ATP250,Outdoor,Clay,1st Round,3,Van Assche L.,Muller A.,77,81,756,720,7,6,6,4,,,,,,,2,0,Completed,1.67,2.2,1.77,2.15,1.77,2.21,1.69,2.15
43,Hamburg,European Open,24/07/2023,ATP250,Outdoor,Clay,1st Round,3,Djere L.,Etcheverry T.,57,34,865,1231,7,6,6,3,,,,,,,2,0,Completed,2.3,1.62,2.25,1.71,2.32,1.75,2.18,1.67
43,Hamburg,European Open,24/07/2023,ATP250,Outdoor,Clay,1st Round,3,Pella G.,Monteiro T.,228,121,260,539,6,3,4,6,6,4,,,,,2,1,Completed,2,1.8,2.07,1.83,2.09,1.83,2.01,1.78
43,Hamburg,European Open,24/07/2023,ATP250,Outdoor,Clay,1st Round,3,Altmaier D.,Gasquet R.,61,48,833,915,7,5,6,4,,,,,,,2,0,Completed,1.62,2.3,1.61,2.45,1.7,2.45,1.58,2.35
43,Hamburg,European Open,25/07/2023,ATP250,Outdoor,Clay,1st Round,3,Musetti L.,Ymer E.,18,186,1880,325,6,4,6,1,,,,,,,2,0,Completed,1.13,6,1.14,6.66,1.17,6.66,1.14,5.69
43,Hamburg,European Open,25/07/2023,ATP250,Outdoor,Clay,1st Round,3,Marterer M.,Molleker R.,144,251,441,231,7,6,6,2,,,,,,,2,0,Completed,1.57,2.38,1.62,2.43,1.64,2.43,1.6,2.31
43,Hamburg,European Open,25/07/2023,ATP250,Outdoor,Clay,1st Round,3,Garin C.,Dellien H.,120,164,541,362,6,7,6,1,6,3,,,,,2,1,Completed,1.36,3.2,1.38,3.26,1.47,3.26,1.38,3.02
43,Hamburg,European Open,25/07/2023,ATP250,Outdoor,Clay,1st Round,3,Kovalik J.,Seyboth Wild T.,172,123,342,527,7,6,6,4,,,,,,,2,0,Completed,,,3.52,1.33,3.52,1.4,3.09,1.36
43,Hamburg,European Open,25/07/2023,ATP250,Outdoor,Clay,1st Round,3,Zverev A.,Molcan A.,19,118,1755,551,6,0,6,3,,,,,,,2,0,Completed,1.14,5.5,1.19,5.28,1.2,6,1.16,5.2
43,Hamburg,European Open,25/07/2023,ATP250,Outdoor,Clay,1st Round,3,Fils A.,Galan D.E.,71,67,796,808,7,5,7,5,,,,,,,2,0,Completed,1.5,2.63,1.54,2.63,1.54,2.75,1.5,2.55
