ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,CBW,CBL,EXW,EXL,PSW,PSL,UBW,UBL
34,'s-Hertogenbosch,Ordina Open,17/06/07,International,Outdoor,Grass,1st Round,3,Haase R.,Serra F.,131,75,328,525,5,7,6,4,6,4,,,,,2,1,Completed,3,1.36,,,2.85,1.4,2.83,1.493,2.8,1.42
34,'s-Hertogenbosch,Ordina Open,17/06/07,International,Outdoor,Grass,1st Round,3,Becker B.,Rochus O.,44,51,739,655,6,3,7,6,,,,,,,2,0,Completed,1.8,1.9,1.83,1.93,1.8,1.95,2,1.909,1.75,2.03
34,'s-Hertogenbosch,Ordina Open,18/06/07,International,Outdoor,Grass,1st Round,3,Ljubicic I.,Monfils G.,13,73,1885,537,3,6,6,3,6,0,,,,,2,1,Completed,1.61,2.2,1.83,1.93,1.7,2.1,1.719,2.29,1.73,2.06
34,'s-Hertogenbosch,Ordina Open,18/06/07,International,Outdoor,Grass,1st Round,3,Dupuis A.,De Bakker T.,345,390,97,81,7,5,7,6,,,,,,,2,0,Completed,1.53,2.37,,,1.55,2.35,1.568,2.66,1.48,2.57
34,'s-Hertogenbosch,Ordina Open,18/06/07,International,Outdoor,Grass,1st Round,3,Seppi A.,Peya A.,100,105,432,406,6,4,6,4,,,,,,,2,0,Completed,1.53,2.37,1.55,2.4,1.46,2.6,1.565,2.67,1.55,2.38
34,'s-Hertogenbosch,Ordina Open,18/06/07,International,Outdoor,Grass,1st Round,3,Wessels P.,Devilder N.,488,104,55,414,6,4,6,3,,,,,,,2,0,Completed,1.3,3.4,,,1.35,3.1,1.376,3.46,1.28,3.5
34,'s-Hertogenbosch,Ordina Open,18/06/07,International,Outdoor,Grass,1st Round,3,Vliegen K.,Santoro F.,79,58,519,586,6,3,1,1,,,,,,,1,0,Retired,2.62,1.44,2.7,1.45,2.6,1.45,2.98,1.459,2.64,1.46
34,'s-Hertogenbosch,Ordina Open,19/06/07,International,Outdoor,Grass,1st Round,3,Tipsarevic J.,Gicquel M.,62,42,571,776,6,4,6,2,,,,,,,2,0,Completed,1.66,2.1,1.62,2.25,1.65,2.15,1.68,2.37,1.68,2.13
34,'s-Hertogenbosch,Ordina Open,19/06/07,International,Outdoor,Grass,1st Round,3,Berrer M.,Hartfield D.,103,89,414,480,6,3,6,0,,,,,,,2,0,Completed,1.33,3.25,1.33,3.2,1.3,3.35,1.392,3.35,1.28,3.55
34,'s-Hertogenbosch,Ordina Open,19/06/07,International,Outdoor,Grass,1st Round,3,Canas G.,Gulbis E.,17,84,1522,512,7,6,7,5,,,,,,,2,0,Completed,1.25,3.75,1.25,3.85,1.28,3.46,1.31,3.93,1.27,3.6
34,'s-Hertogenbosch,Ordina Open,19/06/07,International,Outdoor,Grass,1st Round,3,Allegro Y.,Pless K.,N/A,82,N/A,514,7,6,3,6,6,4,,,,,2,1,Completed,,,,,,,,,,
34,'s-Hertogenbosch,Ordina Open,19/06/07,International,Outdoor,Grass,1st Round,3,Dlouhy L.,Udomchoke D.,112,115,374,371,4,6,6,3,6,4,,,,,2,1,Completed,,,,,,,,,,
34,'s-Hertogenbosch,Ordina Open,19/06/07,International,Outdoor,Grass,1st Round,3,Benneteau J.,Chela J.I.,57,20,590,1305,6,4,6,4,,,,,,,2,0,Completed,1.72,2,1.83,1.93,1.75,2,1.87,2.05,1.7,2.1
34,'s-Hertogenbosch,Ordina Open,19/06/07,International,Outdoor,Grass,1st Round,3,Berlocq C.,Ferrero J.C.,94,18,454,1355,2,6,6,3,6,2,,,,,2,1,Completed,7,1.08,8.5,1.06,6.75,1.1,8,1.13,7.8,1.07
