WTA,Location,Tournament,Date,Tier,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,UBW,UBL
31,'s-Hertogenbosch,Ordina Open,15/06/08,3,Outdoor,Grass,1st Round,3,Koryttseva M.,Rus A.,71,280,456,89,6,4,6,4,,,2,0,Completed,1.66,2.1,1.55,2.35,1.53,2.37,1.775,2.19,1.65,2.18
31,'s-Hertogenbosch,Ordina Open,15/06/08,3,Outdoor,Grass,1st Round,3,Pin C.,Vesnina E.,80,44,428,613,6,2,6,3,,,2,0,Completed,2.1,1.66,2.25,1.6,2.1,1.667,2.12,1.82,2.03,1.75
31,'s-Hertogenbosch,Ordina Open,16/06/08,3,Outdoor,Grass,1st Round,3,Errani S.,Keothavong A.,57,93,516,348,7,6,6,2,,,2,0,Completed,2.62,1.44,2.6,1.45,2.625,1.444,2.69,1.559,2.8,1.41
31,'s-Hertogenbosch,Ordina Open,16/06/08,3,Outdoor,Grass,1st Round,3,Kerber A.,Zakopalova K.,125,58,278,512,6,4,3,6,6,4,2,1,Completed,1.61,2.2,1.7,2.1,1.727,2,1.69,2.35,1.67,2.15
31,'s-Hertogenbosch,Ordina Open,16/06/08,3,Outdoor,Grass,1st Round,3,Bondarenko A.,Benesova I.,29,50,988,554,6,4,4,6,6,4,2,1,Completed,1.53,2.37,1.63,2.2,1.533,2.375,1.61,2.54,1.5,2.52
31,'s-Hertogenbosch,Ordina Open,16/06/08,3,Outdoor,Grass,1st Round,3,Mirza S.,Pennetta F.,33,23,848,1122,6,4,6,3,,,2,0,Completed,3.5,1.28,3.35,1.3,3.25,1.333,3.61,1.356,3.1,1.35
31,'s-Hertogenbosch,Ordina Open,16/06/08,3,Outdoor,Grass,1st Round,3,Krajicek M.,Sugiyama A.,51,38,546,722,6,1,5,7,7,6,2,1,Completed,1.8,1.9,1.87,1.87,1.833,1.833,1.826,2.11,2.04,1.74
31,'s-Hertogenbosch,Ordina Open,16/06/08,3,Outdoor,Grass,1st Round,3,Erakovic M.,Gordon A.,54,358,534,59,6,1,6,1,,,2,0,Completed,1.07,7.5,,,1.125,5.5,1.111,8.75,,
31,'s-Hertogenbosch,Ordina Open,16/06/08,3,Outdoor,Grass,1st Round,3,Srebotnik K.,Medina G. A.,24,34,1110,798,6,2,4,6,6,3,2,1,Completed,1.3,3.4,1.4,2.85,1.4,2.75,1.4,3.3,1.47,2.6
31,'s-Hertogenbosch,Ordina Open,16/06/08,3,Outdoor,Grass,1st Round,3,Harkleroad A.,Schiavone F.,76,20,437,1201,6,3,6,4,,,2,0,Completed,3.25,1.33,2.85,1.4,3.25,1.333,3.32,1.397,3.1,1.35
31,'s-Hertogenbosch,Ordina Open,16/06/08,3,Outdoor,Grass,1st Round,3,Safina D.,Parmentier P.,9,56,2222,521,6,4,6,1,,,2,0,Completed,1.05,9,1.05,8.5,1.063,8,1.087,10.5,1.09,7.2
31,'s-Hertogenbosch,Ordina Open,17/06/08,3,Outdoor,Grass,1st Round,3,Chan Y.J.,Arvidsson S.,74,59,443,507,7,5,7,5,,,2,0,Completed,,,,,,,,,,
31,'s-Hertogenbosch,Ordina Open,17/06/08,3,Outdoor,Grass,1st Round,3,Cirstea S.,Kirilenko M.,68,19,459,1208,7,5,6,4,,,2,0,Completed,3.4,1.3,3.34,1.3,3.25,1.333,3.62,1.355,2.85,1.4
