WTA,Location,Tournament,Date,Tier,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,SJW,SJL,MaxW,MaxL,AvgW,AvgL
31,'s-Hertogenbosch,Unicef Open,12/06/11,International,Outdoor,Grass,1st Round,3,Cibulkova D.,Halep S.,23,57,2055,1005,6,3,6,0,,,2,0,Completed,1.36,3,1.35,3,1.36,3,1.4,3.18,1.36,2.88,1.42,3.35,1.35,3
31,'s-Hertogenbosch,Unicef Open,12/06/11,International,Outdoor,Grass,1st Round,3,Dominguez Lino L.,Chakvetadze A.,49,50,1128,1121,6,4,6,1,,,2,0,Completed,2.75,1.4,2.8,1.4,2.63,1.44,2.91,1.46,2.75,1.44,2.91,1.48,2.71,1.42
31,'s-Hertogenbosch,Unicef Open,12/06/11,International,Outdoor,Grass,1st Round,3,Flipkens K.,Zakopalova K.,110,38,641,1425,6,3,6,2,,,2,0,Completed,1.57,2.25,1.55,2.35,1.62,2.2,1.56,2.56,1.62,2.2,1.62,2.64,1.55,2.35
31,'s-Hertogenbosch,Unicef Open,13/06/11,International,Outdoor,Grass,1st Round,3,Parra Santonja A.,Robson L.,107,257,656,209,7,5,6,3,,,2,0,Completed,1.61,2.2,1.75,2,1.67,2.1,1.65,2.38,1.67,2.1,1.75,2.38,1.65,2.15
31,'s-Hertogenbosch,Unicef Open,13/06/11,International,Outdoor,Grass,1st Round,3,Barrois K.,Zahlavova Strycova B.,73,54,896,1080,6,3,6,2,,,2,0,Completed,2,1.72,2,1.75,2.25,1.57,2.12,1.79,2.2,1.62,2.25,1.8,2.05,1.71
31,'s-Hertogenbosch,Unicef Open,13/06/11,International,Outdoor,Grass,1st Round,3,Date Krumm K.,Kirilenko M.,63,27,970,1985,7,6,6,2,,,2,0,Completed,2.62,1.44,2.8,1.4,2.63,1.44,2.93,1.45,2.63,1.44,2.95,1.5,2.69,1.43
31,'s-Hertogenbosch,Unicef Open,13/06/11,International,Outdoor,Grass,1st Round,3,Dulgheru A.,Van Uytvanck A.,36,301,1455,170,7,5,7,6,,,2,0,Completed,1.72,2,1.95,1.8,1.73,2,1.97,1.92,1.73,2,1.97,2.1,1.8,1.94
31,'s-Hertogenbosch,Unicef Open,13/06/11,International,Outdoor,Grass,1st Round,3,Pennetta F.,Bondarenko A.,21,105,2220,680,6,4,6,4,,,2,0,Completed,1.53,2.37,1.6,2.25,1.44,2.63,1.55,2.61,1.57,2.25,1.63,2.69,1.53,2.41
31,'s-Hertogenbosch,Unicef Open,13/06/11,International,Outdoor,Grass,1st Round,3,Kuznetsova S.,Rus A.,12,104,3210,706,6,2,6,4,,,2,0,Completed,1.4,2.75,1.45,2.65,1.4,2.75,1.5,2.77,1.33,3,1.5,3.01,1.4,2.79
31,'s-Hertogenbosch,Unicef Open,13/06/11,International,Outdoor,Grass,1st Round,3,Wickmayer Y.,Brianti A.,19,55,2350,1066,6,4,6,0,,,2,0,Completed,1.11,6,1.15,5,1.13,5.5,1.14,6.6,1.14,5,1.15,6.64,1.12,5.58
31,'s-Hertogenbosch,Unicef Open,13/06/11,International,Outdoor,Grass,1st Round,3,Oprandi R.,Amanmuradova A.,82,99,814,713,6,4,6,3,,,2,0,Completed,1.28,3.5,1.3,3.3,1.3,3.4,1.32,3.71,1.29,3.25,1.32,3.71,1.28,3.4
31,'s-Hertogenbosch,Unicef Open,13/06/11,International,Outdoor,Grass,1st Round,3,Clijsters K.,Niculescu M.,2,46,8215,1155,7,5,7,5,,,2,0,Completed,1.06,8,1.08,7,1.07,7.5,1.09,8.43,1.05,8,1.1,9.77,1.07,7.71
31,'s-Hertogenbosch,Unicef Open,14/06/11,International,Outdoor,Grass,1st Round,3,Larsson J.,Marino R.,71,44,904,1208,7,5,7,5,,,2,0,Completed,2.5,1.5,2.65,1.45,2.5,1.5,2.68,1.52,2.5,1.5,2.85,1.55,2.54,1.48
31,'s-Hertogenbosch,Unicef Open,14/06/11,International,Outdoor,Grass,1st Round,3,Vinci R.,Hercog P.,30,58,1675,1000,6,4,6,2,,,2,0,Completed,1.25,3.75,1.3,3.3,1.33,3.25,1.33,3.63,1.36,2.88,1.36,3.75,1.31,3.27
31,'s-Hertogenbosch,Unicef Open,14/06/11,International,Outdoor,Grass,1st Round,3,Errani S.,Bertens K.,35,179,1480,323,7,6,6,1,,,2,0,Completed,1.1,6.5,1.12,5.75,1.13,5.5,1.12,7.5,1.13,6,1.15,7.5,1.12,5.84
31,'s-Hertogenbosch,Unicef Open,14/06/11,International,Outdoor,Grass,1st Round,3,Dokic J.,Kudryavtseva A.,59,70,998,930,6,0,6,4,,,2,0,Completed,2.1,1.66,2.15,1.65,2.1,1.67,2.23,1.72,2.2,1.67,2.28,1.72,2.13,1.66
31,'s-Hertogenbosch,Unicef Open,14/06/11,International,Outdoor,Grass,2nd Round,3,Date Krumm K.,Dominguez Lino L.,63,49,970,1128,7,6,6,0,,,2,0,Completed,1.5,2.5,1.45,2.65,1.5,2.5,1.5,2.8,1.44,2.63,1.5,2.8,1.44,2.64
31,'s-Hertogenbosch,Unicef Open,14/06/11,International,Outdoor,Grass,2nd Round,3,Oprandi R.,Clijsters K.,82,2,814,8215,7,6,6,3,,,2,0,Completed,7,1.08,6.23,1.1,8,1.06,7.94,1.11,6,1.13,8.38,1.13,6.87,1.09
31,'s-Hertogenbosch,Unicef Open,15/06/11,International,Outdoor,Grass,2nd Round,3,Wickmayer Y.,Parra Santonja A.,19,107,2350,656,7,6,6,7,7,5,2,1,Completed,1.1,6.5,1.15,5,1.13,5.5,1.14,6.71,1.13,5.5,1.15,7.12,1.12,5.81
31,'s-Hertogenbosch,Unicef Open,15/06/11,International,Outdoor,Grass,2nd Round,3,Dokic J.,Pennetta F.,59,21,998,2220,6,3,6,4,,,2,0,Completed,2.62,1.44,2.65,1.45,2.5,1.5,2.85,1.49,2.38,1.53,2.85,1.53,2.61,1.46
