ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,MaxW,MaxL,AvgW,AvgL
34,s-Hertogenbosch,Ricoh Open,12/06/17,ATP250,Outdoor,Grass,1st Round,3,Bedene A.,Istomin D.,59,74,853,704,3,6,6,2,6,1,,,,,2,1,Completed,2,1.72,2.1,1.65,2.25,1.61,2.2,1.74,2.28,1.82,2.16,1.68
34,'s-Hertogenbosch,Ricoh Open,12/06/17,ATP250,Outdoor,Grass,1st Round,3,Seppi A.,Ito T.,76,174,686,299,6,3,3,6,6,3,,,,,2,1,Completed,1.4,2.75,1.42,2.65,1.44,2.75,1.47,2.85,1.5,2.95,1.46,2.67
34,'s-Hertogenbosch,Ricoh Open,12/06/17,ATP250,Outdoor,Grass,1st Round,3,Mahut N.,Novikov D.,82,172,650,301,6,3,6,4,,,,,,,2,0,Completed,1.2,4.33,1.19,4.2,1.2,4.5,1.21,5,1.25,5.2,1.2,4.46
34,'s-Hertogenbosch,Ricoh Open,12/06/17,ATP250,Outdoor,Grass,1st Round,3,Pospisil V.,Griekspoor T.,83,282,634,174,7,5,6,1,,,,,,,2,0,Completed,1.11,6.5,1.1,5.9,1.11,6.5,1.12,7.14,1.12,8,1.1,6.77
34,'s-Hertogenbosch,Ricoh Open,13/06/17,ATP250,Outdoor,Grass,1st Round,3,Dolgopolov O.,Darcis S.,81,56,656,866,6,2,7,6,,,,,,,2,0,Completed,1.53,2.37,1.55,2.3,1.57,2.37,1.68,2.3,1.69,2.37,1.61,2.29
34,'s-Hertogenbosch,Ricoh Open,13/06/17,ATP250,Outdoor,Grass,1st Round,3,Escobedo E.,Jung J.,77,163,683,344,6,4,6,2,,,,,,,2,0,Completed,1.4,2.75,,,,,,,1.4,2.75,1.4,2.75
34,'s-Hertogenbosch,Ricoh Open,13/06/17,ATP250,Outdoor,Grass,1st Round,3,Mannarino A.,Thompson J.,62,88,811,593,6,4,6,1,,,,,,,2,0,Completed,1.57,2.25,1.6,2.2,1.67,2.2,1.68,2.3,1.7,2.31,1.64,2.23
34,'s-Hertogenbosch,Ricoh Open,13/06/17,ATP250,Outdoor,Grass,1st Round,3,Kokkinakis T.,Youzhny M.,993,86,10,595,6,4,7,5,,,,,,,2,0,Completed,2.37,1.53,2.3,1.55,2.37,1.57,2.37,1.65,2.44,1.65,2.33,1.59
34,'s-Hertogenbosch,Ricoh Open,13/06/17,ATP250,Outdoor,Grass,1st Round,3,Medvedev D.,Haase R.,65,43,760,983,7,6,3,6,6,3,,,,,2,1,Completed,2.1,1.66,2,1.72,2.1,1.73,1.99,1.9,2.19,1.9,2.05,1.75
34,'s-Hertogenbosch,Ricoh Open,13/06/17,ATP250,Outdoor,Grass,1st Round,3,Benneteau J.,Donskoy E.,94,95,554,554,3,6,6,4,7,6,,,,,2,1,Completed,1.53,2.37,1.47,2.5,1.53,2.5,1.53,2.67,1.57,2.74,1.5,2.57
34,'s-Hertogenbosch,Ricoh Open,13/06/17,ATP250,Outdoor,Grass,1st Round,3,Kozlov S.,Brown D.,150,90,367,585,6,3,3,6,6,3,,,,,2,1,Completed,2.75,1.4,2.95,1.35,3,1.4,3.27,1.38,3.3,1.44,2.99,1.38
34,'s-Hertogenbosch,Ricoh Open,13/06/17,ATP250,Outdoor,Grass,1st Round,3,Tipsarevic J.,Sugita Y.,61,64,830,780,7,6,3,6,6,0,,,,,2,1,Completed,2,1.72,2,1.72,2,1.8,2.24,1.71,2.24,1.81,2.04,1.75
34,'s-Hertogenbosch,Ricoh Open,14/06/17,ATP250,Outdoor,Grass,2nd Round,3,Bedene A.,Escobedo E.,59,77,853,683,6,3,6,4,,,,,,,2,0,Completed,1.4,2.75,1.4,2.75,1.44,2.75,1.44,3.03,1.45,3.03,1.41,2.84
