WTA,Location,Tournament,Date,Tier,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,MaxW,MaxL,AvgW,AvgL
29,s-Hertogenbosch,Ricoh Open,11/06/18,International,Outdoor,Grass,1st Round,3,Van Uytvanck A.,Hogenkamp R.,47,151,1133,386,6,1,6,2,,,2,0,Completed,1.28,3.5,1.27,3.4,1.28,3.75,1.28,4.06,1.34,4.06,1.28,3.69
29,'s-Hertogenbosch,Ricoh Open,11/06/18,International,Outdoor,Grass,1st Round,3,Schoofs B.,Witthoeft C.,174,75,326,831,6,4,7,5,,,2,0,Completed,3,1.36,2.9,1.36,3,1.4,3.11,1.41,3.25,1.45,3.03,1.38
29,'s-Hertogenbosch,Ricoh Open,11/06/18,International,Outdoor,Grass,1st Round,3,Vandeweghe C.,Sasnovich A.,16,51,2593,1065,6,2,7,6,,,2,0,Completed,1.25,3.75,1.25,3.6,1.25,4,1.24,4.52,1.3,4.52,1.26,3.79
29,'s-Hertogenbosch,Ricoh Open,11/06/18,International,Outdoor,Grass,1st Round,3,Rus A.,Alexandrova E.,100,110,647,599,6,7,6,4,7,6,2,1,Completed,2.2,1.61,2.08,1.67,2.1,1.73,2.2,1.74,2.25,1.74,2.15,1.69
29,'s-Hertogenbosch,Ricoh Open,12/06/18,International,Outdoor,Grass,1st Round,3,Kudermetova V.,Kontaveit A.,170,24,337,1935,6,4,7,6,,,2,0,Completed,6,1.12,5.4,1.11,5.5,1.14,6.24,1.15,6.7,1.18,5.98,1.13
29,'s-Hertogenbosch,Ricoh Open,12/06/18,International,Outdoor,Grass,1st Round,3,Kuzmova V.,Melnikova M.,81,272,801,185,6,2,6,2,,,2,0,Completed,1.28,3.5,1.26,3.5,1.28,3.75,1.27,4.19,1.33,4.19,1.28,3.67
29,'s-Hertogenbosch,Ricoh Open,12/06/18,International,Outdoor,Grass,1st Round,3,Krunic A.,Grammatikopoulou V.,55,179,1015,319,6,1,6,0,,,2,0,Completed,1.28,3.5,1.27,3.4,1.28,3.5,1.27,4.16,1.34,4.16,1.28,3.62
29,'s-Hertogenbosch,Ricoh Open,12/06/18,International,Outdoor,Grass,1st Round,3,Bencic B.,Martincova T.,61,157,914,374,6,2,6,4,,,2,0,Completed,1.22,4,1.21,3.9,1.22,4.33,1.25,4.34,1.28,4.5,1.23,4.12
29,'s-Hertogenbosch,Ricoh Open,12/06/18,International,Outdoor,Grass,1st Round,3,Stollar F.,Zhang S.,161,29,361,1545,6,3,6,3,,,2,0,Completed,2.1,1.66,2.14,1.63,2.2,1.67,2.21,1.74,2.26,1.78,2.16,1.69
29,'s-Hertogenbosch,Ricoh Open,12/06/18,International,Outdoor,Grass,1st Round,3,Sabalenka A.,Vondrousova M.,46,104,1135,632,0,6,7,5,6,3,2,1,Completed,2.1,1.66,1.94,1.78,2.1,1.73,2.09,1.81,2.18,1.88,2.03,1.78
