ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL
33,'s-Hertogenbosch,Rosmalen Grass Court Championships,10/06/2019,ATP250,Outdoor,Grass,1st Round,3,Fritz T.,Rodionov J.,41,211,1090,239,7,6,6,4,,,,,,,2,0,Completed,1.2,4.33,1.21,4.95,1.25,5.7,1.21,4.4
33,'s-Hertogenbosch,Rosmalen Grass Court Championships,10/06/2019,ATP250,Outdoor,Grass,1st Round,3,Garin C.,Caruso S.,32,122,1240,456,6,1,6,4,,,,,,,2,0,Completed,1.5,2.5,1.6,2.49,2.63,2.93,1.56,2.45
33,'s-Hertogenbosch,Rosmalen Grass Court Championships,10/06/2019,ATP250,Outdoor,Grass,1st Round,3,Thompson J.,Paul T.,62,138,837,416,3,6,6,1,6,4,,,,,2,1,Completed,1.9,1.8,1.83,2.06,2.01,2.06,1.89,1.91
33,'s-Hertogenbosch,Rosmalen Grass Court Championships,10/06/2019,ATP250,Outdoor,Grass,1st Round,3,Haase R.,Humbert U.,67,64,781,817,5,7,7,6,7,6,,,,,2,1,Completed,1.57,2.25,1.68,2.3,1.69,2.4,1.63,2.25
33,'s-Hertogenbosch,Rosmalen Grass Court Championships,10/06/2019,ATP250,Outdoor,Grass,1st Round,3,Tiafoe F.,Sousa J.,35,71,1230,750,6,2,7,6,,,,,,,2,0,Completed,1.36,3,1.42,3.09,1.43,3.15,1.4,2.93
33,'s-Hertogenbosch,Rosmalen Grass Court Championships,11/06/2019,ATP250,Outdoor,Grass,1st Round,3,Gasquet R.,Bedene A.,42,93,1080,595,6,7,7,6,6,4,,,,,2,1,Completed,1.36,3,1.35,3.43,1.4,3.5,1.35,3.17
33,'s-Hertogenbosch,Rosmalen Grass Court Championships,11/06/2019,ATP250,Outdoor,Grass,1st Round,3,Jarry N.,Sinner J.,60,219,855,227,7,6,6,3,,,,,,,2,0,Completed,1.66,2.1,1.85,2.05,1.85,2.24,1.75,2.06
33,'s-Hertogenbosch,Rosmalen Grass Court Championships,11/06/2019,ATP250,Outdoor,Grass,1st Round,3,Seppi A.,Fabbiano T.,72,104,750,557,7,6,7,5,,,,,,,2,0,Completed,1.4,2.75,1.47,2.87,1.49,3.08,1.43,2.79
33,'s-Hertogenbosch,Rosmalen Grass Court Championships,11/06/2019,ATP250,Outdoor,Grass,1st Round,3,Goffin D.,Davidovich Fokina A.,33,129,1235,440,6,0,6,2,,,,,,,2,0,Completed,1.3,3.4,1.35,3.43,1.37,3.5,1.34,3.21
33,'s-Hertogenbosch,Rosmalen Grass Court Championships,11/06/2019,ATP250,Outdoor,Grass,1st Round,3,Mannarino A.,De Bakker T.,44,224,1011,220,6,2,6,1,,,,,,,2,0,Completed,1.18,4.5,1.2,5.09,1.24,5.1,1.2,4.49
33,'s-Hertogenbosch,Rosmalen Grass Court Championships,11/06/2019,ATP250,Outdoor,Grass,1st Round,3,Herbert P.H.,Ebden M.,45,66,1008,786,6,4,7,5,,,,,,,2,0,Completed,2.1,1.66,2.1,1.81,2.25,1.81,2.09,1.73
33,'s-Hertogenbosch,Rosmalen Grass Court Championships,11/06/2019,ATP250,Outdoor,Grass,1st Round,3,Kukushkin M.,Sonego L.,47,76,955,732,5,7,6,4,6,4,,,,,2,1,Completed,1.61,2.2,1.59,2.5,1.74,2.5,1.61,2.3
33,'s-Hertogenbosch,Rosmalen Grass Court Championships,12/06/2019,ATP250,Outdoor,Grass,2nd Round,3,Thompson J.,Tiafoe F.,62,35,837,1230,6,3,6,2,,,,,,,2,0,Completed,2.5,1.5,2.44,1.63,2.69,2.5,2.4,1.59
33,'s-Hertogenbosch,Rosmalen Grass Court Championships,12/06/2019,ATP250,Outdoor,Grass,2nd Round,3,Coric B.,Fritz T.,14,41,2525,1090,4,6,6,3,6,3,,,,,2,1,Completed,1.53,2.37,1.63,2.44,1.65,2.45,1.59,2.35
33,'s-Hertogenbosch,Rosmalen Grass Court Championships,12/06/2019,ATP250,Outdoor,Grass,2nd Round,3,De Minaur A.,Seppi A.,24,72,1410,750,7,5,6,3,,,,,,,2,0,Completed,1.44,2.62,1.63,2.44,1.65,2.62,1.55,2.43
33,'s-Hertogenbosch,Rosmalen Grass Court Championships,13/06/2019,ATP250,Outdoor,Grass,2nd Round,3,Goffin D.,Herbert P.H.,33,45,1235,1008,6,3,7,5,,,,,,,2,0,Completed,1.33,3.25,1.42,3.11,1.42,3.25,1.37,3.05
33,'s-Hertogenbosch,Rosmalen Grass Court Championships,13/06/2019,ATP250,Outdoor,Grass,2nd Round,3,Garin C.,Haase R.,32,67,1240,781,7,5,7,5,,,,,,,2,0,Completed,1.66,2.1,1.77,2.18,2.15,2.38,1.72,2.12
33,'s-Hertogenbosch,Rosmalen Grass Court Championships,13/06/2019,ATP250,Outdoor,Grass,2nd Round,3,Jarry N.,Tsitsipas S.,60,6,855,4215,6,4,3,6,6,4,,,,,2,1,Completed,4.5,1.18,5.12,1.21,5.12,1.23,4.53,1.2
33,'s-Hertogenbosch,Rosmalen Grass Court Championships,13/06/2019,ATP250,Outdoor,Grass,2nd Round,3,Mannarino A.,Verdasco F.,44,34,1011,1235,1,6,6,3,6,4,,,,,2,1,Completed,1.61,2.2,1.72,2.25,1.73,2.33,1.66,2.21
33,'s-Hertogenbosch,Rosmalen Grass Court Championships,14/06/2019,ATP250,Outdoor,Grass,2nd Round,3,Gasquet R.,Kukushkin M.,42,47,1080,955,6,4,6,3,,,,,,,2,0,Completed,1.53,2.37,1.61,2.49,1.61,2.63,1.56,2.42
33,'s-Hertogenbosch,Rosmalen Grass Court Championships,14/06/2019,ATP250,Outdoor,Grass,Quarterfinals,3,Coric B.,Garin C.,14,32,2525,1240,6,7,6,3,7,6,,,,,2,1,Completed,1.44,2.75,1.44,3.06,1.48,3.2,1.41,2.91
33,'s-Hertogenbosch,Rosmalen Grass Court Championships,14/06/2019,ATP250,Outdoor,Grass,Quarterfinals,3,Mannarino A.,Goffin D.,44,33,1011,1235,3,6,7,5,6,3,,,,,2,1,Completed,3.5,1.3,3.86,1.32,4,1.33,3.59,1.29
33,'s-Hertogenbosch,Rosmalen Grass Court Championships,14/06/2019,ATP250,Outdoor,Grass,Quarterfinals,3,Thompson J.,De Minaur A.,62,24,837,1410,4,6,6,2,6,3,,,,,2,1,Completed,2.62,1.5,2.6,1.57,2.75,1.57,2.57,1.51
33,'s-Hertogenbosch,Rosmalen Grass Court Championships,14/06/2019,ATP250,Outdoor,Grass,Quarterfinals,3,Gasquet R.,Jarry N.,42,60,1080,855,7,6,6,4,,,,,,,2,0,Completed,1.72,2.1,1.76,2.19,1.8,2.2,1.72,2.13
