WTA,Location,Tournament,Date,Tier,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,MaxW,MaxL,AvgW,AvgL
4,Hobart,Hobart International,11/01/15,International,Outdoor,Hard,1st Round,3,Kanepi K.,Puig M.,52,59,1000,880,6,4,6,1,,,2,0,Completed,1.36,3,1.4,2.85,1.36,3,1.48,2.83,1.53,3.04,1.4,2.87
4,Hobart,Hobart International,11/01/15,International,Outdoor,Hard,1st Round,3,Stephens S.,Niculescu M.,35,46,1343,1070,6,4,6,2,,,2,0,Completed,1.5,2.5,1.55,2.4,1.53,2.38,1.51,2.72,1.6,2.75,1.53,2.42
4,Hobart,Hobart International,11/01/15,International,Outdoor,Hard,1st Round,3,Nara K.,Koukalova K.,45,39,1098,1215,0,6,6,2,6,1,2,1,Completed,1.44,2.62,1.52,2.45,1.57,2.25,1.53,2.67,1.57,2.67,1.51,2.49
4,Hobart,Hobart International,11/01/15,International,Outdoor,Hard,1st Round,3,Beck A.,Cepelova J.,114,57,493,906,6,7,7,5,6,4,2,1,Completed,1.36,3,1.4,2.8,1.4,2.75,1.41,3.1,1.44,3.1,1.39,2.88
4,Hobart,Hobart International,11/01/15,International,Outdoor,Hard,1st Round,3,Riske A.,Mchale C.,43,51,1175,1015,6,4,,,,,1,0,Retired,1.5,2.5,1.55,2.4,1.53,2.38,1.59,2.5,1.61,2.55,1.54,2.41
4,Hobart,Hobart International,12/01/15,International,Outdoor,Hard,1st Round,3,Giorgi C.,Sanders S.,33,365,1355,88,5,7,6,1,7,6,2,1,Completed,1.16,5,1.2,4,1.17,4.5,1.19,5.22,1.22,5.6,1.18,4.64
4,Hobart,Hobart International,12/01/15,International,Outdoor,Hard,1st Round,3,Diyas Z.,Soler Espinosa S.,32,65,1371,788,6,3,6,4,,,2,0,Completed,1.4,2.75,1.35,3,1.4,2.75,1.52,2.7,1.52,3.2,1.43,2.77
4,Hobart,Hobart International,12/01/15,International,Outdoor,Hard,1st Round,3,Jovanovski B.,Lucic M.,56,60,911,867,5,2,,,,,0,0,Retired,3,1.36,2.7,1.45,2.75,1.4,2.63,1.54,3,1.57,2.65,1.46
4,Hobart,Hobart International,12/01/15,International,Outdoor,Hard,1st Round,3,Vinci R.,Rogowska O.,44,124,1107,443,6,1,4,6,6,3,2,1,Completed,1.18,4.5,1.18,4.5,1.17,4.5,1.22,4.74,1.25,4.9,1.19,4.45
4,Hobart,Hobart International,12/01/15,International,Outdoor,Hard,1st Round,3,Kozlova K.,Flipkens K.,140,49,393,1040,4,6,6,3,6,4,2,1,Completed,1.66,2.1,1.8,2,1.73,2,1.76,2.17,1.91,2.3,1.76,2.03
