ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,CBW,CBL,GBW,GBL,IWW,IWL,SBW,SBL
58,Hong Kong,Salem Open,24/09/01,International,Outdoor,Hard,1st Round,3,Arthurs W.,Woodbridge T.,87,217,6,2,6,2,,,,,,,2,0,Completed,1.47,2.48,1.42,2.45,1.35,2.5,1.5,2.5
58,Hong Kong,Salem Open,24/09/01,International,Outdoor,Hard,1st Round,3,Bjorkman J.,Sargsian S.,49,94,6,2,6,4,,,,,,,2,0,Completed,1.55,2.3,1.52,2.2,1.55,2,1.533,2.375
58,Hong Kong,Salem Open,24/09/01,International,Outdoor,Hard,1st Round,3,Carlsen K.,Lee H.T.,182,96,6,1,7,5,,,,,,,2,0,Completed,1.53,2.3,1.52,2.2,,,,
58,Hong Kong,Salem Open,24/09/01,International,Outdoor,Hard,1st Round,3,Chang M.,Blake J.,55,100,7,6,7,5,,,,,,,2,0,Completed,1.62,2.15,1.6,2,1.5,2.1,,
58,Hong Kong,Salem Open,24/09/01,International,Outdoor,Hard,1st Round,3,Ferrero J.C.,Srichaphan P.,5,117,6,3,4,6,6,3,,,,,2,1,Completed,1.22,3.75,1.2,3.55,1.2,3.2,1.25,3.5
58,Hong Kong,Salem Open,24/09/01,International,Outdoor,Hard,1st Round,3,Grosjean S.,Burgsmuller L.,9,73,7,6,6,4,,,,,,,2,0,Completed,1.3,3.2,1.3,2.9,1.3,2.7,1.286,3.25
58,Hong Kong,Salem Open,24/09/01,International,Outdoor,Hard,1st Round,3,Ilie A.,Motomura G.,80,315,4,6,6,4,7,6,,,,,2,1,Completed,,,1.3,2.9,1.3,2.7,,
58,Hong Kong,Salem Open,24/09/01,International,Outdoor,Hard,1st Round,3,Kratochvil M.,Clavet F.,51,60,7,6,7,6,,,,,,,2,0,Completed,1.85,1.85,1.75,1.85,1.7,1.8,2,1.727
58,Hong Kong,Salem Open,24/09/01,International,Outdoor,Hard,1st Round,3,Larsson M.,Godwin N.,179,114,2,6,6,4,6,3,,,,,2,1,Completed,1.45,2.55,1.45,2.35,1.4,2.3,,
58,Hong Kong,Salem Open,24/09/01,International,Outdoor,Hard,1st Round,3,Mamiit C.,Heuberger I.,113,122,7,6,6,4,,,,,,,2,0,Completed,,,,,,,,
