WTA,Location,Tournament,Date,Tier,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,MaxW,MaxL,AvgW,AvgL
53,Hong Kong,Prudential Hong Kong Tennis Open,08/10/18,International,Outdoor,Hard,1st Round,3,Tomova V.,Jakupovic D.,162,79,366,778,6,3,2,6,7,6,2,1,Completed,2.5,1.5,2.6,1.55,2.5,1.53,2.63,1.54,2.63,1.61,2.51,1.52
53,Hong Kong,Prudential Hong Kong Tennis Open,08/10/18,International,Outdoor,Hard,1st Round,3,Yastremska D.,Stollar F.,102,129,591,464,6,4,6,4,,,2,0,Completed,1.57,2.25,1.65,2.35,1.61,2.25,1.67,2.32,1.73,2.35,1.64,2.26
53,Hong Kong,Prudential Hong Kong Tennis Open,08/10/18,International,Outdoor,Hard,1st Round,3,Kumkhum L.,Brady J.,105,99,579,612,6,1,7,6,,,2,0,Completed,1.72,2,1.77,2.15,1.73,2.1,1.7,2.26,1.78,2.26,1.71,2.14
53,Hong Kong,Prudential Hong Kong Tennis Open,08/10/18,International,Outdoor,Hard,1st Round,3,Cornet A.,Glushko J.,44,124,1175,480,6,1,6,2,,,2,0,Completed,1.22,4,1.28,4,1.25,3.75,1.27,4.19,1.36,4.19,1.26,3.83
53,Hong Kong,Prudential Hong Kong Tennis Open,08/10/18,International,Outdoor,Hard,1st Round,3,Kucova K.,Ostapenko J.,317,18,141,2863,5,7,6,3,6,2,2,1,Completed,5.5,1.14,5.75,1.17,5,1.17,5.68,1.17,5.75,1.19,5.33,1.15
53,Hong Kong,Prudential Hong Kong Tennis Open,08/10/18,International,Outdoor,Hard,1st Round,3,Zheng S.,Krunic A.,58,59,991,985,6,1,6,3,,,2,0,Completed,2,1.72,2.1,1.8,2,1.8,2.1,1.81,2.1,1.84,2.03,1.78
53,Hong Kong,Prudential Hong Kong Tennis Open,09/10/18,International,Outdoor,Hard,1st Round,3,Gavrilova D.,Diyas Z.,34,90,1455,675,3,6,7,5,6,1,2,1,Completed,1.66,2.1,1.67,2.3,1.61,2.25,1.68,2.32,1.71,2.4,1.63,2.28
53,Hong Kong,Prudential Hong Kong Tennis Open,09/10/18,International,Outdoor,Hard,1st Round,3,Mchale C.,Chong E.,145,590,415,43,6,7,6,2,6,1,2,1,Completed,1.16,5,1.18,5.5,1.17,5,1.17,5.78,1.19,6.37,1.15,5.5
53,Hong Kong,Prudential Hong Kong Tennis Open,09/10/18,International,Outdoor,Hard,1st Round,3,Niculescu M.,Jabeur O.,87,100,704,598,4,6,7,6,6,4,2,1,Completed,2.2,1.61,2.3,1.67,2.2,1.67,2.25,1.71,2.36,1.75,2.2,1.68
53,Hong Kong,Prudential Hong Kong Tennis Open,09/10/18,International,Outdoor,Hard,1st Round,3,Hibino N.,Stosur S.,125,69,474,835,6,3,6,3,,,2,0,Completed,1.53,2.37,1.6,2.45,1.57,2.37,1.6,2.48,1.6,2.67,1.56,2.42
53,Hong Kong,Prudential Hong Kong Tennis Open,09/10/18,International,Outdoor,Hard,1st Round,3,Wang Q.,Zhang L.,24,407,2085,92,6,0,6,2,,,2,0,Completed,1.03,15,1.04,15,1.04,11,1.05,13.57,1.06,15.65,1.04,11.6
53,Hong Kong,Prudential Hong Kong Tennis Open,09/10/18,International,Outdoor,Hard,1st Round,3,Kerkhove L.,Schoofs B.,200,197,297,303,6,4,6,0,,,2,0,Completed,1.72,2,1.73,2.2,1.67,2.2,1.74,2.21,1.78,2.21,1.73,2.12
53,Hong Kong,Prudential Hong Kong Tennis Open,09/10/18,International,Outdoor,Hard,1st Round,3,Bogdan A.,Dolehide C.,78,131,783,459,6,7,6,3,7,5,2,1,Completed,1.57,2.25,1.6,2.45,1.53,2.37,1.61,2.44,1.67,2.48,1.6,2.34
53,Hong Kong,Prudential Hong Kong Tennis Open,09/10/18,International,Outdoor,Hard,1st Round,3,Zhang S.,Sharipova S.,40,135,1320,450,6,3,7,6,,,2,0,Completed,1.16,5,1.14,6.5,1.12,5.5,1.13,6.78,1.17,6.89,1.13,6.01
53,Hong Kong,Prudential Hong Kong Tennis Open,09/10/18,International,Outdoor,Hard,1st Round,3,Muguruza G.,Sorribes Tormo S.,13,86,3170,710,6,3,6,1,,,2,0,Completed,1.08,8,1.1,8.25,1.1,7.5,1.11,7.94,1.12,8.5,1.09,7.33
53,Hong Kong,Prudential Hong Kong Tennis Open,09/10/18,International,Outdoor,Hard,1st Round,3,Svitolina E.,Hon P.,5,181,4350,322,6,2,6,3,,,2,0,Completed,1.06,10,1.07,10.5,1.07,8,1.07,10.26,1.08,10.5,1.06,9.13
53,Hong Kong,Prudential Hong Kong Tennis Open,10/10/18,International,Outdoor,Hard,2nd Round,3,Kumkhum L.,Cornet A.,105,44,579,1175,6,4,4,6,7,6,2,1,Completed,2.37,1.53,2.4,1.62,2.37,1.57,2.45,1.63,2.58,1.63,2.39,1.58
53,Hong Kong,Prudential Hong Kong Tennis Open,10/10/18,International,Outdoor,Hard,2nd Round,3,Yastremska D.,Zheng S.,102,58,591,991,6,3,6,3,,,2,0,Completed,2.1,1.66,2.15,1.77,2.1,1.73,2.2,1.75,2.21,1.83,2.11,1.73
53,Hong Kong,Prudential Hong Kong Tennis Open,10/10/18,International,Outdoor,Hard,2nd Round,3,Kucova K.,Tomova V.,317,162,141,366,6,1,6,0,,,2,0,Completed,1.66,2.1,1.77,2.15,1.73,2.1,1.78,2.17,1.8,2.2,1.72,2.11
53,Hong Kong,Prudential Hong Kong Tennis Open,10/10/18,International,Outdoor,Hard,2nd Round,3,Muguruza G.,Bogdan A.,13,78,3170,783,6,2,6,1,,,2,0,Completed,1.12,6,1.17,5.75,1.14,5.5,1.17,5.86,1.17,6,1.15,5.44
53,Hong Kong,Prudential Hong Kong Tennis Open,11/10/18,International,Outdoor,Hard,2nd Round,3,Gavrilova D.,Niculescu M.,34,87,1455,704,6,3,4,6,7,6,2,1,Completed,1.4,2.75,1.47,2.85,1.44,2.75,1.41,3.17,1.47,3.17,1.42,2.86
53,Hong Kong,Prudential Hong Kong Tennis Open,11/10/18,International,Outdoor,Hard,2nd Round,3,Zhang S.,Kerkhove L.,40,200,1320,297,6,1,6,7,6,1,2,1,Completed,1.16,5,1.19,5.25,1.2,4.5,1.17,5.98,1.19,5.98,1.16,5.24
53,Hong Kong,Prudential Hong Kong Tennis Open,11/10/18,International,Outdoor,Hard,2nd Round,3,Wang Q.,Mchale C.,24,145,2085,415,7,5,6,1,,,2,0,Completed,1.11,6.5,1.14,6.5,1.12,6,1.13,7.33,1.14,7.33,1.12,6.32
53,Hong Kong,Prudential Hong Kong Tennis Open,11/10/18,International,Outdoor,Hard,2nd Round,3,Svitolina E.,Hibino N.,5,125,4350,474,6,0,6,3,,,2,0,Completed,1.18,4.5,1.2,5.1,1.17,5,1.2,5.22,1.2,5.29,1.18,4.93
53,Hong Kong,Prudential Hong Kong Tennis Open,12/10/18,International,Outdoor,Hard,Quarterfinals,3,Yastremska D.,Kucova K.,102,317,591,141,7,6,6,2,,,2,0,Completed,1.36,3.2,1.4,3.2,1.36,3.25,1.39,3.34,1.4,3.35,1.37,3.14
53,Hong Kong,Prudential Hong Kong Tennis Open,12/10/18,International,Outdoor,Hard,Quarterfinals,3,Zhang S.,Gavrilova D.,40,34,1320,1455,6,1,6,3,,,2,0,Completed,1.8,2,1.85,2.05,1.8,2,1.86,2.08,1.87,2.1,1.82,2.01
53,Hong Kong,Prudential Hong Kong Tennis Open,12/10/18,International,Outdoor,Hard,Quarterfinals,3,Muguruza G.,Kumkhum L.,13,105,3170,579,6,2,7,5,,,2,0,Completed,1.16,5,1.17,5.75,1.14,5.5,1.19,5.65,1.2,5.75,1.17,5.17
53,Hong Kong,Prudential Hong Kong Tennis Open,13/10/18,International,Outdoor,Hard,Quarterfinals,3,Wang Q.,Svitolina E.,24,5,2085,4350,6,2,6,4,,,2,0,Completed,2.2,1.66,2.25,1.7,2.1,1.73,2.33,1.69,2.2,1.74,2.21,1.68
