WTA,Location,Tournament,Date,Tier,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL
50,Hong Kong,Hong Kong Tennis Open,10/10/2023,WTA250,Outdoor,Hard,1st Round,3,Siniakova K.,Wang Xiy.,85,58,789,1018,6,4,7,6,,,2,0,Completed,2.63,1.5,2.59,1.54,2.64,1.55,2.53,1.51
50,Hong Kong,Hong Kong Tennis Open,10/10/2023,WTA250,Outdoor,Hard,1st Round,3,Andreeva M.,Yastremska D.,50,97,1128,707,6,4,6,3,,,2,0,Completed,1.2,4.5,1.25,4.33,1.25,4.6,1.21,4.32
50,Hong Kong,Hong Kong Tennis Open,10/10/2023,WTA250,Outdoor,Hard,1st Round,3,Rakhimova K.,Gracheva V.,81,46,836,1201,6,3,6,2,,,2,0,Completed,2.2,1.67,2.35,1.65,2.35,1.7,2.26,1.62
50,Hong Kong,Hong Kong Tennis Open,10/10/2023,WTA250,Outdoor,Hard,1st Round,3,Hon P.,Chong E.,183,242,400,301,7,5,7,5,,,2,0,Completed,1.62,2.3,1.61,2.42,1.62,2.42,1.58,2.34
50,Hong Kong,Hong Kong Tennis Open,10/10/2023,WTA250,Outdoor,Hard,1st Round,3,Trevisan M.,Bucsa C.,42,78,1227,852,7,5,6,2,,,2,0,Completed,1.62,2.3,1.66,2.32,1.73,2.32,1.63,2.24
50,Hong Kong,Hong Kong Tennis Open,10/10/2023,WTA250,Outdoor,Hard,1st Round,3,Blinkova A.,Putintseva Y.,37,68,1298,937,6,4,2,6,5,1,1,1,Retired,2.63,1.5,2.73,1.5,2.74,1.55,2.6,1.48
50,Hong Kong,Hong Kong Tennis Open,10/10/2023,WTA250,Outdoor,Hard,1st Round,3,Fernandez L.A.,Azarenka V.,60,19,995,2225,2,6,6,3,,,1,1,Retired,2.3,1.62,2.26,1.69,2.32,1.72,2.21,1.65
50,Hong Kong,Hong Kong Tennis Open,10/10/2023,WTA250,Outdoor,Hard,1st Round,3,Fruhvirtova L.,Stearns P.,88,48,761,1166,3,6,6,4,6,4,2,1,Completed,2.2,1.67,2.62,1.53,2.62,1.67,2.36,1.58
50,Hong Kong,Hong Kong Tennis Open,10/10/2023,WTA250,Outdoor,Hard,1st Round,3,Pavlyuchenkova A.,Fett J.,61,196,985,371,6,0,6,0,,,2,0,Completed,1.13,6,1.15,6.16,1.17,6.25,1.13,5.68
50,Hong Kong,Hong Kong Tennis Open,10/10/2023,WTA250,Outdoor,Hard,1st Round,3,Wang Xin.,Avanesyan E.,32,67,1388,943,6,2,4,1,,,1,0,Retired,1.33,3.4,1.33,3.55,1.36,3.55,1.31,3.35
50,Hong Kong,Hong Kong Tennis Open,11/10/2023,WTA250,Outdoor,Hard,1st Round,3,Haddad Maia B.,Sasnovich A.,20,89,2210,758,7,6,3,6,7,6,2,1,Completed,1.5,2.63,1.53,2.63,1.56,2.7,1.51,2.56
50,Hong Kong,Hong Kong Tennis Open,11/10/2023,WTA250,Outdoor,Hard,1st Round,3,Sorribes Tormo S.,Wu H.C.,57,669,1036,54,6,1,6,0,,,2,0,Completed,1.01,23,1.03,21.32,1.03,25,1.02,15.67
50,Hong Kong,Hong Kong Tennis Open,11/10/2023,WTA250,Outdoor,Hard,1st Round,3,Frech M.,Danilina A.,70,1016,924,15,6,2,6,2,,,2,0,Completed,1.06,10,1.07,11.07,1.08,11.99,1.06,9.22
50,Hong Kong,Hong Kong Tennis Open,11/10/2023,WTA250,Outdoor,Hard,1st Round,3,Mertens E.,Saville D.,41,211,1244,347,6,1,6,4,,,2,0,Completed,1.53,2.5,1.61,2.42,1.61,2.7,1.53,2.48
50,Hong Kong,Hong Kong Tennis Open,11/10/2023,WTA250,Outdoor,Hard,1st Round,3,Korneeva A.,Savinykh V.,179,143,416,505,6,4,2,6,6,3,2,1,Completed,1.29,3.75,1.27,4.02,1.3,4.02,1.28,3.71
50,Hong Kong,Hong Kong Tennis Open,11/10/2023,WTA250,Outdoor,Hard,1st Round,3,Lansere S.,Wong C.,271,455,240,95,6,4,6,0,,,2,0,Completed,1.5,2.63,1.46,2.88,1.51,2.88,1.45,2.71
50,Hong Kong,Hong Kong Tennis Open,11/10/2023,WTA250,Outdoor,Hard,2nd Round,3,Siniakova K.,Rakhimova K.,85,81,789,836,6,7,6,3,6,1,2,1,Completed,1.67,2.2,1.6,2.47,1.67,2.55,1.6,2.3
