ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,B&WW,B&WL,CBW,CBL,IWW,IWL,SBW,SBL
25,Houston,U.S. Men's Clay Court Championships,21/04/03,International,Outdoor,Clay,1st Round,3,Savolt A.,Kiefer N.,133,73,6,3,6,2,,,,,,,2,0,Completed,1.833,1.833,2,1.55,2.2,1.62,2.2,1.45,2,1.727
25,Houston,U.S. Men's Clay Court Championships,21/04/03,International,Outdoor,Clay,1st Round,3,Carlsen K.,Blake T.,67,287,7,6,6,1,,,,,,,2,0,Completed,1.533,2.375,1.38,2.42,1.45,2.65,1.4,2.3,1.444,2.625
25,Houston,U.S. Men's Clay Court Championships,22/04/03,International,Outdoor,Clay,1st Round,3,Labadze I.,Vahaly B.,105,72,6,3,6,7,6,3,,,,,2,1,Completed,2.625,1.444,3.12,1.24,2.65,1.45,2.3,1.4,2.625,1.444
25,Houston,U.S. Men's Clay Court Championships,22/04/03,International,Outdoor,Clay,1st Round,3,Roddick A.,Morrison J.,6,116,6,3,6,1,,,,,,,2,0,Completed,1.143,5,1.06,5.7,1.16,4.75,1.1,4.5,1.125,5.5
25,Houston,U.S. Men's Clay Court Championships,22/04/03,International,Outdoor,Clay,1st Round,3,Melzer J.,Dent T.,102,39,4,6,7,6,6,3,,,,,2,1,Completed,2.5,1.5,2.6,1.35,2.5,1.5,2.5,1.35,2.5,1.5
25,Houston,U.S. Men's Clay Court Championships,22/04/03,International,Outdoor,Clay,1st Round,3,Mutis O.,Armando H.,90,748,6,7,6,4,6,1,,,,,2,1,Completed,1.5,2.5,1.35,2.6,1.4,2.8,1.4,2.3,1.364,2.875
25,Houston,U.S. Men's Clay Court Championships,22/04/03,International,Outdoor,Clay,1st Round,3,Blake J.,Waske A.,25,113,6,4,6,4,,,,,,,2,0,Completed,1.167,4.5,1.08,5,1.16,4.75,1.15,3.8,1.143,5
25,Houston,U.S. Men's Clay Court Championships,22/04/03,International,Outdoor,Clay,1st Round,3,Fish M.,Roitman S.,55,136,6,3,6,3,,,,,,,2,0,Completed,,,1.4,2.4,,,1.4,2.3,,
25,Houston,U.S. Men's Clay Court Championships,22/04/03,International,Outdoor,Clay,1st Round,3,Mello R.,Sa A.,129,82,7,6,6,0,,,,,,,2,0,Completed,1.667,2.1,1.63,1.92,1.72,2.05,1.65,1.85,,
25,Houston,U.S. Men's Clay Court Championships,22/04/03,International,Outdoor,Clay,1st Round,3,Spadea V.,Brasington J.,31,175,6,3,6,3,,,,,,,2,0,Completed,1.25,3.5,1.17,3.7,1.28,3.5,1.25,3,,
25,Houston,U.S. Men's Clay Court Championships,22/04/03,International,Outdoor,Clay,1st Round,3,Agassi A.,Krajan Z.,2,103,6,2,6,0,,,,,,,2,0,Completed,1.083,7,1.02,7.5,1.06,8,1.05,5,1.05,8
25,Houston,U.S. Men's Clay Court Championships,22/04/03,International,Outdoor,Clay,1st Round,3,Meligeni F.,Gimelstob J.,118,95,6,2,6,4,,,,,,,2,0,Completed,1.5,2.5,1.4,2.4,1.42,2.75,1.4,2.3,1.4,2.75
25,Houston,U.S. Men's Clay Court Championships,22/04/03,International,Outdoor,Clay,1st Round,3,Goldstein P.,Enqvist T.,193,89,6,1,7,6,,,,,,,2,0,Completed,2.625,1.444,3,1.27,2.55,1.48,2.2,1.45,,
25,Houston,U.S. Men's Clay Court Championships,23/04/03,International,Outdoor,Clay,1st Round,3,Saretta F.,Mamiit C.,79,111,6,3,6,1,,,,,,,2,0,Completed,1.667,2.1,1.67,1.85,,,1.65,1.85,1.727,2
25,Houston,U.S. Men's Clay Court Championships,23/04/03,International,Outdoor,Clay,1st Round,3,Martin T.,Lee H.T.,88,54,6,3,6,4,,,,,,,2,0,Completed,1.909,1.8,1.76,1.74,1.95,1.8,1.65,1.85,1.833,1.833
25,Houston,U.S. Men's Clay Court Championships,23/04/03,International,Outdoor,Clay,1st Round,3,Horna L.,Gambill J.M.,78,40,6,2,6,4,,,,,,,2,0,Completed,1.667,2.1,1.58,1.93,1.6,2.25,1.7,1.8,1.615,2.2
25,Houston,U.S. Men's Clay Court Championships,23/04/03,International,Outdoor,Clay,2nd Round,3,Roddick A.,Goldstein P.,6,193,7,5,6,4,,,,,,,2,0,Completed,1.125,5.5,1.06,5.8,1.14,5.25,1.15,3.8,1.125,5.5
25,Houston,U.S. Men's Clay Court Championships,23/04/03,International,Outdoor,Clay,2nd Round,3,Meligeni F.,Spadea V.,118,31,4,6,7,6,6,3,,,,,2,1,Completed,2.5,1.5,2.5,1.36,2.4,1.53,2.3,1.4,2.375,1.533
25,Houston,U.S. Men's Clay Court Championships,24/04/03,International,Outdoor,Clay,2nd Round,3,Mutis O.,Saretta F.,90,79,6,2,6,0,,,,,,,2,0,Completed,3.25,1.333,2.9,1.28,3.15,1.33,3,1.25,3.25,1.286
25,Houston,U.S. Men's Clay Court Championships,24/04/03,International,Outdoor,Clay,2nd Round,3,Blake J.,Savolt A.,25,133,6,2,7,6,,,,,,,2,0,Completed,1.167,4.5,1.13,4.25,1.18,4.5,1.15,3.8,1.143,5
25,Houston,U.S. Men's Clay Court Championships,24/04/03,International,Outdoor,Clay,2nd Round,3,Fish M.,Horna L.,55,78,6,2,6,4,,,,,,,2,0,Completed,1.909,1.8,1.75,1.75,2.05,1.72,1.75,1.75,2,1.727
25,Houston,U.S. Men's Clay Court Championships,24/04/03,International,Outdoor,Clay,2nd Round,3,Agassi A.,Labadze I.,2,105,6,0,6,2,,,,,,,2,0,Completed,1.083,7,1.02,7.5,1.08,7,1.05,5,1.04,8
25,Houston,U.S. Men's Clay Court Championships,25/04/03,International,Outdoor,Clay,2nd Round,3,Melzer J.,Carlsen K.,102,67,5,7,6,3,6,4,,,,,2,1,Completed,1.615,2.2,1.58,1.97,1.53,2.4,1.6,1.9,1.667,2.1
25,Houston,U.S. Men's Clay Court Championships,25/04/03,International,Outdoor,Clay,2nd Round,3,Mello R.,Martin T.,129,88,7,6,6,1,,,,,,,2,0,Completed,2.625,1.444,2.8,1.31,2.5,1.5,2.5,1.35,2.625,1.444
25,Houston,U.S. Men's Clay Court Championships,25/04/03,International,Outdoor,Clay,Quarterfinals,3,Mutis O.,Blake J.,90,25,6,4,6,7,6,1,,,,,2,1,Completed,4.5,1.167,4.05,1.14,3.7,1.25,3.3,1.2,4,1.2
25,Houston,U.S. Men's Clay Court Championships,25/04/03,International,Outdoor,Clay,Quarterfinals,3,Agassi A.,Mello R.,2,129,6,0,6,1,,,,,,,2,0,Completed,1.063,8,1.02,7.5,1.06,7.75,1.03,5.5,1.05,8
25,Houston,U.S. Men's Clay Court Championships,26/04/03,International,Outdoor,Clay,Quarterfinals,3,Roddick A.,Meligeni F.,6,118,6,3,4,6,6,4,,,,,2,1,Completed,1.286,3.5,1.21,3.35,1.28,3.5,1.2,3.3,1.222,3.75
25,Houston,U.S. Men's Clay Court Championships,26/04/03,International,Outdoor,Clay,Quarterfinals,3,Melzer J.,Fish M.,102,55,7,5,2,6,7,5,,,,,2,1,Completed,2.375,1.533,2.4,1.4,2.35,1.55,2.3,1.4,2.625,1.444
25,Houston,U.S. Men's Clay Court Championships,26/04/03,International,Outdoor,Clay,Semifinals,3,Roddick A.,Mutis O.,6,90,4,6,6,1,6,2,,,,,2,1,Completed,1.16,4.5,1.15,4,,,1.15,3.8,1.222,3.75
25,Houston,U.S. Men's Clay Court Championships,27/04/03,International,Outdoor,Clay,Semifinals,3,Agassi A.,Melzer J.,2,102,6,4,6,1,,,,,,,2,0,Completed,1.06,8,1.03,7,,,1.03,5.5,1.04,9
25,Houston,U.S. Men's Clay Court Championships,27/04/03,International,Outdoor,Clay,The Final,3,Agassi A.,Roddick A.,2,6,3,6,6,3,6,4,,,,,2,1,Completed,1.25,3.75,1.11,4.5,1.2,4.25,1.2,3.3,1.143,5.5
