ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,CBW,CBL,EXW,EXL,PSW,PSL,UBW,UBL
21,Houston,U.S. Men's Clay Court Championships,10/04/06,International,Outdoor,Clay,1st Round,3,Marach O.,Marin J.A.,111,97,376,416,6,4,6,1,,,,,,,2,0,Completed,2.1,1.66,2,1.77,1.95,1.8,2.06,1.862,1.98,1.78
21,Houston,U.S. Men's Clay Court Championships,11/04/06,International,Outdoor,Clay,1st Round,3,Melzer J.,Minar I.,72,106,520,385,7,6,6,0,,,,,,,2,0,Completed,1.5,2.5,1.55,2.35,1.45,2.6,1.599,2.57,1.52,2.45
21,Houston,U.S. Men's Clay Court Championships,11/04/06,International,Outdoor,Clay,1st Round,3,Behrend T.,Sabau R.,113,103,374,404,7,5,5,7,7,5,,,,,2,1,Completed,1.83,1.83,1.8,1.95,1.75,2,1.962,1.943,1.8,1.95
21,Houston,U.S. Men's Clay Court Championships,11/04/06,International,Outdoor,Clay,1st Round,3,Haas T.,Hernandez O.,27,120,1250,351,6,1,6,4,,,,,,,2,0,Completed,1.1,6,1.13,5.4,1.13,5.5,1.136,7.68,1.14,5.2
21,Houston,U.S. Men's Clay Court Championships,11/04/06,International,Outdoor,Clay,1st Round,3,Montanes A.,Ginepri R.,93,19,428,1465,6,4,6,4,,,,,,,2,0,Completed,1.83,1.83,1.77,2.05,2,1.75,1.813,2.13,1.76,2
21,Houston,U.S. Men's Clay Court Championships,11/04/06,International,Outdoor,Clay,1st Round,3,Spadea V.,Berlocq C.,76,79,500,480,6,1,6,3,,,,,,,2,0,Completed,1.53,2.37,1.58,2.3,1.6,2.3,1.595,2.58,1.45,2.63
21,Houston,U.S. Men's Clay Court Championships,11/04/06,International,Outdoor,Clay,1st Round,3,Waske A.,Vanek J.,96,101,422,407,6,4,2,6,7,6,,,,,2,1,Completed,2.25,1.57,2.35,1.57,2.35,1.55,2.58,1.595,2.35,1.55
21,Houston,U.S. Men's Clay Court Championships,11/04/06,International,Outdoor,Clay,1st Round,3,Vicente F.,Reynolds B.,123,107,350,385,6,2,6,1,,,,,,,2,0,Completed,1.39,2.75,1.43,2.7,1.45,2.6,1.397,3.32,1.4,2.85
21,Houston,U.S. Men's Clay Court Championships,11/04/06,International,Outdoor,Clay,1st Round,3,Fish M.,Monaco J.,212,91,180,431,6,2,1,6,7,6,,,,,2,1,Completed,2.75,1.39,2.65,1.45,2.75,1.42,3.12,1.431,2.66,1.44
21,Houston,U.S. Men's Clay Court Championships,11/04/06,International,Outdoor,Clay,1st Round,3,Schuettler R.,Muller G.,75,73,513,517,6,0,6,3,,,,,,,2,0,Completed,,,1.8,1.95,,,,,,
21,Houston,U.S. Men's Clay Court Championships,11/04/06,International,Outdoor,Clay,1st Round,3,Jenkins S.,Kunitsyn I.,243,110,141,378,7,5,2,6,6,3,,,,,2,1,Completed,2.5,1.5,2.4,1.53,,,2.4,1.667,2.45,1.52
21,Houston,U.S. Men's Clay Court Championships,12/04/06,International,Outdoor,Clay,1st Round,3,Roddick A.,Capdeville P.,4,104,2655,399,6,3,6,2,,,,,,,2,0,Completed,1.12,5.5,1.14,5.25,1.13,5.5,1.19,5.76,1.16,4.85
21,Houston,U.S. Men's Clay Court Championships,12/04/06,International,Outdoor,Clay,1st Round,3,Dupuis A.,Blake J.,159,8,252,1985,7,6,3,6,6,1,,,,,2,1,Completed,4,1.19,4.25,1.2,4.06,1.21,4.81,1.238,,
21,Houston,U.S. Men's Clay Court Championships,12/04/06,International,Outdoor,Clay,1st Round,3,Goldstein P.,Tipsarevic J.,64,98,612,415,6,3,6,3,,,,,,,2,0,Completed,1.66,2.1,1.65,2.15,1.55,2.35,1.709,2.31,1.55,2.37
