ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,SJW,SJL,MaxW,MaxL,AvgW,AvgL
22,Houston,U.S. Men's Clay Court Championships,09/04/12,ATP250,Outdoor,Clay,1st Round,3,Phau B.,Junqueira D.,93,123,588,438,6,1,3,0,,,,,,,1,0,Retired,1.4,2.75,1.4,2.8,1.4,2.75,1.47,2.88,1.4,2.75,1.49,3,1.41,2.81
22,Houston,U.S. Men's Clay Court Championships,10/04/12,ATP250,Outdoor,Clay,1st Round,3,Berlocq C.,Blake J.,37,74,1051,688,6,4,2,6,6,1,,,,,2,1,Completed,1.28,3.5,1.25,3.75,1.3,3.4,1.31,3.78,1.29,3.25,1.33,3.8,1.28,3.51
22,Houston,U.S. Men's Clay Court Championships,10/04/12,ATP250,Outdoor,Clay,1st Round,3,Querrey S.,Prodon E.,103,115,535,490,6,1,6,4,,,,,,,2,0,Completed,1.14,5.5,1.16,4.75,1.22,4,1.17,5.81,1.22,3.75,1.22,6,1.17,4.8
22,Houston,U.S. Men's Clay Court Championships,10/04/12,ATP250,Outdoor,Clay,1st Round,3,Lorenzi P.,Odesnik W.,96,109,563,502,6,7,6,2,6,3,,,,,2,1,Completed,2.1,1.66,2.25,1.6,2.2,1.62,2.35,1.66,2,1.73,2.38,1.77,2.17,1.66
22,Houston,U.S. Men's Clay Court Championships,10/04/12,ATP250,Outdoor,Clay,1st Round,3,Kunitsyn I.,Malisse X.,91,68,601,715,6,4,6,2,,,,,,,2,0,Completed,3,1.36,3.05,1.35,2.75,1.4,3.42,1.36,2.75,1.4,3.49,1.42,3.01,1.37
22,Houston,U.S. Men's Clay Court Championships,10/04/12,ATP250,Outdoor,Clay,1st Round,3,Ito T.,Soeda G.,98,77,560,664,6,4,7,5,,,,,,,2,0,Completed,2.75,1.4,2.6,1.46,2.62,1.44,3.26,1.38,2.38,1.53,3.26,1.53,2.78,1.43
22,Houston,U.S. Men's Clay Court Championships,10/04/12,ATP250,Outdoor,Clay,1st Round,3,Zeballos H.,Ungur A.,117,94,454,584,6,3,6,3,,,,,,,2,0,Completed,1.5,2.5,1.6,2.25,1.57,2.25,1.54,2.65,1.67,2.1,1.67,2.72,1.55,2.38
22,Houston,U.S. Men's Clay Court Championships,11/04/12,ATP250,Outdoor,Clay,1st Round,3,Sweeting R.,Mello R.,143,130,377,424,6,3,7,6,,,,,,,2,0,Completed,1.53,2.37,1.6,2.25,1.67,2.1,1.67,2.33,1.8,1.91,1.8,2.43,1.65,2.18
22,Houston,U.S. Men's Clay Court Championships,11/04/12,ATP250,Outdoor,Clay,1st Round,3,Russell M.,Gimeno-Traver D.,136,101,404,551,2,6,7,5,6,1,,,,,2,1,Completed,2,1.72,1.9,1.85,1.83,1.83,2.21,1.74,1.83,1.83,2.38,1.9,1.93,1.82
22,Houston,U.S. Men's Clay Court Championships,11/04/12,ATP250,Outdoor,Clay,1st Round,3,Reynolds B.,Karlovic I.,116,62,486,770,7,6,2,6,6,3,,,,,2,1,Completed,3.5,1.28,3.3,1.3,3.4,1.3,3.7,1.32,3.25,1.29,3.84,1.35,3.39,1.3
