ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,MaxW,MaxL,AvgW,AvgL
21,Houston,U.S. Men's Clay Court Championships,04/04/16,ATP250,Outdoor,Clay,1st Round,3,Chung H.,Estrella Burgos V.,71,69,726,745,6,4,6,7,6,0,,,,,2,1,Completed,1.72,2,1.8,1.88,1.73,2.1,1.81,2.09,1.81,2.12,1.77,2.02
21,Houston,U.S. Men's Clay Court Championships,04/04/16,ATP250,Outdoor,Clay,1st Round,3,Kudla D.,Zverev M.,59,164,789,346,3,6,7,6,7,6,,,,,2,1,Completed,2.25,1.57,2.25,1.55,2.2,1.62,2.42,1.63,2.42,1.63,2.3,1.59
21,Houston,U.S. Men's Clay Court Championships,05/04/16,ATP250,Outdoor,Clay,1st Round,3,Monaco J.,Melzer G.,148,117,390,496,6,2,6,7,6,4,,,,,2,1,Completed,1.36,3,1.33,2.9,1.4,3,1.33,3.62,1.4,3.62,1.33,3.24
21,Houston,U.S. Men's Clay Court Championships,05/04/16,ATP250,Outdoor,Clay,1st Round,3,Baghdatis M.,Schwartzman D.,39,88,1032,639,6,0,6,0,,,,,,,2,0,Completed,2.5,1.5,2.35,1.52,2.5,1.53,2.71,1.52,2.71,1.57,2.49,1.52
21,Houston,U.S. Men's Clay Court Championships,05/04/16,ATP250,Outdoor,Clay,1st Round,3,Smyczek T.,Kicker N.,125,159,471,357,4,6,7,6,6,4,,,,,2,1,Completed,1.72,2,1.82,1.82,2,1.8,1.8,2.11,2,2.15,1.79,1.99
21,Houston,U.S. Men's Clay Court Championships,05/04/16,ATP250,Outdoor,Clay,1st Round,3,Young D.,Johnson S.,85,33,657,1225,6,4,6,3,,,,,,,2,0,Completed,3,1.36,2.75,1.4,2.75,1.44,3.15,1.4,3.33,1.44,2.99,1.38
21,Houston,U.S. Men's Clay Court Championships,05/04/16,ATP250,Outdoor,Clay,1st Round,3,Paul T.,Lorenzi P.,200,53,262,878,6,2,6,3,,,,,,,2,0,Completed,2.25,1.57,2.25,1.55,2.2,1.57,2.7,1.52,2.7,1.62,2.37,1.56
21,Houston,U.S. Men's Clay Court Championships,05/04/16,ATP250,Outdoor,Clay,1st Round,3,Querrey S.,Opelka R.,35,134,1195,432,6,4,7,6,,,,,,,2,0,Completed,1.14,5.5,1.14,4.8,1.14,5.5,1.15,6.18,1.17,6.18,1.14,5.49
21,Houston,U.S. Men's Clay Court Championships,05/04/16,ATP250,Outdoor,Clay,1st Round,3,Becker B.,Berrer M.,97,109,586,533,7,6,6,0,,,,,,,2,0,Completed,1.53,2.37,1.52,2.3,1.57,2.38,1.67,2.33,1.67,2.5,1.58,2.34
21,Houston,U.S. Men's Clay Court Championships,05/04/16,ATP250,Outdoor,Clay,1st Round,3,Barton M.,Tiafoe F.,270,174,190,317,6,3,6,4,,,,,,,2,0,Completed,2.5,1.5,2.45,1.48,2.38,1.57,2.31,1.68,2.6,1.68,2.4,1.56
21,Houston,U.S. Men's Clay Court Championships,05/04/16,ATP250,Outdoor,Clay,1st Round,3,Lacko L.,Tursunov D.,114,496,522,75,6,1,7,5,,,,,,,2,0,Completed,3,1.36,2.9,1.33,3,1.4,3.39,1.36,3.39,1.44,3.06,1.36
21,Houston,U.S. Men's Clay Court Championships,06/04/16,ATP250,Outdoor,Clay,1st Round,3,Verdasco F.,Berlocq C.,77,154,705,375,6,4,6,3,,,,,,,2,0,Completed,1.5,2.5,1.48,2.45,1.5,2.62,1.55,2.61,1.57,2.65,1.52,2.49
21,Houston,U.S. Men's Clay Court Championships,06/04/16,ATP250,Outdoor,Clay,2nd Round,3,Monaco J.,Paire B.,148,22,390,1596,6,3,7,5,,,,,,,2,0,Completed,1.61,2.2,1.68,2.05,1.67,2.2,1.65,2.39,1.71,2.39,1.66,2.2
21,Houston,U.S. Men's Clay Court Championships,06/04/16,ATP250,Outdoor,Clay,2nd Round,3,Querrey S.,Becker B.,35,97,1195,586,6,3,6,3,,,,,,,2,0,Completed,1.33,3.25,1.28,3.2,1.3,3.5,1.31,3.81,1.36,3.81,1.3,3.45
21,Houston,U.S. Men's Clay Court Championships,07/04/16,ATP250,Outdoor,Clay,2nd Round,3,Isner J.,Kudla D.,15,59,2235,789,7,6,7,6,,,,,,,2,0,Completed,1.22,4,1.18,4,1.25,4,1.24,4.61,1.29,4.63,1.22,4.2
21,Houston,U.S. Men's Clay Court Championships,07/04/16,ATP250,Outdoor,Clay,2nd Round,3,Chung H.,Paul T.,71,200,726,262,5,7,6,2,6,2,,,,,2,1,Completed,1.66,2.1,1.65,2.1,1.73,2.1,1.61,2.47,1.8,2.5,1.67,2.18
