WTA,Location,Tournament,Date,Tier,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,SJW,SJL,MaxW,MaxL,AvgW,AvgL
15,Indian Wells,BNP Paribas Open,09/03/11,Premier,Outdoor,Hard,1st Round,3,Dulko G.,King V.,47,100,1199,674,2,6,6,3,6,2,2,1,Completed,1.3,3.4,1.35,3.05,1.33,3.25,1.3,3.82,1.29,3.25,1.36,3.85,1.31,3.33
15,Indian Wells,BNP Paribas Open,09/03/11,Premier,Outdoor,Hard,1st Round,3,Ondraskova Z.,Davis L.,87,433,771,84,6,2,6,1,,,2,0,Completed,2,1.72,2,1.75,,,2.05,1.85,2,1.73,2.11,1.95,2,1.76
15,Indian Wells,BNP Paribas Open,09/03/11,Premier,Outdoor,Hard,1st Round,3,Sevastova A.,Hercog P.,38,59,1520,1060,7,5,7,6,,,2,0,Completed,1.4,2.75,1.4,2.8,1.44,2.63,1.4,3.18,1.4,2.75,1.45,3.18,1.4,2.84
15,Indian Wells,BNP Paribas Open,09/03/11,Premier,Outdoor,Hard,1st Round,3,Safarova L.,Barrois K.,32,79,1815,846,7,6,6,7,6,0,2,1,Completed,1.25,3.75,1.25,3.75,1.25,3.75,1.3,3.86,1.22,3.75,1.31,4,1.25,3.74
15,Indian Wells,BNP Paribas Open,09/03/11,Premier,Outdoor,Hard,1st Round,3,Kudryavtseva A.,Cirstea S.,71,91,887,720,3,6,6,3,6,3,2,1,Completed,1.83,1.83,1.9,1.85,1.91,1.8,1.94,1.94,2,1.73,2.1,1.94,1.92,1.82
15,Indian Wells,BNP Paribas Open,09/03/11,Premier,Outdoor,Hard,1st Round,3,Cornet A.,Schnyder P.,70,39,890,1420,6,1,6,4,,,2,0,Completed,1.72,2,1.75,2,1.83,1.83,1.74,2.21,1.83,1.83,1.85,2.23,1.74,2.02
15,Indian Wells,BNP Paribas Open,09/03/11,Premier,Outdoor,Hard,1st Round,3,Bacsinszky T.,Govortsova O.,46,80,1230,838,7,5,2,6,6,3,2,1,Completed,1.66,2.1,1.72,2.05,1.67,2.1,1.74,2.2,1.73,2,1.77,2.2,1.69,2.1
15,Indian Wells,BNP Paribas Open,09/03/11,Premier,Outdoor,Hard,1st Round,3,Mattek-Sands B.,Dushevina V.,43,51,1334,1145,6,4,6,4,,,2,0,Completed,1.5,2.5,1.5,2.5,1.5,2.5,1.64,2.39,1.5,2.5,1.64,2.53,1.55,2.41
15,Indian Wells,BNP Paribas Open,09/03/11,Premier,Outdoor,Hard,1st Round,3,Errani S.,Arn G.,40,53,1375,1120,6,6,,,,,0,0,Retired,1.57,2.25,1.6,2.25,1.67,2.1,1.54,2.63,1.53,2.38,1.66,2.63,1.59,2.33
15,Indian Wells,BNP Paribas Open,09/03/11,Premier,Outdoor,Hard,1st Round,3,Vandeweghe C.,Gallovits E.,92,101,716,665,4,6,6,3,6,4,2,1,Completed,1.5,2.5,1.5,2.5,1.5,2.5,1.48,2.84,1.5,2.5,1.56,2.84,1.5,2.53
