WTA,Location,Tournament,Date,Tier,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL
15,Indian Wells,BNP Paribas Open,08/03/2023,WTA1000,Outdoor,Hard,1st Round,3,Sasnovich A.,Kanepi K.,44,51,1174,1052,6,3,7,6,,,2,0,Completed,1.8,2,1.77,2.15,1.83,2.16,1.76,2.07
15,Indian Wells,BNP Paribas Open,08/03/2023,WTA1000,Outdoor,Hard,1st Round,3,Noskova L.,Begu I.,54,38,1003,1288,7,6,6,1,,,2,0,Completed,1.67,2.2,1.74,2.2,1.75,2.22,1.7,2.15
15,Indian Wells,BNP Paribas Open,08/03/2023,WTA1000,Outdoor,Hard,1st Round,3,Rodina E.,Cornet A.,427,68,111,868,6,2,7,5,,,2,0,Completed,5,1.17,5.51,1.18,5.51,1.19,5.1,1.17
15,Indian Wells,BNP Paribas Open,08/03/2023,WTA1000,Outdoor,Hard,1st Round,3,Blinkova A.,Li A.,69,177,866,370,6,1,6,2,,,2,0,Completed,1.67,2.2,1.78,2.14,1.8,2.22,1.74,2.1
15,Indian Wells,BNP Paribas Open,08/03/2023,WTA1000,Outdoor,Hard,1st Round,3,Yastremska D.,Bondar A.,142,79,462,767,6,3,6,4,,,2,0,Completed,1.4,3,1.46,2.91,1.48,3,1.42,2.84
15,Indian Wells,BNP Paribas Open,08/03/2023,WTA1000,Outdoor,Hard,1st Round,3,Fruhvirtova L.,Sherif M.,53,52,1017,1050,0,6,6,2,6,3,2,1,Completed,1.29,3.75,1.32,3.66,1.33,3.8,1.3,3.5
15,Indian Wells,BNP Paribas Open,08/03/2023,WTA1000,Outdoor,Hard,1st Round,3,Bucsa C.,Swan K.,90,156,708,419,7,6,7,5,,,2,0,Completed,2.2,1.67,2.22,1.73,2.22,1.79,2.13,1.7
15,Indian Wells,BNP Paribas Open,08/03/2023,WTA1000,Outdoor,Hard,1st Round,3,Wang Xin.,Mertens E.,67,37,871,1299,6,3,6,1,,,2,0,Completed,4.33,1.22,4.98,1.21,5,1.26,4.51,1.2
15,Indian Wells,BNP Paribas Open,08/03/2023,WTA1000,Outdoor,Hard,1st Round,3,Wang Xiy.,Danilovic O.,59,143,941,461,4,6,6,2,6,3,2,1,Completed,1.67,2.2,1.75,2.18,1.83,2.22,1.71,2.13
15,Indian Wells,BNP Paribas Open,08/03/2023,WTA1000,Outdoor,Hard,1st Round,3,Rogers S.,Volynets K.,41,74,1245,803,6,4,4,6,6,1,2,1,Completed,1.36,3.2,1.44,3,1.44,3.2,1.4,2.94
15,Indian Wells,BNP Paribas Open,08/03/2023,WTA1000,Outdoor,Hard,1st Round,3,Giorgi C.,Rus A.,46,130,1144,520,6,3,6,3,,,2,0,Completed,1.22,4.33,1.27,4.14,1.28,4.5,1.24,4.05
15,Indian Wells,BNP Paribas Open,08/03/2023,WTA1000,Outdoor,Hard,1st Round,3,Tsurenko L.,Zhu L.,95,33,688,1315,6,4,6,3,,,2,0,Completed,2,1.8,2.02,1.88,2.02,1.9,1.95,1.85
15,Indian Wells,BNP Paribas Open,09/03/2023,WTA1000,Outdoor,Hard,1st Round,3,Peterson R.,Kostyuk M.,103,40,659,1270,7,5,5,7,7,5,2,1,Completed,2.3,1.62,2.3,1.68,2.38,1.68,2.27,1.63
15,Indian Wells,BNP Paribas Open,09/03/2023,WTA1000,Outdoor,Hard,1st Round,3,Mandlik E.,Riske-Amritraj A.,155,58,422,953,6,3,5,7,7,6,2,1,Completed,2.63,1.5,2.7,1.52,2.75,1.53,2.61,1.49
15,Indian Wells,BNP Paribas Open,09/03/2023,WTA1000,Outdoor,Hard,1st Round,3,Kalinskaya A.,Parks A.,60,55,923,991,6,1,6,1,,,2,0,Completed,1.4,3,1.48,2.82,1.5,3,1.44,2.77
15,Indian Wells,BNP Paribas Open,09/03/2023,WTA1000,Outdoor,Hard,1st Round,3,Teichmann J.,Krueger A.,39,154,1274,426,6,1,6,4,,,2,0,Completed,1.57,2.38,1.58,2.52,1.64,2.52,1.56,2.41
15,Indian Wells,BNP Paribas Open,09/03/2023,WTA1000,Outdoor,Hard,1st Round,3,Pera B.,Bronzetti L.,43,71,1200,849,7,5,4,6,6,3,2,1,Completed,1.44,2.75,1.48,2.83,1.49,2.9,1.45,2.72
