WTA,Location,Tournament,Date,Tier,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,SJW,SJL,MaxW,MaxL,AvgW,AvgL
55,Istanbul,Sony Ericsson Championships,23/10/12,SEC,Indoor,Hard,Round Robin,3,Radwanska A.,Kvitova P.,4,6,7095,5215,6,3,6,2,,,2,0,Completed,2.37,1.57,2.35,1.55,2.25,1.57,2.34,1.68,2.38,1.57,2.5,1.74,2.31,1.59
55,Istanbul,Sony Ericsson Championships,23/10/12,SEC,Indoor,Hard,Round Robin,3,Williams S.,Kerber A.,3,5,7900,5470,6,4,6,1,,,2,0,Completed,1.12,6,1.14,5.2,1.17,4.5,1.19,5.54,1.13,6,1.2,6.1,1.14,5.52
55,Istanbul,Sony Ericsson Championships,23/10/12,SEC,Indoor,Hard,Round Robin,3,Sharapova M.,Errani S.,2,7,9115,4855,6,3,6,2,,,2,0,Completed,1.08,8,1.1,6.25,1.08,7,1.11,8.04,1.1,7,1.13,9,1.09,7.4
55,Istanbul,Sony Ericsson Championships,24/10/12,SEC,Indoor,Hard,Round Robin,3,Williams S.,Li N.,3,8,7900,4726,7,6,6,3,,,2,0,Completed,1.12,6.5,1.13,5.45,1.1,6.5,1.13,7.71,1.13,6,1.15,7.71,1.12,6.09
55,Istanbul,Sony Ericsson Championships,24/10/12,SEC,Indoor,Hard,Round Robin,3,Azarenka V.,Kerber A.,1,5,10190,5470,6,7,7,6,6,4,2,1,Completed,1.14,6,1.13,5.45,1.14,5.5,1.12,7.45,1.14,5.5,1.15,7.5,1.12,5.95
55,Istanbul,Sony Ericsson Championships,24/10/12,SEC,Indoor,Hard,Round Robin,3,Sharapova M.,Radwanska A.,2,4,9115,7095,5,7,7,5,7,5,2,1,Completed,1.36,3.2,1.37,2.95,1.4,2.75,1.46,2.93,1.36,3,1.46,3.35,1.38,3.01
55,Istanbul,Sony Ericsson Championships,25/10/12,SEC,Indoor,Hard,Round Robin,3,Li N.,Kerber A.,8,5,4726,5470,6,4,6,3,,,2,0,Completed,1.57,2.37,1.62,2.2,1.67,2.2,1.68,2.34,1.67,2.2,1.71,2.68,1.62,2.26
55,Istanbul,Sony Ericsson Championships,25/10/12,SEC,Indoor,Hard,Round Robin,3,Williams S.,Azarenka V.,3,1,7900,10190,6,4,6,4,,,2,0,Completed,1.53,2.5,1.5,2.45,1.53,2.5,1.66,2.37,1.53,2.5,1.66,2.7,1.55,2.44
55,Istanbul,Sony Ericsson Championships,25/10/12,SEC,Indoor,Hard,Round Robin,3,Errani S.,Stosur S.,7,9,4855,4120,6,3,2,6,6,0,2,1,Completed,2.75,1.44,2.65,1.45,3,1.4,3.01,1.44,2.75,1.44,3.05,1.5,2.76,1.44
55,Istanbul,Sony Ericsson Championships,26/10/12,SEC,Indoor,Hard,Round Robin,3,Sharapova M.,Stosur S.,2,9,9115,4120,6,0,6,3,,,2,0,Completed,1.25,4,1.25,3.65,1.22,4,1.22,4.85,1.22,4,1.28,4.85,1.24,4.01
55,Istanbul,Sony Ericsson Championships,26/10/12,SEC,Indoor,Hard,Round Robin,3,Radwanska A.,Errani S.,4,7,7095,4855,6,7,7,5,6,4,2,1,Completed,1.2,4.5,1.2,4.25,1.2,4.5,1.25,4.5,1.2,4.5,1.25,5.3,1.21,4.35
55,Istanbul,Sony Ericsson Championships,26/10/12,SEC,Indoor,Hard,Round Robin,3,Azarenka V.,Li N.,1,8,10190,4726,7,6,6,3,,,2,0,Completed,1.2,4.5,1.23,3.9,1.2,4.5,1.19,5.33,1.25,3.75,1.27,5.33,1.21,4.34
55,Istanbul,Sony Ericsson Championships,27/10/12,SEC,Indoor,Hard,Semifinals,3,Williams S.,Radwanska A.,3,4,7900,7095,6,2,6,1,,,2,0,Completed,1.06,10,1.1,6.25,1.08,7.5,1.1,9.35,1.08,7.5,1.1,11,1.07,8.55
55,Istanbul,Sony Ericsson Championships,27/10/12,SEC,Indoor,Hard,Semifinals,3,Sharapova M.,Azarenka V.,2,1,9115,10190,6,4,6,2,,,2,0,Completed,2.62,1.5,2.65,1.45,2.62,1.5,2.74,1.53,2.75,1.44,2.82,1.55,2.62,1.48
55,Istanbul,Sony Ericsson Championships,28/10/12,SEC,Indoor,Hard,The Final,3,Williams S.,Sharapova M.,3,2,7900,9115,6,4,6,3,,,2,0,Completed,1.22,4.33,1.22,4,1.22,4.33,1.27,4.35,1.22,4,1.3,4.5,1.24,4.07
