ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,MaxW,MaxL,AvgW,AvgL
27,Istanbul,Istanbul Open,27/04/15,ATP250,Outdoor,Clay,1st Round,3,Golubev A.,Basilashvili N.,117,134,475,403,6,1,6,3,,,,,,,2,0,Completed,1.57,2.25,1.6,2.3,1.67,2.1,1.59,2.5,1.67,2.6,1.58,2.33
27,Istanbul,Istanbul Open,27/04/15,ATP250,Outdoor,Clay,1st Round,3,Bellucci T.,Youzhny M.,74,58,672,835,7,6,6,3,,,,,,,2,0,Completed,1.44,2.62,1.45,2.7,1.5,2.5,1.5,2.77,1.55,2.85,1.48,2.59
27,Istanbul,Istanbul Open,28/04/15,ATP250,Outdoor,Clay,1st Round,3,Rublev A.,Dzumhur D.,292,86,166,598,6,3,6,3,,,,,,,2,0,Completed,2.1,1.66,2.1,1.7,2.1,1.67,2.16,1.76,2.25,1.8,2.12,1.69
27,Istanbul,Istanbul Open,28/04/15,ATP250,Outdoor,Clay,1st Round,3,Kukushkin M.,Nedovyesov A.,56,121,867,464,6,3,6,4,,,,,,,2,0,Completed,1.53,2.37,1.6,2.3,1.5,2.5,1.65,2.37,1.65,2.62,1.55,2.41
27,Istanbul,Istanbul Open,28/04/15,ATP250,Outdoor,Clay,1st Round,3,Schwartzman D.,Kavcic B.,63,77,765,652,6,2,6,1,,,,,,,2,0,Completed,1.72,2,1.82,1.9,1.73,2,1.91,1.98,1.91,2.1,1.78,2
27,Istanbul,Istanbul Open,28/04/15,ATP250,Outdoor,Clay,1st Round,3,Istomin D.,Paire B.,66,73,750,672,6,3,6,4,,,,,,,2,0,Completed,2.62,1.44,2.7,1.45,2.62,1.44,2.62,1.54,2.75,1.54,2.63,1.47
27,Istanbul,Istanbul Open,28/04/15,ATP250,Outdoor,Clay,1st Round,3,Melzer J.,Darcis S.,83,76,605,664,5,2,,,,,,,,,0,0,Retired,2.25,1.57,2.15,1.68,2.38,1.53,2.33,1.67,2.38,1.71,2.2,1.65
27,Istanbul,Istanbul Open,28/04/15,ATP250,Outdoor,Clay,1st Round,3,Gimeno-Traver D.,Ilkel C.,62,422,783,99,6,1,6,4,,,,,,,2,0,Completed,1.03,15,1.02,11.5,1.03,10,1.03,15.57,1.05,16,1.02,12.6
27,Istanbul,Istanbul Open,28/04/15,ATP250,Outdoor,Clay,1st Round,3,Lajovic D.,Kokkinakis T.,79,103,646,516,6,4,7,5,,,,,,,2,0,Completed,1.66,2.1,1.68,2.15,1.67,2.1,1.9,1.99,1.93,2.15,1.73,2.07
27,Istanbul,Istanbul Open,28/04/15,ATP250,Outdoor,Clay,1st Round,3,Gabashvili T.,Kuznetsov An.,100,94,537,558,7,6,6,4,,,,,,,2,0,Completed,1.66,2.1,1.7,2.1,1.67,2.1,1.71,2.24,1.74,2.25,1.68,2.15
