WTA,Location,Tournament,Date,Tier,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,MaxW,MaxL,AvgW,AvgL
20,Istanbul,Istanbul Cup,23/04/18,International,Outdoor,Clay,1st Round,3,Kuznetsova S.,Wang Q.,28,64,1613,925,6,3,6,3,,,2,0,Completed,1.57,2.25,1.63,2.14,,,1.67,2.32,1.71,2.35,1.65,2.23
20,Istanbul,Istanbul Cup,23/04/18,International,Outdoor,Clay,1st Round,3,Mchale C.,Barthel M.,88,65,730,904,7,6,4,6,6,3,2,1,Completed,2.25,1.57,2.26,1.57,,,2.35,1.66,2.45,1.68,2.31,1.61
20,Istanbul,Istanbul Cup,24/04/18,International,Outdoor,Clay,1st Round,3,Begu I.,Jakupovic D.,37,130,1270,498,7,5,6,0,,,2,0,Completed,1.5,2.5,1.53,2.35,,,1.55,2.61,1.6,2.61,1.55,2.46
20,Istanbul,Istanbul Cup,24/04/18,International,Outdoor,Clay,1st Round,3,Putintseva Y.,Cirstea S.,83,34,760,1355,0,6,6,1,6,0,2,1,Completed,1.9,1.8,1.92,1.79,,,2.01,1.88,2.11,1.91,1.98,1.82
20,Istanbul,Istanbul Cup,24/04/18,International,Outdoor,Clay,1st Round,3,Tomova V.,Ivakhnenko V.,165,172,367,353,7,5,6,4,,,2,0,Completed,2.37,1.53,2.3,1.55,,,2.43,1.62,2.5,1.67,2.36,1.59
20,Istanbul,Istanbul Cup,24/04/18,International,Outdoor,Clay,1st Round,3,Parmentier P.,Aksu A.,122,226,544,243,6,2,6,2,,,2,0,Completed,1.28,3.5,1.27,3.4,,,1.34,3.55,1.39,3.76,1.3,3.46
20,Istanbul,Istanbul Cup,24/04/18,International,Outdoor,Clay,1st Round,3,Kovinic D.,Kalinskaya A.,121,145,550,404,6,3,6,3,,,2,0,Completed,1.8,1.9,1.88,1.83,,,1.92,1.97,2,2.02,1.89,1.91
20,Istanbul,Istanbul Cup,24/04/18,International,Outdoor,Clay,1st Round,3,Rus A.,Zhang S.,123,30,542,1500,6,2,6,3,,,2,0,Completed,1.83,1.83,1.79,1.92,,,1.83,2.07,2,2.07,1.85,1.95
20,Istanbul,Istanbul Cup,24/04/18,International,Outdoor,Clay,1st Round,3,Vekic D.,Radwanska A.,54,29,1060,1525,6,1,2,0,,,1,0,Retired,2.62,1.44,2.5,1.46,,,2.65,1.53,2.7,1.55,2.59,1.5
20,Istanbul,Istanbul Cup,24/04/18,International,Outdoor,Clay,1st Round,3,Hercog P.,Sabalenka A.,75,47,789,1128,6,2,7,5,,,2,0,Completed,2.37,1.53,2.35,1.53,,,2.55,1.57,2.64,1.6,2.42,1.56
20,Istanbul,Istanbul Cup,24/04/18,International,Outdoor,Clay,1st Round,3,Sakkari M.,Buyukakcay C.,48,164,1117,369,7,5,6,2,,,2,0,Completed,1.4,2.75,1.4,2.75,,,1.45,2.95,1.47,3.1,1.42,2.84
20,Istanbul,Istanbul Cup,24/04/18,International,Outdoor,Clay,1st Round,3,Wozniacki C.,Alexandrova E.,2,101,6790,649,6,2,6,2,,,2,0,Completed,1.08,8,1.08,6.6,,,1.1,8.33,1.11,9,1.08,7.72
20,Istanbul,Istanbul Cup,25/04/18,International,Outdoor,Clay,1st Round,3,Errani S.,Flipkens K.,93,70,715,846,6,3,6,4,,,2,0,Completed,1.53,2.37,1.51,2.39,,,1.56,2.59,1.62,2.61,1.55,2.46
20,Istanbul,Istanbul Cup,25/04/18,International,Outdoor,Clay,1st Round,3,Krunic A.,Makarova E.,53,32,1075,1380,1,6,6,1,6,4,2,1,Completed,2,1.72,1.95,1.76,,,2.03,1.86,2.3,1.92,2.02,1.79
20,Istanbul,Istanbul Cup,25/04/18,International,Outdoor,Clay,1st Round,3,Tomljanovic A.,Van Uytvanck A.,95,49,700,1116,6,3,6,3,,,2,0,Completed,2.62,1.44,2.45,1.49,,,2.78,1.5,2.78,1.63,2.49,1.54
20,Istanbul,Istanbul Cup,25/04/18,International,Outdoor,Clay,1st Round,3,Bondarenko K.,Oz I.,78,612,775,40,4,6,6,4,6,0,2,1,Completed,1.06,9,1.07,7,,,1.09,8.83,1.1,9.25,1.07,8.2
20,Istanbul,Istanbul Cup,25/04/18,International,Outdoor,Clay,2nd Round,3,Begu I.,Mchale C.,37,88,1270,730,6,4,6,4,,,2,0,Completed,1.4,2.75,1.42,2.65,,,1.48,2.86,1.52,2.95,1.45,2.76
20,Istanbul,Istanbul Cup,25/04/18,International,Outdoor,Clay,2nd Round,3,Kuznetsova S.,Tomova V.,28,165,1613,367,7,5,4,6,6,1,2,1,Completed,1.3,3.4,1.3,3.2,,,1.35,3.54,1.37,3.75,1.31,3.48
