WTA,Location,Tournament,Date,Tier,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL
19,Istanbul,Istanbul Cup,22/04/2019,International,Outdoor,Clay,1st Round,3,Peterson R.,Ozgen P.,65,237,922,240,6,1,2,6,6,0,2,1,Completed,1.1,7,1.11,8.04,1.12,8.69,1.09,7.16
19,Istanbul,Istanbul Cup,22/04/2019,International,Outdoor,Clay,1st Round,3,Gasparyan M.,Larsson J.,72,92,796,660,7,6,4,6,6,3,2,1,Completed,1.44,2.62,1.47,2.81,1.52,2.81,1.47,2.62
19,Istanbul,Istanbul Cup,22/04/2019,International,Outdoor,Clay,1st Round,3,Martic P.,Zidansek T.,40,68,1245,831,3,6,6,1,6,3,2,1,Completed,1.4,2.75,1.43,3.01,1.45,3.05,1.41,2.85
19,Istanbul,Istanbul Cup,23/04/2019,International,Outdoor,Clay,1st Round,3,Cirstea S.,Bara I.,97,186,631,317,2,6,6,0,6,0,2,1,Completed,1.44,2.62,1.5,2.76,1.52,2.76,1.47,2.63
19,Istanbul,Istanbul Cup,23/04/2019,International,Outdoor,Clay,1st Round,3,Rybakina E.,Siniakova K.,161,41,368,1237,3,6,6,2,6,4,2,1,Completed,2.75,1.4,2.82,1.48,2.86,1.5,2.7,1.45
19,Istanbul,Istanbul Cup,23/04/2019,International,Outdoor,Clay,1st Round,3,Babos T.,Jorovic I.,142,104,413,608,6,4,6,4,,,2,0,Completed,2.62,1.44,2.65,1.53,2.8,1.53,2.64,1.47
19,Istanbul,Istanbul Cup,23/04/2019,International,Outdoor,Clay,1st Round,3,Buzarnescu M.,Glushko J.,30,129,1650,457,6,4,6,4,,,2,0,Completed,1.18,4.5,1.19,5.2,1.21,5.2,1.18,4.79
19,Istanbul,Istanbul Cup,23/04/2019,International,Outdoor,Clay,1st Round,3,Strycova B.,Kuzmova V.,47,44,1166,1195,5,7,7,5,6,4,2,1,Completed,2,1.72,2.26,1.7,2.26,1.85,2.12,1.7
19,Istanbul,Istanbul Cup,23/04/2019,International,Outdoor,Clay,1st Round,3,Arruabarrena L.,Suarez Navarro C.,117,27,525,1718,6,4,7,5,,,2,0,Completed,3.25,1.33,3.28,1.38,3.4,1.4,3.18,1.34
19,Istanbul,Istanbul Cup,23/04/2019,International,Outdoor,Clay,1st Round,3,Kuznetsova S.,Buyukakcay C.,98,256,621,211,6,3,7,6,,,2,0,Completed,1.14,5.5,1.21,5.01,1.21,5.6,1.18,4.74
19,Istanbul,Istanbul Cup,23/04/2019,International,Outdoor,Clay,1st Round,3,Kudermetova V.,Sakkari M.,76,43,782,1197,6,3,6,4,,,2,0,Completed,2.25,1.57,2.19,1.75,2.33,1.75,2.18,1.67
19,Istanbul,Istanbul Cup,23/04/2019,International,Outdoor,Clay,1st Round,3,Parmentier P.,Rodina E.,52,69,1059,820,6,1,6,1,,,2,0,Completed,1.4,2.75,1.45,2.96,1.47,2.96,1.43,2.77
19,Istanbul,Istanbul Cup,24/04/2019,International,Outdoor,Clay,1st Round,3,Bogdan A.,Flipkens K.,150,59,402,1010,6,1,1,0,,,1,0,Retired,1.72,2,1.85,2.05,1.9,2.06,1.81,1.97
