WTA,Location,Tournament,Date,Tier,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,MaxW,MaxL,AvgW,AvgL
18,Katowice,Katowice Open,04/04/16,International,Indoor,Clay,1st Round,3,Kulichkova E.,Lapko V.,109,658,614,31,7,6,6,0,,,2,0,Completed,1.28,3.5,1.3,3,1.3,3.5,1.37,3.33,1.38,3.75,1.31,3.33
18,Katowice,Katowice Open,04/04/16,International,Indoor,Clay,1st Round,3,Mitu A.,Oprandi R.,110,134,601,432,4,6,6,2,7,5,2,1,Completed,1.5,2.5,1.45,2.55,1.5,2.62,1.56,2.57,1.56,2.64,1.5,2.54
18,Katowice,Katowice Open,04/04/16,International,Indoor,Clay,1st Round,3,Voegele S.,Tsurenko L.,117,42,533,1194,6,4,6,0,,,2,0,Completed,2.62,1.44,2.65,1.42,2.62,1.5,2.93,1.45,2.95,1.5,2.72,1.44
18,Katowice,Katowice Open,04/04/16,International,Indoor,Clay,1st Round,3,Pliskova Kr.,Watson H.,88,55,761,1041,6,2,3,6,6,4,2,1,Completed,2.25,1.57,2.35,1.52,2.62,1.5,2.54,1.57,2.62,1.62,2.43,1.54
18,Katowice,Katowice Open,04/04/16,International,Indoor,Clay,1st Round,3,Flipkens K.,Vekic D.,59,92,1015,738,6,1,6,4,,,2,0,Completed,1.5,2.5,1.48,2.45,1.5,2.62,1.57,2.54,1.6,2.62,1.53,2.46
18,Katowice,Katowice Open,05/04/16,International,Indoor,Clay,1st Round,3,Broady N.,Knapp K.,78,72,812,898,6,7,6,4,6,4,2,1,Completed,1.53,2.37,1.58,2.2,1.57,2.38,1.7,2.27,1.7,2.55,1.61,2.27
18,Katowice,Katowice Open,05/04/16,International,Indoor,Clay,1st Round,3,Cornet A.,Shinikova I.,45,234,1175,199,6,2,6,7,6,3,2,1,Completed,1.22,4,1.2,3.9,1.25,4,1.29,3.9,1.3,4.2,1.25,3.86
18,Katowice,Katowice Open,05/04/16,International,Indoor,Clay,1st Round,3,Alexandrova E.,Koukalova K.,264,115,170,578,6,0,7,6,,,2,0,Completed,1.83,1.83,1.8,1.9,1.91,1.91,1.81,2.09,1.93,2.1,1.81,1.98
18,Katowice,Katowice Open,05/04/16,International,Indoor,Clay,1st Round,3,Giorgi C.,Sasnovich A.,48,100,1145,699,6,4,6,4,,,2,0,Completed,1.36,3,1.33,2.9,1.36,3.25,1.42,3.09,1.42,3.25,1.37,3.01
18,Katowice,Katowice Open,05/04/16,International,Indoor,Clay,1st Round,3,Schiavone F.,Strakhova V.,101,236,691,198,6,4,6,3,,,2,0,Completed,1.16,4.5,1.15,4.75,1.17,5,1.2,5.18,1.2,5.25,1.17,4.83
