ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,CBW,CBL,EXW,EXL,PSW,PSL,UBW,UBL
44,Kitzbuhel,Austrian Open,23/07/07,International Gold,Outdoor,Clay,1st Round,3,Horna L.,Chardy J.,91,255,459,151,7,5,6,3,,,,,,,2,0,Completed,,,1.3,3.4,1.26,3.59,1.299,4.05,1.25,3.8
44,Kitzbuhel,Austrian Open,23/07/07,International Gold,Outdoor,Clay,1st Round,3,Capdeville P.,Armando H.,123,179,347,227,6,0,6,3,,,,,,,2,0,Completed,1.44,2.62,1.5,2.55,1.42,2.75,1.538,2.76,1.54,2.4
44,Kitzbuhel,Austrian Open,23/07/07,International Gold,Outdoor,Clay,1st Round,3,Patience O.,Hajek J.,113,192,379,213,6,3,6,2,,,,,,,2,0,Completed,1.5,2.5,1.48,2.6,1.48,2.53,1.552,2.71,1.5,2.52
44,Kitzbuhel,Austrian Open,23/07/07,International Gold,Outdoor,Clay,1st Round,3,Rochus C.,Guccione A.,173,92,235,459,7,6,7,6,,,,,,,2,0,Completed,1.72,2,1.65,2.2,1.75,2.05,1.735,2.26,1.72,2.05
44,Kitzbuhel,Austrian Open,23/07/07,International Gold,Outdoor,Clay,1st Round,3,Hartfield D.,Fischer M.,88,283,472,129,5,7,6,4,6,2,,,,,2,1,Completed,1.16,4.5,,,1.2,4.25,1.196,5.6,1.17,4.8
44,Kitzbuhel,Austrian Open,23/07/07,International Gold,Outdoor,Clay,1st Round,3,Eitzinger R.,Mirnyi M.,406,89,78,468,6,4,3,6,7,6,,,,,2,1,Completed,2.87,1.38,,,3.1,1.35,3.25,1.408,2.78,1.42
44,Kitzbuhel,Austrian Open,24/07/07,International Gold,Outdoor,Clay,1st Round,3,Seppi A.,Lopez F.,86,63,477,581,5,7,6,0,7,6,,,,,2,1,Completed,2.25,1.57,2.4,1.55,2.3,1.6,2.27,1.73,2.18,1.65
44,Kitzbuhel,Austrian Open,24/07/07,International Gold,Outdoor,Clay,1st Round,3,Fognini F.,Brzezicki J.P.,155,110,279,393,6,4,6,3,,,,,,,2,0,Completed,1.72,2,1.77,2,1.85,1.9,1.826,2.11,1.8,1.97
44,Kitzbuhel,Austrian Open,24/07/07,International Gold,Outdoor,Clay,1st Round,3,Navarro-Pastor I.,Economidis K.,94,145,454,292,6,4,6,2,,,,,,,2,0,Completed,2.37,1.53,,,,,2.28,1.725,,
44,Kitzbuhel,Austrian Open,24/07/07,International Gold,Outdoor,Clay,1st Round,3,Koellerer D.,Koubek S.,36,66,840,565,6,4,6,0,,,,,,,2,0,Completed,4.5,1.16,4.1,1.22,4.25,1.2,4.4,1.27,3.8,1.25
44,Kitzbuhel,Austrian Open,24/07/07,International Gold,Outdoor,Clay,1st Round,3,Peya A.,Marach O.,137,124,306,345,6,3,7,6,,,,,,,2,0,Completed,3,1.36,2.85,1.4,2.85,1.4,3.31,1.398,2.85,1.4
44,Kitzbuhel,Austrian Open,25/07/07,International Gold,Outdoor,Clay,1st Round,3,Guzman J.P.,Luczak P.,103,97,409,437,6,3,6,4,,,,,,,2,0,Completed,2.75,1.39,2.7,1.45,2.85,1.4,3.09,1.437,2.7,1.43
44,Kitzbuhel,Austrian Open,25/07/07,International Gold,Outdoor,Clay,1st Round,3,Zabaleta M.,Luzzi F.,82,111,490,385,7,6,6,2,,,,,,,2,0,Completed,1.38,2.87,1.4,2.85,1.4,2.85,1.433,3.11,1.4,2.85
44,Kitzbuhel,Austrian Open,25/07/07,International Gold,Outdoor,Clay,1st Round,3,Vassallo-Arguello M.,Eysseric J.,85,838,479,14,6,2,6,3,,,,,,,2,0,Completed,1.22,4,1.25,3.9,1.21,4.06,1.299,4.05,,
44,Kitzbuhel,Austrian Open,25/07/07,International Gold,Outdoor,Clay,1st Round,3,Recouderc L.,Gulbis E.,240,87,158,477,5,7,6,3,6,4,,,,,2,1,Completed,2.75,1.4,2.7,1.45,,,2.92,1.472,2.85,1.4
44,Kitzbuhel,Austrian Open,25/07/07,International Gold,Outdoor,Clay,1st Round,3,Roitman S.,Garcia-Lopez G.,78,81,518,498,2,6,6,1,6,1,,,,,2,1,Completed,2.2,1.61,2.15,1.67,2.15,1.65,2.34,1.694,2.1,1.7
44,Kitzbuhel,Austrian Open,25/07/07,International Gold,Outdoor,Clay,2nd Round,3,Hartfield D.,Hernandez O.,88,51,472,680,5,7,6,0,6,3,,,,,2,1,Completed,2,1.72,1.93,1.83,1.95,1.8,1.971,1.935,2.03,1.75
44,Kitzbuhel,Austrian Open,25/07/07,International Gold,Outdoor,Clay,2nd Round,3,Calleri A.,Eitzinger R.,29,406,935,78,6,3,7,6,,,,,,,2,0,Completed,1.22,4,1.28,3.55,1.28,3.46,1.298,4.06,,
44,Kitzbuhel,Austrian Open,25/07/07,International Gold,Outdoor,Clay,2nd Round,3,Fognini F.,Eschauer W.,155,53,279,654,4,6,6,4,7,5,,,,,2,1,Completed,2.75,1.39,2.6,1.48,2.65,1.45,2.91,1.474,2.52,1.5
44,Kitzbuhel,Austrian Open,25/07/07,International Gold,Outdoor,Clay,2nd Round,3,Almagro N.,Navarro-Pastor I.,34,94,890,454,7,5,6,3,,,,,,,2,0,Completed,1.12,5.5,1.16,5,1.17,4.67,1.235,4.85,1.16,5
44,Kitzbuhel,Austrian Open,25/07/07,International Gold,Outdoor,Clay,2nd Round,3,Seppi A.,Ferrero J.C.,86,17,477,1525,7,6,4,6,6,2,,,,,2,1,Completed,2.62,1.44,2.62,1.47,2.6,1.46,2.6,1.588,2.67,1.45
44,Kitzbuhel,Austrian Open,25/07/07,International Gold,Outdoor,Clay,2nd Round,3,Peya A.,Youzhny M.,137,13,306,1890,7,5,6,0,,,,,,,2,0,Completed,5,1.14,4.65,1.18,5.2,1.15,5.85,1.187,4.5,1.19
44,Kitzbuhel,Austrian Open,25/07/07,International Gold,Outdoor,Clay,2nd Round,3,Mayer F.,Vassallo-Arguello M.,37,85,831,479,6,1,6,3,,,,,,,2,0,Completed,1.53,2.37,,,1.7,2.1,1.654,2.43,,
44,Kitzbuhel,Austrian Open,25/07/07,International Gold,Outdoor,Clay,2nd Round,3,Verdasco F.,Horna L.,41,91,750,459,6,1,6,4,,,,,,,2,0,Completed,1.44,2.62,1.48,2.6,1.45,2.6,1.524,2.78,1.55,2.38
44,Kitzbuhel,Austrian Open,25/07/07,International Gold,Outdoor,Clay,2nd Round,3,Andreev I.,Patience O.,49,113,710,379,7,6,6,2,,,,,,,2,0,Completed,1.22,4,1.25,3.85,1.26,3.59,1.333,3.7,1.25,3.8
44,Kitzbuhel,Austrian Open,25/07/07,International Gold,Outdoor,Clay,2nd Round,3,Robredo T.,Guzman J.P.,7,103,2085,409,6,1,6,4,,,,,,,2,0,Completed,1.14,5,,,1.17,4.67,1.167,6.4,,
44,Kitzbuhel,Austrian Open,25/07/07,International Gold,Outdoor,Clay,2nd Round,3,Kohlschreiber P.,Capdeville P.,36,123,840,347,6,4,6,1,,,,,,,2,0,Completed,1.28,3.5,1.3,3.4,1.28,3.46,1.383,3.41,1.32,3.25
44,Kitzbuhel,Austrian Open,25/07/07,International Gold,Outdoor,Clay,2nd Round,3,Lapentti N.,Recouderc L.,68,240,552,158,7,6,6,2,,,,,,,2,0,Completed,1.44,2.62,,,,,1.333,3.7,,
