ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,SJW,SJL,MaxW,MaxL,AvgW,AvgL
45,Kitzbuhel,Bet-At-Home Cup,22/07/12,ATP250,Outdoor,Clay,1st Round,3,Rosol L.,Gabashvili T.,97,155,553,346,7,6,6,1,,,,,,,2,0,Completed,1.3,3.4,1.3,3.3,1.4,2.75,1.38,3.3,1.36,2.88,1.4,3.5,1.34,3.16
45,Kitzbuhel,Bet-At-Home Cup,22/07/12,ATP250,Outdoor,Clay,1st Round,3,Odesnik W.,Souza J.,148,126,368,433,5,7,6,4,6,3,,,,,2,1,Completed,1.53,2.37,1.55,2.35,1.62,2.2,1.63,2.4,1.62,2.2,1.67,2.5,1.59,2.3
45,Kitzbuhel,Bet-At-Home Cup,23/07/12,ATP250,Outdoor,Clay,1st Round,3,Veic A.,Kavcic B.,137,77,396,632,6,1,6,2,,,,,,,2,0,Completed,2,1.72,2,1.75,2,1.73,2.12,1.79,2,1.73,2.18,1.83,2.04,1.74
45,Kitzbuhel,Bet-At-Home Cup,23/07/12,ATP250,Outdoor,Clay,1st Round,3,Volandri F.,Giannessi A.,99,135,548,398,1,6,6,4,6,3,,,,,2,1,Completed,1.38,2.87,1.45,2.65,1.5,2.5,1.5,2.76,1.44,2.63,1.5,3,1.43,2.73
45,Kitzbuhel,Bet-At-Home Cup,23/07/12,ATP250,Outdoor,Clay,1st Round,3,Balazs A.,Fischer M.,261,224,182,221,6,3,1,6,7,6,,,,,2,1,Completed,2.75,1.4,2.7,1.43,2.62,1.44,2.71,1.52,2.63,1.44,2.86,1.53,2.63,1.46
45,Kitzbuhel,Bet-At-Home Cup,23/07/12,ATP250,Outdoor,Clay,1st Round,3,Klizan M.,Thiem D.,62,442,773,79,6,1,3,6,7,5,,,,,2,1,Completed,1.14,5.5,1.15,5,1.14,5,1.19,5.3,1.17,4.5,1.25,5.5,1.17,4.89
45,Kitzbuhel,Bet-At-Home Cup,23/07/12,ATP250,Outdoor,Clay,1st Round,3,Zopp J.,Garcia-Lopez G.,80,71,622,651,6,1,6,3,,,,,,,2,0,Completed,2.75,1.4,2.65,1.45,2.75,1.4,2.63,1.54,2.75,1.4,2.75,1.56,2.63,1.46
45,Kitzbuhel,Bet-At-Home Cup,24/07/12,ATP250,Outdoor,Clay,1st Round,3,Cervenak P.,Ramirez-Hidalgo R.,204,90,246,578,4,6,7,6,6,3,,,,,2,1,Completed,1.57,2.25,1.6,2.25,1.57,2.25,1.7,2.26,1.67,2.1,1.7,2.4,1.62,2.24
45,Kitzbuhel,Bet-At-Home Cup,24/07/12,ATP250,Outdoor,Clay,1st Round,3,Dutra Silva R.,Hajek J.,107,84,531,590,4,1,,,,,,,,,0,0,Retired,3.25,1.33,3,1.35,2.62,1.44,2.76,1.5,3,1.33,3.3,1.5,2.99,1.37
45,Kitzbuhel,Bet-At-Home Cup,24/07/12,ATP250,Outdoor,Clay,1st Round,3,Oswald P.,Brands D.,242,119,194,463,4,6,6,2,6,3,,,,,2,1,Completed,2.75,1.4,2.65,1.45,3,1.36,3.46,1.35,2.63,1.44,3.46,1.49,2.86,1.4
