ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL
18,Kitzbuhel,Generali Open,08/09/2020,ATP250,Outdoor,Clay,1st Round,3,Hurkacz H.,Sousa J.,33,68,1353,776,6,3,7,5,,,,,,,2,0,Completed,1.53,2.37,1.54,2.62,1.58,2.7,1.52,2.49
18,Kitzbuhel,Generali Open,08/09/2020,ATP250,Outdoor,Clay,1st Round,3,Ofner S.,Albot R.,159,70,341,772,6,7,6,4,7,6,,,,,2,1,Completed,1.5,2.5,1.49,2.81,1.54,2.85,1.46,2.69
18,Kitzbuhel,Generali Open,08/09/2020,ATP250,Outdoor,Clay,1st Round,3,Kecmanovic M.,Nishikori K.,47,34,1028,1345,4,6,6,4,6,2,,,,,2,1,Completed,2,1.75,2.35,1.66,2.4,1.8,2.17,1.68
18,Kitzbuhel,Generali Open,08/09/2020,ATP250,Outdoor,Clay,1st Round,3,Pella G.,Nishioka Y.,36,49,1310,1007,6,3,6,0,,,,,,,2,0,Completed,1.53,2.37,1.59,2.5,1.62,2.55,1.53,2.46
18,Kitzbuhel,Generali Open,09/09/2020,ATP250,Outdoor,Clay,1st Round,3,Hanfmann Y.,Bublik A.,118,54,486,965,7,5,6,2,,,,,,,2,0,Completed,1.33,3.25,1.29,3.92,1.35,4.25,1.28,3.62
18,Kitzbuhel,Generali Open,09/09/2020,ATP250,Outdoor,Clay,1st Round,3,Huesler M.A.,Ruusuvuori E.,303,92,139,648,3,6,6,4,7,6,,,,,2,1,Completed,2.37,1.53,2.52,1.58,2.52,1.67,2.39,1.56
18,Kitzbuhel,Generali Open,09/09/2020,ATP250,Outdoor,Clay,1st Round,3,Sinner J.,Kohlschreiber P.,74,75,733,729,6,3,6,2,,,,,,,2,0,Completed,1.9,1.9,1.85,2.05,1.92,2.05,1.84,1.94
18,Kitzbuhel,Generali Open,09/09/2020,ATP250,Outdoor,Clay,1st Round,3,Delbonis F.,Londero J.I.,79,62,711,832,6,4,6,0,,,,,,,2,0,Completed,2.25,1.57,2.17,1.76,2.28,1.76,2.15,1.68
18,Kitzbuhel,Generali Open,09/09/2020,ATP250,Outdoor,Clay,1st Round,3,Thompson J.,Millman J.,63,43,829,1096,6,3,4,6,7,6,,,,,2,1,Completed,3,1.36,3.19,1.4,3.2,1.44,2.99,1.38
18,Kitzbuhel,Generali Open,09/09/2020,ATP250,Outdoor,Clay,1st Round,3,Marterer M.,Novak D.,337,85,118,695,7,6,6,4,,,,,,,2,0,Completed,1.66,2.1,1.83,2.07,1.91,2.17,1.79,2.01
18,Kitzbuhel,Generali Open,09/09/2020,ATP250,Outdoor,Clay,1st Round,3,Djere L.,Ramos-Vinolas A.,81,41,705,1130,6,1,3,6,7,6,,,,,2,1,Completed,1.61,2.2,1.66,2.34,1.69,2.45,1.64,2.23
18,Kitzbuhel,Generali Open,09/09/2020,ATP250,Outdoor,Clay,1st Round,3,Lopez F.,Herbert P.H.,57,69,908,775,6,4,6,3,,,,,,,2,0,Completed,3.25,1.33,3.19,1.4,3.45,1.41,3.14,1.35
18,Kitzbuhel,Generali Open,10/09/2020,ATP250,Outdoor,Clay,2nd Round,3,Hanfmann Y.,Lajovic D.,118,24,486,1695,4,6,6,3,6,4,,,,,2,1,Completed,1.61,2.2,1.76,2.19,1.76,2.3,1.69,2.15
