ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,SJW,SJL,UBW,UBL
53,Kuala Lumpur,Proton Malaysian Open,28/09/09,ATP250,Indoor,Hard,1st Round,3,Evans B.,Yani M.,129,208,464,253,6,3,6,4,,,,,,,2,0,Completed,1.57,2.25,,,,,,,,
53,Kuala Lumpur,Proton Malaysian Open,28/09/09,ATP250,Indoor,Hard,1st Round,3,Dent T.,Golubev A.,120,67,484,777,4,6,6,3,7,6,,,,,2,1,Completed,1.4,2.75,1.48,2.53,1.44,2.62,1.44,2.63,1.44,2.72
53,Kuala Lumpur,Proton Malaysian Open,28/09/09,ATP250,Indoor,Hard,1st Round,3,Baghdatis M.,Lu Y.H.,101,75,575,726,4,6,6,3,7,6,,,,,2,1,Completed,1.4,2.75,1.37,2.92,1.4,2.75,1.4,2.75,1.5,2.52
53,Kuala Lumpur,Proton Malaysian Open,29/09/09,ATP250,Indoor,Hard,1st Round,3,Vassallo-Arguello M.,Lopez F.,49,34,955,1205,6,3,6,3,,,,,,,2,0,Completed,5,1.14,5.2,1.15,4.5,1.167,5,1.14,5,1.16
53,Kuala Lumpur,Proton Malaysian Open,29/09/09,ATP250,Indoor,Hard,1st Round,3,Bopanna R.,Acasuso J.,447,51,82,920,4,6,6,3,6,4,,,,,2,1,Completed,3.4,1.3,3.1,1.35,3.5,1.28,3.75,1.22,3.4,1.3
53,Kuala Lumpur,Proton Malaysian Open,29/09/09,ATP250,Indoor,Hard,1st Round,3,Berdych T.,Kunitsyn I.,16,46,2095,992,6,1,3,6,6,2,,,,,2,1,Completed,1.16,4.5,1.2,4.1,1.2,4.333,1.14,5,1.2,4.35
53,Kuala Lumpur,Proton Malaysian Open,29/09/09,ATP250,Indoor,Hard,1st Round,3,Beck K.,Kukushkin M.,85,162,656,347,1,6,7,6,6,3,,,,,2,1,Completed,1.57,2.25,1.7,2.1,1.571,2.25,1.62,2.2,1.67,2.15
53,Kuala Lumpur,Proton Malaysian Open,29/09/09,ATP250,Indoor,Hard,1st Round,3,Youzhny M.,Ferrer D.,52,19,915,1800,7,6,6,2,,,,,,,2,0,Completed,2.25,1.57,2.3,1.6,2.25,1.571,2.25,1.57,2.2,1.64
53,Kuala Lumpur,Proton Malaysian Open,29/09/09,ATP250,Indoor,Hard,1st Round,3,Johansson J.,Hewitt L.,446,26,82,1375,7,6,6,3,,,,,,,2,0,Completed,5.5,1.12,5.2,1.15,5,1.143,5,1.14,5.2,1.15
53,Kuala Lumpur,Proton Malaysian Open,30/09/09,ATP250,Indoor,Hard,1st Round,3,Gasquet R.,Crivoi V.,47,108,985,529,6,1,6,2,,,,,,,2,0,Completed,1.1,6.5,1.1,6.25,1.111,6,1.1,6,1.11,6.2
