WTA,Location,Tournament,Date,Tier,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,SJW,SJL,MaxW,MaxL,AvgW,AvgL
20,Kuala Lumpur,Malaysia Open,14/04/14,International,Outdoor,Hard,1st Round,3,Kovinic D.,Mestach A.S.,140,127,470,514,6,4,6,2,,,2,0,Completed,2.25,1.57,2.2,1.65,2.38,1.53,2.18,1.75,2.5,1.53,2.5,1.75,2.26,1.61
20,Kuala Lumpur,Malaysia Open,15/04/14,International,Outdoor,Hard,1st Round,3,Diyas Z.,Daniilidou E.,93,290,659,167,6,2,6,2,,,2,0,Completed,1.12,6,1.16,5,1.17,4.5,1.17,5.81,1.17,5,1.18,6,1.15,5.14
20,Kuala Lumpur,Malaysia Open,15/04/14,International,Outdoor,Hard,1st Round,3,Gatto-Monticone G.,Jabeur O.,237,135,238,488,3,6,6,4,6,2,2,1,Completed,2.75,1.4,2.7,1.45,2.62,1.44,2.82,1.48,2.63,1.5,2.88,1.5,2.71,1.44
20,Kuala Lumpur,Malaysia Open,15/04/14,International,Outdoor,Hard,1st Round,3,Duan Y.Y.,Vrljic A.,187,224,321,260,6,3,6,2,,,2,0,Completed,1.36,3,1.4,2.9,1.4,2.75,1.47,2.89,1.33,3.25,1.48,3.25,1.4,2.85
20,Kuala Lumpur,Malaysia Open,15/04/14,International,Outdoor,Hard,1st Round,3,Pliskova Kr.,Babos T.,139,119,476,546,7,6,3,6,6,4,2,1,Completed,1.72,2,1.7,2.1,1.62,2.2,1.77,2.16,1.67,2.2,1.81,2.2,1.71,2.09
20,Kuala Lumpur,Malaysia Open,15/04/14,International,Outdoor,Hard,1st Round,3,Linette M.,Lim A.,124,145,523,457,6,3,6,0,,,2,0,Completed,2.1,1.66,2.1,1.7,2.1,1.67,2.16,1.76,2.1,1.73,2.17,1.76,2.09,1.7
20,Kuala Lumpur,Malaysia Open,15/04/14,International,Outdoor,Hard,1st Round,3,Vekic D.,Chan Y.J.,95,299,655,156,3,6,6,4,6,1,2,1,Completed,1.25,3.75,1.3,3.4,1.3,3.4,1.33,3.62,1.33,3.25,1.33,3.75,1.3,3.39
20,Kuala Lumpur,Malaysia Open,15/04/14,International,Outdoor,Hard,1st Round,3,Hsieh S.W.,Gajdosova J.,126,302,519,154,2,6,6,4,6,3,2,1,Completed,1.72,2,1.65,2.2,1.67,2.1,1.84,2.06,1.67,2.2,1.87,2.23,1.71,2.09
20,Kuala Lumpur,Malaysia Open,15/04/14,International,Outdoor,Hard,1st Round,3,Pliskova Ka.,Krunic A.,75,158,838,399,6,2,6,2,,,2,0,Completed,1.2,4.33,1.2,4.3,1.22,4,1.27,4.18,1.2,4.5,1.27,4.5,1.22,4.08
20,Kuala Lumpur,Malaysia Open,15/04/14,International,Outdoor,Hard,1st Round,3,Kichenok L.,Morita A.,192,113,306,568,6,4,6,2,,,2,0,Completed,2.37,1.53,2.4,1.55,2.5,1.5,2.46,1.61,3,1.36,3,1.61,2.41,1.54
