WTA,Location,Tournament,Date,Tier,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,MaxW,MaxL,AvgW,AvgL
13,Kuala Lumpur,Malaysia Open,02/03/15,International,Outdoor,Hard,1st Round,3,Nara K.,Voegele S.,57,101,866,575,6,3,7,6,,,2,0,Completed,1.57,2.25,1.72,2.05,1.8,1.91,1.7,2.27,1.82,2.3,1.69,2.12
13,Kuala Lumpur,Malaysia Open,02/03/15,International,Outdoor,Hard,1st Round,3,Kozlova K.,Zheng S.,107,73,523,741,6,3,6,4,,,2,0,Completed,1.44,2.62,1.48,2.6,1.44,2.62,1.56,2.56,1.56,2.75,1.48,2.57
13,Kuala Lumpur,Malaysia Open,02/03/15,International,Outdoor,Hard,1st Round,3,Kumkhum L.,Namigata J.,128,185,426,277,6,3,7,6,,,2,0,Completed,1.72,2,1.82,1.9,1.73,2,1.71,2.24,1.87,2.24,1.76,2.01
13,Kuala Lumpur,Malaysia Open,02/03/15,International,Outdoor,Hard,1st Round,3,Duan Y.Y.,Xu Y.F.,116,156,493,333,6,0,3,6,6,3,2,1,Completed,1.72,2,1.82,1.9,1.73,2,1.93,1.96,1.95,2.05,1.8,1.96
13,Kuala Lumpur,Malaysia Open,02/03/15,International,Outdoor,Hard,1st Round,3,Putintseva Y.,Noordin J.,110,N/A,515,N/A,6,2,6,1,,,2,0,Completed,1.02,17,1.02,11.5,1.02,11,1.03,18.68,1.05,27,1.02,14.47
13,Kuala Lumpur,Malaysia Open,02/03/15,International,Outdoor,Hard,1st Round,3,Linette M.,Wang Q.,117,88,485,634,2,6,6,3,6,0,2,1,Completed,1.9,1.8,1.88,1.88,1.83,1.83,1.96,1.93,1.98,2.08,1.89,1.86
13,Kuala Lumpur,Malaysia Open,02/03/15,International,Outdoor,Hard,1st Round,3,Kulichkova E.,Jovanovski B.,171,63,306,821,6,3,6,3,,,2,0,Completed,1.4,2.75,1.4,2.85,1.4,2.75,1.5,2.76,1.67,3,1.43,2.76
13,Kuala Lumpur,Malaysia Open,03/03/15,International,Outdoor,Hard,1st Round,3,Gajdosova J.,Buyukakcay C.,52,108,955,520,7,5,6,4,,,2,0,Completed,1.3,3.4,1.45,2.7,1.4,2.75,1.33,3.58,1.45,3.7,1.34,3.16
13,Kuala Lumpur,Malaysia Open,03/03/15,International,Outdoor,Hard,1st Round,3,Goerges J.,Kudryavtseva A.,65,114,810,500,6,1,7,6,,,2,0,Completed,1.36,3,1.4,2.9,1.36,3,1.41,3.13,1.44,3.2,1.38,2.93
13,Kuala Lumpur,Malaysia Open,03/03/15,International,Outdoor,Hard,1st Round,3,Eguchi M.,Mestach A.S.,132,106,419,527,2,6,7,5,6,3,2,1,Completed,1.9,1.8,1.75,2,1.73,2,2.02,1.88,2.02,2.25,1.77,2.01
13,Kuala Lumpur,Malaysia Open,03/03/15,International,Outdoor,Hard,1st Round,3,Hsieh S.W.,Dellacqua C.,181,35,283,1431,7,5,2,6,6,3,2,1,Completed,3,1.36,2.9,1.4,3,1.36,2.95,1.45,3.18,1.45,2.9,1.39
13,Kuala Lumpur,Malaysia Open,03/03/15,International,Outdoor,Hard,1st Round,3,Zhu L.,Beygelzimer Y.,122,158,457,332,6,4,4,6,6,3,2,1,Completed,2.25,1.57,2.3,1.58,2.25,1.57,2.49,1.6,2.7,1.69,2.34,1.57
13,Kuala Lumpur,Malaysia Open,03/03/15,International,Outdoor,Hard,1st Round,3,Koukalova K.,Mayr P.,92,134,621,412,6,1,6,3,,,2,0,Completed,1.4,2.75,1.4,2.85,1.4,2.75,1.49,2.81,1.55,2.95,1.43,2.74
13,Kuala Lumpur,Malaysia Open,03/03/15,International,Outdoor,Hard,1st Round,3,Wozniacki C.,Wang Yaf.,5,160,4730,328,6,3,6,1,,,2,0,Completed,1.04,11,1.05,9,1.06,8,1.06,10.98,1.08,12,1.05,9.71
13,Kuala Lumpur,Malaysia Open,03/03/15,International,Outdoor,Hard,1st Round,3,Witthoeft C.,Doi M.,81,100,685,577,7,5,7,5,,,2,0,Completed,1.72,2,1.75,2,1.73,2,1.81,2.09,1.85,2.15,1.77,2
13,Kuala Lumpur,Malaysia Open,03/03/15,International,Outdoor,Hard,1st Round,3,Dulgheru A.,Lisicki S.,94,28,604,1651,6,4,7,5,,,2,0,Completed,2.37,1.53,2.6,1.48,2.38,1.53,2.83,1.48,2.83,1.56,2.53,1.5
13,Kuala Lumpur,Malaysia Open,04/03/15,International,Outdoor,Hard,2nd Round,3,Gajdosova J.,Kumkhum L.,52,128,955,426,7,5,6,2,,,2,0,Completed,1.22,4,1.3,3.2,1.3,3.4,1.29,4.05,1.33,4.05,1.27,3.6
13,Kuala Lumpur,Malaysia Open,04/03/15,International,Outdoor,Hard,2nd Round,3,Kulichkova E.,Putintseva Y.,171,110,306,515,6,0,6,2,,,2,0,Completed,1.36,3,1.4,2.85,1.4,2.75,1.45,2.99,1.45,3.15,1.39,2.88
13,Kuala Lumpur,Malaysia Open,04/03/15,International,Outdoor,Hard,2nd Round,3,Nara K.,Linette M.,57,117,866,485,7,5,5,7,7,6,2,1,Completed,1.5,2.5,1.55,2.35,1.5,2.5,1.54,2.66,1.54,2.66,1.51,2.5
13,Kuala Lumpur,Malaysia Open,04/03/15,International,Outdoor,Hard,2nd Round,3,Dulgheru A.,Duan Y.Y.,94,116,604,493,6,4,6,1,,,2,0,Completed,1.4,2.75,1.42,2.75,1.4,2.75,1.43,3.05,1.45,3.05,1.41,2.8
13,Kuala Lumpur,Malaysia Open,04/03/15,International,Outdoor,Hard,2nd Round,3,Goerges J.,Kozlova K.,65,107,810,523,6,1,6,2,,,2,0,Completed,1.66,2.1,1.68,2.15,1.73,2,1.71,2.27,1.74,2.3,1.67,2.15
13,Kuala Lumpur,Malaysia Open,05/03/15,International,Outdoor,Hard,2nd Round,3,Hsieh S.W.,Eguchi M.,181,132,283,419,6,3,3,6,6,0,2,1,Completed,1.4,2.75,1.48,2.6,1.44,2.62,1.52,2.73,1.52,2.8,1.47,2.6
13,Kuala Lumpur,Malaysia Open,05/03/15,International,Outdoor,Hard,2nd Round,3,Witthoeft C.,Koukalova K.,81,92,685,621,7,6,6,0,,,2,0,Completed,1.44,2.62,1.5,2.5,1.53,2.38,1.55,2.65,1.55,2.85,1.49,2.54
13,Kuala Lumpur,Malaysia Open,05/03/15,International,Outdoor,Hard,2nd Round,3,Wozniacki C.,Zhu L.,5,122,4730,457,6,4,6,1,,,2,0,Completed,1.03,15,1.05,9,1.04,9,1.04,15.5,1.06,15.5,1.03,11.5
13,Kuala Lumpur,Malaysia Open,06/03/15,International,Outdoor,Hard,Quarterfinals,3,Dulgheru A.,Goerges J.,94,65,604,810,7,6,7,5,,,2,0,Completed,2.5,1.53,2.4,1.55,2.38,1.53,2.35,1.68,2.5,1.68,2.34,1.57
