WTA,Location,Tournament,Date,Tier,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL
32,Lausanne,Ladies Open Lausanne,11/07/2022,WTA250,Outdoor,Clay,1st Round,3,Sorribes Tormo S.,Davis L.,43,96,1194,660,6,2,7,6,,,2,0,Completed,1.44,2.75,1.48,2.8,1.48,2.96,1.44,2.73
32,Lausanne,Ladies Open Lausanne,11/07/2022,WTA250,Outdoor,Clay,1st Round,3,Niemeier J.,In-Albon Y.,109,121,602,534,7,5,6,7,6,3,2,1,Completed,1.2,4.5,1.21,4.86,1.25,4.86,1.2,4.43
32,Lausanne,Ladies Open Lausanne,11/07/2022,WTA250,Outdoor,Clay,1st Round,3,Potapova A.,Bronzetti L.,79,66,779,865,6,2,3,6,6,4,2,1,Completed,1.72,2.1,1.78,2.14,1.8,2.28,1.73,2.07
32,Lausanne,Ladies Open Lausanne,11/07/2022,WTA250,Outdoor,Clay,1st Round,3,Kalinskaya A.,Zidansek T.,73,55,811,1023,7,6,3,6,6,3,2,1,Completed,2.37,1.57,2.55,1.57,2.73,1.62,2.43,1.54
32,Lausanne,Ladies Open Lausanne,11/07/2022,WTA250,Outdoor,Clay,1st Round,3,Bandecchi S.,Dodin O.,229,78,300,788,6,2,6,1,,,2,0,Completed,3.4,1.33,3.3,1.38,3.4,1.41,3.18,1.34
32,Lausanne,Ladies Open Lausanne,11/07/2022,WTA250,Outdoor,Clay,1st Round,3,Burel C.,Zhu L.,106,104,621,626,6,0,6,1,,,2,0,Completed,2,1.8,1.93,1.95,2.08,2.5,1.92,1.87
32,Lausanne,Ladies Open Lausanne,12/07/2022,WTA250,Outdoor,Clay,1st Round,3,Danilovic O.,Doi M.,124,103,522,626,6,3,6,3,,,2,0,Completed,1.25,4,1.24,4.46,1.28,4.46,1.23,4.07
32,Lausanne,Ladies Open Lausanne,12/07/2022,WTA250,Outdoor,Clay,1st Round,3,Begu I.,Korpatsch T.,49,111,1119,595,6,4,6,2,,,2,0,Completed,1.25,4,1.28,4,1.29,4,1.26,3.79
32,Lausanne,Ladies Open Lausanne,12/07/2022,WTA250,Outdoor,Clay,1st Round,3,Bucsa C.,Mladenovic K.,126,116,501,566,6,4,7,6,,,2,0,Completed,1.53,2.5,1.66,2.34,1.73,2.5,1.61,2.29
32,Lausanne,Ladies Open Lausanne,12/07/2022,WTA250,Outdoor,Clay,1st Round,3,Lys E.,Gracheva V.,217,60,311,934,7,5,6,4,,,2,0,Completed,2,1.8,2,1.88,2.04,1.92,1.96,1.82
