ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,CBW,CBL,GBW,GBL,IWW,IWL,SBW,SBL
52,Long Island,Hamlet Cup,20/08/01,International,Outdoor,Hard,1st Round,3,Bjorkman J.,Bruguera S.,53,85,6,1,6,1,,,,,,,2,0,Completed,1.22,3.75,1.25,3.1,1.25,3,,
52,Long Island,Hamlet Cup,20/08/01,International,Outdoor,Hard,1st Round,3,Blanco G.,Corretja A.,46,11,7,6,6,7,6,1,,,,,2,1,Completed,4,1.2,4,1.15,3.8,1.15,,
52,Long Island,Hamlet Cup,20/08/01,International,Outdoor,Hard,1st Round,3,Boutter J.,Hrbaty D.,55,23,6,7,7,6,6,3,,,,,2,1,Completed,2.3,1.55,2.05,1.6,2,1.55,,
52,Long Island,Hamlet Cup,20/08/01,International,Outdoor,Hard,1st Round,3,Canas G.,Dent T.,28,131,1,6,6,1,6,3,,,,,2,1,Completed,1.55,2.3,1.55,2.1,1.5,2.1,,
52,Long Island,Hamlet Cup,20/08/01,International,Outdoor,Hard,1st Round,3,Clement A.,Arthurs W.,12,58,4,6,6,3,7,6,,,,,2,1,Completed,1.5,2.4,1.55,2.1,1.65,1.85,,
52,Long Island,Hamlet Cup,20/08/01,International,Outdoor,Hard,1st Round,3,Dupuis A.,Schuettler R.,61,59,7,6,7,6,,,,,,,2,0,Completed,2.2,1.6,2,1.6,1.9,1.6,,
52,Long Island,Hamlet Cup,20/08/01,International,Outdoor,Hard,1st Round,3,Enqvist T.,Lee H.T.,19,66,6,2,7,5,,,,,,,2,0,Completed,1.2,4,1.22,3.4,1.25,3,,
52,Long Island,Hamlet Cup,20/08/01,International,Outdoor,Hard,1st Round,3,Haas T.,Kratochvil M.,16,68,6,3,6,7,6,3,,,,,2,1,Completed,1.25,3.5,1.25,3.1,1.25,3,,
52,Long Island,Hamlet Cup,20/08/01,International,Outdoor,Hard,1st Round,3,Johansson T.,Tabara M.,14,51,6,1,6,4,,,,,,,2,0,Completed,1.3,3.2,1.3,2.8,1.35,2.5,,
52,Long Island,Hamlet Cup,20/08/01,International,Outdoor,Hard,1st Round,3,Mantilla F.,Ivanisevic G.,69,15,6,3,7,5,,,,,,,2,0,Completed,3,1.33,2.95,1.31,2.7,1.3,,
52,Long Island,Hamlet Cup,20/08/01,International,Outdoor,Hard,1st Round,3,Martin A.,Gambill J.M.,38,20,3,6,7,6,,,,,,,1,1,Retired,2.9,1.35,2.8,1.3,2.7,1.3,,
