WTA,Location,Tournament,Date,Tier,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,UBW,UBL
37,Los Angeles,East West Bank Classic,21/07/08,2,Outdoor,Hard,1st Round,3,Savchuk O.,Dulko G.,123,36,287,795,6,4,6,3,,,2,0,Completed,3.75,1.25,3.55,1.25,3.4,1.3,3.83,1.319,4,1.23
37,Los Angeles,East West Bank Classic,21/07/08,2,Outdoor,Hard,1st Round,3,Chan Y.J.,Rezai A.,71,74,458,452,6,1,6,4,,,2,0,Completed,1.61,2.2,1.7,2.05,1.83,1.83,1.8,2.15,1.73,2.06
37,Los Angeles,East West Bank Classic,21/07/08,2,Outdoor,Hard,1st Round,3,Paszek T.,Nakamura A.,95,107,352,339,6,4,6,2,,,2,0,Completed,1.61,2.2,1.65,2.15,1.72,2,1.826,2.11,1.67,2.15
37,Los Angeles,East West Bank Classic,21/07/08,2,Outdoor,Hard,1st Round,3,Govortsova O.,Kustova D.,43,377,690,53,6,3,6,4,,,2,0,Completed,1.14,5,1.2,4.25,1.16,4.5,1.19,5.75,1.16,5
37,Los Angeles,East West Bank Classic,21/07/08,2,Outdoor,Hard,1st Round,3,Czink M.,Razzano V.,121,27,295,1015,6,3,6,3,,,2,0,Completed,2.75,1.4,2.85,1.4,2.62,1.44,3.05,1.444,2.68,1.45
37,Los Angeles,East West Bank Classic,21/07/08,2,Outdoor,Hard,1st Round,3,Craybas J.,Keothavong A.,82,76,427,449,6,3,6,2,,,2,0,Completed,2.2,1.61,2.15,1.65,2.2,1.61,2.28,1.725,2.18,1.65
37,Los Angeles,East West Bank Classic,22/07/08,2,Outdoor,Hard,1st Round,3,Domachowska M.,Vandeweghe C.,58,513,544,31,6,3,6,3,,,2,0,Completed,1.36,3,1.35,3.1,1.36,3,1.435,3.1,1.33,3.2
37,Los Angeles,East West Bank Classic,22/07/08,2,Outdoor,Hard,1st Round,3,Kvitova P.,Kleybanova A.,66,34,491,806,6,4,1,6,7,5,2,1,Completed,2.62,1.44,2.35,1.55,2.5,1.5,2.65,1.571,2.7,1.44
37,Los Angeles,East West Bank Classic,22/07/08,2,Outdoor,Hard,1st Round,3,Bammer S.,Rolle A.,30,147,977,226,6,0,6,4,,,2,0,Completed,1.28,3.5,1.3,3.35,1.3,3.4,1.364,3.55,1.3,3.4
37,Los Angeles,East West Bank Classic,22/07/08,2,Outdoor,Hard,1st Round,3,Mattek B.,Spears A.,59,175,535,171,6,2,6,4,,,2,0,Completed,1.3,3.4,1.35,3.1,1.36,3,1.353,3.63,1.36,3.05
37,Los Angeles,East West Bank Classic,22/07/08,2,Outdoor,Hard,1st Round,3,Stosur S.,Peer S.,87,25,401,1092,6,1,6,1,,,2,0,Completed,2.1,1.66,2.15,1.65,2.1,1.66,2.22,1.758,2.15,1.67
37,Los Angeles,East West Bank Classic,22/07/08,2,Outdoor,Hard,1st Round,3,Mirza S.,Hrdinova E.,35,190,803,154,6,3,6,4,,,2,0,Completed,1.4,2.75,1.4,2.85,1.44,2.62,1.455,3,1.42,2.78
37,Los Angeles,East West Bank Classic,22/07/08,2,Outdoor,Hard,1st Round,3,Peng S.,Ditty J.,49,108,634,330,6,4,6,2,,,2,0,Completed,1.33,3.25,1.35,3.1,1.4,2.75,1.352,3.64,,
37,Los Angeles,East West Bank Classic,22/07/08,2,Outdoor,Hard,1st Round,3,Kulikova R.,Vesnina E.,201,62,144,530,6,4,4,6,6,2,2,1,Completed,2.5,1.5,2.35,1.55,2.5,1.5,2.54,1.61,2.38,1.55
37,Los Angeles,East West Bank Classic,22/07/08,2,Outdoor,Hard,1st Round,3,Petrova N.,Jidkova A.,17,207,1321,141,6,0,6,4,,,2,0,Completed,1.07,7.5,1.1,6.75,1.12,5.5,1.124,8.28,1.08,7.5
37,Los Angeles,East West Bank Classic,22/07/08,2,Outdoor,Hard,1st Round,3,Kudryavtseva A.,Rodionova A.,104,73,340,452,7,5,3,6,6,3,2,1,Completed,1.33,3.25,1.4,2.85,1.44,2.62,1.405,3.27,1.42,2.78
