ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,SJW,SJL,MaxW,MaxL,AvgW,AvgL
46,Los Angeles,Farmers Classic,23/07/12,ATP250,Outdoor,Hard,1st Round,3,Capdeville P.,Kunitsyn I.,139,130,390,418,6,4,7,6,,,,,,,2,0,Completed,2.2,1.61,2.15,1.65,2.1,1.67,2.35,1.66,2.2,1.62,2.43,1.85,2.18,1.65
46,Los Angeles,Farmers Classic,24/07/12,ATP250,Outdoor,Hard,1st Round,3,Cipolla F.,Sock J.,93,263,566,181,6,3,6,1,,,,,,,2,0,Completed,2.25,1.57,2.15,1.65,2.25,1.57,2.25,1.71,2.2,1.62,2.38,1.71,2.22,1.63
46,Los Angeles,Farmers Classic,24/07/12,ATP250,Outdoor,Hard,1st Round,3,Ram R.,Baker B.,117,79,481,625,7,6,7,5,,,,,,,2,0,Completed,3.5,1.28,3.3,1.3,3.4,1.3,4.31,1.25,2.88,1.36,4.31,1.36,3.51,1.29
46,Los Angeles,Farmers Classic,24/07/12,ATP250,Outdoor,Hard,1st Round,3,Russell M.,Levine J.,83,87,590,585,6,3,6,4,,,,,,,2,0,Completed,1.8,1.9,1.75,2,1.73,2,1.83,2.07,1.83,1.83,1.87,2.1,1.82,1.93
46,Los Angeles,Farmers Classic,24/07/12,ATP250,Outdoor,Hard,1st Round,3,Andreev I.,Sela D.,89,114,579,502,7,6,6,4,,,,,,,2,0,Completed,1.44,2.62,1.45,2.6,1.36,3,1.43,3.01,1.44,2.63,1.95,3.46,1.5,2.62
46,Los Angeles,Farmers Classic,24/07/12,ATP250,Outdoor,Hard,1st Round,3,Malisse X.,Meister N.,72,625,651,37,6,4,6,1,,,,,,,2,0,Completed,1.16,5,1.15,5,1.12,5.5,1.2,5.06,1.13,5.5,1.2,5.6,1.16,5
46,Los Angeles,Farmers Classic,25/07/12,ATP250,Outdoor,Hard,1st Round,3,Ebden M.,Berrer M.,78,125,631,437,4,6,6,2,7,6,,,,,2,1,Completed,1.4,2.75,1.4,2.8,1.4,2.75,1.44,2.99,1.5,2.5,1.56,2.99,1.46,2.66
46,Los Angeles,Farmers Classic,25/07/12,ATP250,Outdoor,Hard,1st Round,3,Lorenzi P.,Klahn B.,91,613,576,38,6,4,3,6,6,0,,,,,2,1,Completed,1.72,2,1.8,1.95,1.73,2,2.03,1.87,1.73,2,2.03,2.1,1.82,1.94
46,Los Angeles,Farmers Classic,25/07/12,ATP250,Outdoor,Hard,1st Round,3,Kamke T.,Blake J.,108,112,530,502,6,2,5,7,7,6,,,,,2,1,Completed,2.25,1.57,2.15,1.65,2.38,1.53,2.59,1.56,2.1,1.67,2.59,1.69,2.3,1.6
46,Los Angeles,Farmers Classic,25/07/12,ATP250,Outdoor,Hard,1st Round,3,Matosevic M.,Guccione C.,81,510,616,60,3,6,6,3,6,3,,,,,2,1,Completed,1.57,2.25,1.6,2.25,1.53,2.38,1.64,2.39,1.57,2.25,1.67,2.55,1.59,2.33
46,Los Angeles,Farmers Classic,25/07/12,ATP250,Outdoor,Hard,1st Round,3,Sijsling I.,Johnson S.,102,362,540,115,7,6,6,3,,,,,,,2,0,Completed,1.57,2.25,1.55,2.35,1.57,2.25,1.67,2.33,1.53,2.38,1.68,2.6,1.58,2.32
46,Los Angeles,Farmers Classic,25/07/12,ATP250,Outdoor,Hard,1st Round,3,Berankis R.,Phau B.,141,76,387,634,7,6,6,4,,,,,,,2,0,Completed,1.5,2.5,1.6,2.25,1.53,2.38,1.58,2.51,1.57,2.25,1.65,2.55,1.56,2.39
46,Los Angeles,Farmers Classic,25/07/12,ATP250,Outdoor,Hard,2nd Round,3,Mayer L.,Cipolla F.,64,93,742,566,6,0,4,0,,,,,,,1,0,Retired,2.1,1.66,1.95,1.8,1.83,1.83,2.11,1.81,1.83,1.83,2.13,1.85,1.97,1.79
46,Los Angeles,Farmers Classic,25/07/12,ATP250,Outdoor,Hard,2nd Round,3,Ram R.,Capdeville P.,117,139,481,390,6,3,6,1,,,,,,,2,0,Completed,1.5,2.5,1.5,2.5,1.53,2.38,1.53,2.71,1.5,2.5,1.57,2.72,1.52,2.49
46,Los Angeles,Farmers Classic,26/07/12,ATP250,Outdoor,Hard,2nd Round,3,Querrey S.,Sijsling I.,57,102,799,540,6,2,6,2,,,,,,,2,0,Completed,1.22,4,1.25,3.75,1.22,4,1.29,4.05,1.25,3.5,1.29,4.28,1.25,3.83
46,Los Angeles,Farmers Classic,26/07/12,ATP250,Outdoor,Hard,2nd Round,3,Berankis R.,Andreev I.,141,89,387,579,6,4,7,5,,,,,,,2,0,Completed,1.61,2.2,1.7,2.05,1.73,2,1.75,2.2,1.67,2.1,1.83,2.2,1.72,2.07
46,Los Angeles,Farmers Classic,26/07/12,ATP250,Outdoor,Hard,2nd Round,3,Matosevic M.,Kamke T.,81,108,616,530,6,3,1,6,6,0,,,,,2,1,Completed,1.57,2.25,1.65,2.15,1.73,2,1.74,2.23,1.67,2.1,1.74,2.5,1.66,2.17
46,Los Angeles,Farmers Classic,26/07/12,ATP250,Outdoor,Hard,2nd Round,3,Malisse X.,Ebden M.,72,78,651,631,6,4,6,3,,,,,,,2,0,Completed,1.5,2.5,1.55,2.35,1.57,2.25,1.57,2.58,1.62,2.2,1.63,2.58,1.57,2.34
46,Los Angeles,Farmers Classic,26/07/12,ATP250,Outdoor,Hard,2nd Round,3,Mahut N.,Lorenzi P.,66,91,719,576,7,5,7,6,,,,,,,2,0,Completed,1.36,3,1.35,3,1.36,3,1.46,2.93,1.29,3.25,1.46,3.25,1.37,2.98
