ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL
47,Los Cabos,Abierto Mexicano Mifel,30/07/2019,ATP250,Outdoor,Hard,1st Round,3,Gunneswaran P.,Millman J.,90,67,609,860,6,4,1,6,6,2,,,,,2,1,Completed,3.4,1.3,3.46,1.34,3.6,1.37,3.35,1.32
47,Los Cabos,Abierto Mexicano Mifel,30/07/2019,ATP250,Outdoor,Hard,1st Round,3,Kokkinakis T.,Janvier M.,191,192,269,267,6,4,6,4,,,,,,,2,0,Completed,1.4,2.75,1.45,2.93,1.48,3.07,1.43,2.82
47,Los Cabos,Abierto Mexicano Mifel,30/07/2019,ATP250,Outdoor,Hard,1st Round,3,Kukushkin M.,Dzumhur D.,45,92,1020,603,7,5,6,2,,,,,,,2,0,Completed,1.66,2.1,1.74,2.2,1.83,2.2,1.73,2.09
47,Los Cabos,Abierto Mexicano Mifel,30/07/2019,ATP250,Outdoor,Hard,1st Round,3,Gulbis E.,Jung J.,129,134,422,400,6,4,7,6,,,,,,,2,0,Completed,2.37,1.53,2.44,1.61,2.45,1.65,2.35,1.59
47,Los Cabos,Abierto Mexicano Mifel,30/07/2019,ATP250,Outdoor,Hard,1st Round,3,Granollers M.,Gomez L.,103,492,547,13,6,0,6,1,,,,,,,2,0,Completed,1.08,8,1.09,8.47,1.12,9,1.09,7.55
47,Los Cabos,Abierto Mexicano Mifel,31/07/2019,ATP250,Outdoor,Hard,1st Round,3,Daniel T.,Sandgren T.,118,71,493,826,6,2,6,0,,,,,,,2,0,Completed,3,1.36,3.55,1.33,3.55,1.4,3.22,1.34
47,Los Cabos,Abierto Mexicano Mifel,31/07/2019,ATP250,Outdoor,Hard,1st Round,3,Londero J.I.,Garin C.,59,37,935,1233,3,6,6,2,6,3,,,,,2,1,Completed,2.37,1.53,2.64,1.53,2.64,1.59,2.47,1.54
47,Los Cabos,Abierto Mexicano Mifel,31/07/2019,ATP250,Outdoor,Hard,1st Round,3,Albot R.,Tipsarevic J.,41,256,1046,170,7,5,2,6,6,0,,,,,2,1,Completed,1.36,3,1.41,3.06,1.44,3.07,1.39,2.96
47,Los Cabos,Abierto Mexicano Mifel,31/07/2019,ATP250,Outdoor,Hard,1st Round,3,Kwon S.W.,Stebe C.M.,112,257,521,170,6,2,6,1,,,,,,,2,0,Completed,1.28,3.5,1.23,4.4,1.31,4.45,1.25,3.96
47,Los Cabos,Abierto Mexicano Mifel,31/07/2019,ATP250,Outdoor,Hard,1st Round,3,Dimitrov G.,Johnson S.,57,94,952,600,7,6,4,6,7,6,,,,,2,1,Completed,1.66,2.1,1.73,2.21,1.75,2.34,1.68,2.17
47,Los Cabos,Abierto Mexicano Mifel,31/07/2019,ATP250,Outdoor,Hard,1st Round,3,Norrie C.,Barrere G.,58,111,950,523,7,6,6,0,,,,,,,2,0,Completed,1.3,3.4,1.31,3.7,1.34,4.2,1.29,3.58
47,Los Cabos,Abierto Mexicano Mifel,31/07/2019,ATP250,Outdoor,Hard,1st Round,3,Fritz T.,Koepfer D.,28,123,1450,456,6,3,6,4,,,,,,,2,0,Completed,1.28,3.5,1.3,3.71,1.36,3.71,1.31,3.41
47,Los Cabos,Abierto Mexicano Mifel,01/08/2019,ATP250,Outdoor,Hard,2nd Round,3,Albot R.,Daniel T.,41,118,1046,493,6,1,6,2,,,,,,,2,0,Completed,1.4,2.75,1.44,3,1.5,3.07,1.42,2.86
47,Los Cabos,Abierto Mexicano Mifel,01/08/2019,ATP250,Outdoor,Hard,2nd Round,3,Schwartzman D.,Gulbis E.,27,129,1485,422,7,5,6,0,,,,,,,2,0,Completed,1.25,3.75,1.23,4.53,1.29,4.8,1.23,4.11
47,Los Cabos,Abierto Mexicano Mifel,01/08/2019,ATP250,Outdoor,Hard,2nd Round,3,Kukushkin M.,Norrie C.,45,58,1020,950,7,5,7,5,,,,,,,2,0,Completed,2.37,1.53,2.37,1.66,2.45,1.67,2.33,1.6
